Lease Number,Lease Name,Operator Name,Lease Link
01-186045,"A.V.K. RANCH CO. ""E""",GENESIS ST OPERATING LLC,https://www.texas-drilling.com/zavala-county/leases/a-v-k-ranch-co-e/186045
01-19804,AARON,"CML EXPLORATION, LLC",https://www.texas-drilling.com/zavala-county/leases/aaron/019804
01-14643,ADA HAMMOND HEIRS,"ARRCO OPERATING, LLC",https://www.texas-drilling.com/zavala-county/leases/ada-hammond-heirs/014643
01-290040,ADA HAMMOND HEIRS,"ARRCO OPERATING, LLC",https://www.texas-drilling.com/zavala-county/leases/ada-hammond-heirs/290040
01-15485,ADDISON AVERY,MAGNOLIA OIL & GAS OPERATING LLC,https://www.texas-drilling.com/zavala-county/leases/addison-avery/015485
01-15484,ADDISON AVERY,"STRAND ENERGY, L.C.",https://www.texas-drilling.com/zavala-county/leases/addison-avery/015484
01-15906,ALLEN,"CML EXPLORATION, LLC",https://www.texas-drilling.com/zavala-county/leases/allen/015906
01-15792,ALPHA WARE,ATLAS OPERATING LLC,https://www.texas-drilling.com/zavala-county/leases/alpha-ware/015792
01-13390,ANGELA,"WINN EXPLORATION CO., INC.",https://www.texas-drilling.com/zavala-county/leases/angela/013390
01-18241,ANIKEN,"CML EXPLORATION, LLC",https://www.texas-drilling.com/zavala-county/leases/aniken/018241
01-13150,ANIKEN #1,"CML EXPLORATION, LLC",https://www.texas-drilling.com/zavala-county/leases/aniken-1/013150
01-19690,ANNA LOUISA,BUFFCO PRODUCTION INC.,https://www.texas-drilling.com/zavala-county/leases/anna-louisa/019690
01-17469,ANNPICK,"CML EXPLORATION, LLC",https://www.texas-drilling.com/zavala-county/leases/annpick/017469
01-230122,ARROYO ROBLE,GENESIS ST OPERATING LLC,https://www.texas-drilling.com/zavala-county/leases/arroyo-roble/230122
01-230123,ARROYO ROBLE,GENESIS ST OPERATING LLC,https://www.texas-drilling.com/zavala-county/leases/arroyo-roble/230123
01-232243,ARROYO ROBLE,GENESIS ST OPERATING LLC,https://www.texas-drilling.com/zavala-county/leases/arroyo-roble/232243
