api,well,operator,application_type,drill_type,submitted,approved
42-001-32203,"PENDLEY, MARTIN HRS 2","ROCK BOTTOM OIL, GP, L.L.C.",Recompletion,Vertical,2025-01-08,
42-001-32851,COOK GAS UNIT O/A 3,VENTEX OPERATING CORP.,New Drill,Directional,2025-01-06,2025-01-07
42-001-32221,"PENDLEY, MARTIN HRS 3","ROCK BOTTOM OIL, GP, L.L.C.",Recompletion,Vertical,2024-09-27,2024-09-30
42-001-32856,BRANCH CHX 1,"LINDER, JOHN OPERATING CO., LLC",New Drill,Vertical,2024-07-11,2024-07-18
42-001-32836,FITZGERALD I 10,"TRUEBLOOD RESOURCES, INC.",Recompletion,Vertical,2024-07-08,2024-08-08
42-001-32855,EVERYTHING UNIT 1H,"GEOSOUTHERN OPERATING II, LLC",New Drill,Horizontal,2024-06-24,2024-07-30
42-001-32844,TRINITY GAS STORAGE UNIT 1,"Trinity Gas Storage, LLC",New Drill,Directional,2024-04-22,2024-05-06
42-001-32845,TRINITY GAS STORAGE UNIT 2,"Trinity Gas Storage, LLC",New Drill,Directional,2024-04-22,2024-05-06
42-001-32846,TRINITY GAS STORAGE UNIT 3,"Trinity Gas Storage, LLC",New Drill,Directional,2024-04-22,2024-05-06
42-001-32847,TRINITY GAS STORAGE UNIT 4,"Trinity Gas Storage, LLC",New Drill,Directional,2024-04-22,2024-05-06
42-001-32854,TRINITY GAS STORAGE UNIT 5A,"Trinity Gas Storage, LLC",New Drill,Directional,2024-04-22,2024-05-05
42-001-32852,MCFARLAND TRUST 6,JLA RESOURCES COMPANY,New Drill,Vertical,2024-04-16,2024-04-19
42-001-32851,COOK GAS UNIT O/A 3,VENTEX OPERATING CORP.,New Drill,Directional,2024-01-31,2024-02-16
42-001-32848,TEMPLE INLAND 20R,JLA RESOURCES COMPANY,New Drill,Vertical,2024-01-26,2024-01-31
42-001-32843,TRINITY GAS STORAGE UNIT 5,"Trinity Gas Storage, LLC",New Drill,Directional,2024-01-03,2024-01-05
42-001-32844,TRINITY GAS STORAGE UNIT 1,"Trinity Gas Storage, LLC",New Drill,Directional,2024-01-03,2024-01-05
42-001-32845,TRINITY GAS STORAGE UNIT 2,"Trinity Gas Storage, LLC",New Drill,Directional,2024-01-03,2024-01-05
42-001-32846,TRINITY GAS STORAGE UNIT 3,"Trinity Gas Storage, LLC",New Drill,Directional,2024-01-03,2024-01-05
42-001-32847,TRINITY GAS STORAGE UNIT 4,"Trinity Gas Storage, LLC",New Drill,Directional,2024-01-03,2024-01-05
42-001-01043,"RAMPY, L. A. 2","MCGOWAN WORKING PARTNERS, INC.",Re-Enter,Vertical,2023-12-11,2023-12-12
42-001-32839,TRINITY GAS STORAGE UNIT 7,"Trinity Gas Storage, LLC",New Drill,Directional,2023-09-25,2023-09-27
42-001-32840,TRINITY GAS STORAGE UNIT 8,"Trinity Gas Storage, LLC",New Drill,Directional,2023-09-25,2023-09-27
42-001-32841,TRINITY GAS STORAGE UNIT 9,"Trinity Gas Storage, LLC",New Drill,Directional,2023-09-25,2023-09-27
42-001-32842,TRINITY GAS STORAGE UNIT 10,"Trinity Gas Storage, LLC",New Drill,Directional,2023-09-25,2023-09-27
42-001-32838,TRINITY GAS STORAGE UNIT 6,"Trinity Gas Storage, LLC",New Drill,Directional,2023-09-20,2023-09-21
42-001-32837,FITZGERALD 13A,"TRUEBLOOD RESOURCES, INC.",New Drill,Vertical,2023-05-31,2023-06-26
