api,well,operator,application_type,drill_type,submitted,approved
42-073-31596,THREETREE 1,"MUD CREEK OPERATING, LLC",New Drill,Vertical,2024-11-21,2024-11-22
42-073-31595,LIONHEAD 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2024-11-08,2024-11-12
42-073-31595,LIONHEAD 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2024-07-29,2024-07-31
42-073-31594,LIONHEAD 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2024-06-03,2024-06-06
42-073-31595,LIONHEAD 2,VALENCE OPERATING COMPANY,New Drill,Vertical,2024-06-03,2024-06-06
42-073-31051,"GUIDRY, FAUSTINE GAS UNIT 1 5","NEC Operating, LLC",Recompletion,Vertical,2024-04-01,
42-073-31059,WADE GU 1 2,"NEC Operating, LLC",Recompletion,Vertical,2024-03-28,2024-04-25
42-073-30569,ARMSTRONG 1,ELMS OIL COMPANY,Reclass,Vertical,2024-03-20,2024-04-10
42-073-31593,MCGILL-BURKE A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-01-08,2024-01-12
42-073-31592,MCGILL-MURPHY B (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2024-01-08,2024-01-10
42-073-30579,"BOMAR, JOHN L.R. ET AL 1",BUFFCO PRODUCTION INC.,Recompletion,Vertical,2023-05-16,2023-05-19
42-073-30525,"HADDOX, CECIL F. 1",BUFFCO PRODUCTION INC.,Recompletion,Vertical,2023-05-11,2023-05-16
42-073-30854,PARKER GAS UNIT NO. 1 3,"CRESCENT PASS ENERGY, LLC",Recompletion,Vertical,2023-05-09,2023-05-15
42-073-31590,JONES 1,WALKER OPERATING COMPANY,New Drill,Vertical,2023-03-28,2023-03-29
42-073-31591,JONES 2,WALKER OPERATING COMPANY,New Drill,Vertical,2023-03-28,2023-03-29
42-073-31587,NORTHCUTT-BURKE B (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2023-01-16,2023-03-07
42-073-31586,NORTHCUTT-BURKE A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2023-01-16,2023-02-23
42-073-31589,VALLIER-SESSIONS 1,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2022-10-17,2022-10-21
42-073-31589,VALLIER-SESSIONS 1,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2022-09-20,2022-09-22
42-073-31588,AZLEWAY 1,"C. W. RESOURCES, INC.",New Drill,Vertical,2022-09-19,2022-09-21
42-073-31586,NORTHCUTT-BURKE A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-08-18,2022-08-29
42-073-31587,NORTHCUTT-BURKE B (AW) 2H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-08-18,2022-08-29
42-073-30804,PALMER 1,"MARTIN FOREE OPERATING II, LLC",Re-Enter,Vertical,2022-04-25,2022-05-09
42-073-31583,MCGILL-MURPHY (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-03-29,2022-04-06
42-073-31585,PERSEVERE 1,"FAIR OIL, LTD.",New Drill,Vertical,2022-03-17,2022-04-21
42-073-31300,SHELTON 5,MERIT ENERGY COMPANY,Recompletion,Directional,2021-12-16,2021-12-21
42-073-31252,"HILL, J. C. 4",MERIT ENERGY COMPANY,Recompletion,Directional,2021-12-13,2021-12-17
42-073-30519,ED NORTHCUTT 1,"FAULCONER, VERNON E., INC.",Re-Enter,Vertical,2021-10-04,2021-10-08
42-073-31112,WILKINSON 1,BREITBURN OPERATING L.P.,Recompletion,Vertical,2021-09-02,2021-09-07
42-073-31154,MCELROY A 4,BREITBURN OPERATING L.P.,Recompletion,Directional,2021-08-31,2021-09-07
42-073-31584,MCGILL-WALDROP (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2021-08-10,2021-08-13
42-073-31298,SHELTON 4,MERIT ENERGY COMPANY,Recompletion,Directional,2021-05-21,2021-05-28
42-073-31583,MCGILL-MURPHY (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2021-05-07,2021-05-13
42-073-31266,SHELTON 8,MERIT ENERGY COMPANY,Recompletion,Directional,2021-04-20,2021-04-23
42-073-31098,MURRAY 1,BREITBURN OPERATING L.P.,Recompletion,Vertical,2021-04-20,2021-04-23
42-073-31582,OPAL 2,"PETRALIS ENERGY RESOURCES, LLC",New Drill,Vertical,2021-04-06,2021-04-12
42-073-31301,SHELTON 7,MERIT ENERGY COMPANY,Recompletion,Directional,2021-03-23,2021-03-24
42-073-31022,MANDY GU 1 1,"OE SQUARED OPERATING, LLC",Recompletion,Vertical,2021-03-01,2021-03-04
42-073-31143,CHILES G U B-1 2,VALENCE OPERATING COMPANY,Recompletion,Vertical,2020-12-23,2021-01-20
42-073-31581,MYERS GAS UNIT 1H,"JAMEX, INC.",New Drill,Horizontal,2020-10-13,2020-10-15
42-073-31580,SJV 108 UNIT 1,"MARTIN FOREE OPERATING, LLC",New Drill,Vertical,2020-09-21,2020-09-24
42-073-31505,TAF MINERAL TRUST 1,"FAIR OIL, LTD.",Re-Enter,Vertical,2019-12-09,2019-12-16
42-073-31513,TAF MINERAL TRUST 2,"FAIR OIL, LTD.",New Drill,Vertical,2019-10-17,2019-10-28
42-073-31574,MONTANO 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2019-10-10,2019-12-02
42-073-31576,HINES GAS UNIT 1H,"JAMEX, INC.",New Drill,Horizontal,2019-09-11,2019-09-18
42-073-31579,WEAVER 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2019-07-24,2019-07-25
42-073-31578,CROWN PINE TIMBER 1,BUFFCO PRODUCTION INC.,New Drill,Vertical,2019-02-05,2019-02-08
42-073-31577,TOOLE GAS UNIT 1H,"JAMEX, INC.",New Drill,Horizontal,2018-11-16,2018-11-19
42-073-31576,HINES GAS UNIT 1H,"JAMEX, INC.",New Drill,Horizontal,2018-10-19,2018-10-23
42-073-31257,SHELTON 3,"LIME ROCK RESOURCES III-A, L.P.",Recompletion,Vertical,2018-07-13,2018-07-19
42-073-31001,MARY KATE G.U. 1 1,"EREBOR RESOURCES, LLC",Recompletion,Vertical,2018-06-21,2018-06-26
42-073-31531,DACUS 1,"MERCURY OPERATING, LLC",New Drill,Vertical,2018-02-22,2018-03-19
42-073-31574,MONTANO 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2018-02-21,2018-02-23
42-073-31024,WADE GU 1 1,"EREBOR RESOURCES, LLC",Recompletion,Vertical,2018-02-19,2018-02-21
