api,well,operator,application_type,drill_type,submitted,approved
42-101-30778,'THOMPSON' 2,WEST TEXAS CRUDE ENERGY LLC,New Drill,Vertical,2024-10-17,2024-10-18
42-101-30777,HOWARD SMITH 1,GUNN OIL COMPANY,New Drill,Vertical,2024-09-20,2024-09-20
42-101-30776,'THOMPSON' 1,WEST TEXAS CRUDE ENERGY LLC,New Drill,Vertical,2024-07-10,2024-07-15
42-101-30775,FARMLAND RESERVE 1,GUNN OIL COMPANY,New Drill,Vertical,2024-01-22,2024-01-24
42-101-30774,CBA 3,GUNN OIL COMPANY,New Drill,Vertical,2023-11-02,2023-11-16
42-101-30773,NAIDA UNIT 1,GUNN OIL COMPANY,New Drill,Vertical,2023-01-20,2023-01-23
42-101-30772,HARRIS 1,GUNN OIL COMPANY,New Drill,Vertical,2023-01-11,2023-01-19
42-101-30771,WESTBROOK UNIT 6,GUNN OIL COMPANY,New Drill,Vertical,2022-10-26,2022-10-31
42-101-30770,WQ 2,GUNN OIL COMPANY,New Drill,Vertical,2022-10-13,2022-10-21
42-101-30769,CBA 2,GUNN OIL COMPANY,New Drill,Vertical,2022-10-13,2022-10-19
42-101-30768,CBA 1,GUNN OIL COMPANY,New Drill,Vertical,2022-06-21,2022-06-28
42-101-30767,PRESTA 1,GUNN OIL COMPANY,New Drill,Vertical,2022-06-06,2022-06-10
42-101-30765,WQ 1,GUNN OIL COMPANY,New Drill,Vertical,2022-05-18,2022-05-20
42-101-30766,DENNIS 1,GUNN OIL COMPANY,New Drill,Vertical,2022-05-18,2022-05-20
42-101-30763,SUSANNA 2,GUNN OIL COMPANY,New Drill,Vertical,2022-04-26,2022-04-28
42-101-30764,WESLEY UNIT 1,GUNN OIL COMPANY,New Drill,Vertical,2022-04-26,2022-04-28
42-101-30762,SUSANNA UNIT 1,GUNN OIL COMPANY,New Drill,Vertical,2021-11-22,2021-11-23
42-101-30761,BURKES 1,GUNN OIL COMPANY,New Drill,Vertical,2021-10-06,2021-10-12
42-101-30760,CHURCH UNIT 6,GUNN OIL COMPANY,New Drill,Vertical,2021-08-24,2021-08-27
42-101-30759,SHONDA 1,GUNN OIL COMPANY,New Drill,Vertical,2021-08-18,2021-08-25
42-101-30757,CARLEEN UNIT 1,GUNN OIL COMPANY,New Drill,Vertical,2021-08-10,2021-08-12
42-101-30758,METHODIST UNIT 1,GUNN OIL COMPANY,New Drill,Vertical,2021-08-10,2021-08-12
42-101-30756,WICHITA RIVER 2 UNIT 2,GUNN OIL COMPANY,New Drill,Vertical,2021-02-15,2021-02-26
42-101-30746,RICHARDS 3,GUNN OIL COMPANY,New Drill,Vertical,2021-02-05,2021-02-11
42-101-30755,L.K. JOHNSON 5N,NWG OPERATING LLC,New Drill,Vertical,2019-05-01,2019-05-02
42-101-30727,BROTHERS A 19,GUNN OIL COMPANY,New Drill,Vertical,2019-01-28,2019-01-30
42-101-30754,JJ DOME 4101,"OASIS OPERATING, INC.",New Drill,Vertical,2018-09-24,2018-09-24
42-101-30632,OWENS 1,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2018-05-10,2018-05-16
42-101-30753,NORTH DELWIN 1,BOONDOCKS SOLUTIONS LLC,New Drill,Vertical,2018-03-19,2018-03-20
42-101-30752,FIELDS 1,TEXAS ROYALTY CORP.,New Drill,Vertical,2017-12-04,2017-12-11
42-101-30751,GIBSON 1,GUNN OIL COMPANY,New Drill,Vertical,2017-05-02,2017-05-09
42-101-30751,GIBSON 1,GUNN OIL COMPANY,New Drill,Vertical,2017-04-25,2017-05-02
42-101-30750,HOLMAN 1,GUNN OIL COMPANY,New Drill,Vertical,2017-04-17,2017-04-24
42-101-30734,WICHITA RIVER BC 1,GUNN OIL COMPANY,New Drill,Vertical,2017-02-27,2017-03-10
42-101-30748,RICHARDS UNIT 4,GUNN OIL COMPANY,New Drill,Vertical,2016-11-28,2016-12-07
42-101-30749,THOMPSON 1,GUNN OIL COMPANY,New Drill,Vertical,2016-11-22,2016-12-06
42-101-30747,CHURCH 5,GUNN OIL COMPANY,New Drill,Vertical,2016-11-21,2016-12-06
42-101-30746,RICHARDS 3,GUNN OIL COMPANY,New Drill,Vertical,2016-09-12,2016-09-15
42-101-30745,RICHARDS 2,GUNN OIL COMPANY,New Drill,Vertical,2016-09-01,2016-09-02
42-101-30744,LECROY 1,GUNN OIL COMPANY,New Drill,Vertical,2016-08-19,2016-08-29
42-101-30742,CHURCH 3,GUNN OIL COMPANY,New Drill,Vertical,2016-07-21,2016-07-26
42-101-30743,CHURCH 4,GUNN OIL COMPANY,New Drill,Vertical,2016-07-21,2016-07-26
42-101-30741,CHURCH 2,GUNN OIL COMPANY,New Drill,Vertical,2016-05-25,2016-05-25
42-101-30740,CHURCH 1,GUNN OIL COMPANY,New Drill,Vertical,2016-05-19,2016-05-20
42-101-30735,WESTBROOK N 2R,GUNN OIL COMPANY,Re-Enter,Vertical,2016-04-12,2016-04-22
42-101-30738,WESTBROOK N 5,GUNN OIL COMPANY,New Drill,Vertical,2016-04-07,2016-04-11
42-101-30739,RICHARDS 1,GUNN OIL COMPANY,New Drill,Vertical,2016-04-05,2016-04-08
42-101-30738,WESTBROOK N 5,GUNN OIL COMPANY,New Drill,Vertical,2016-04-05,2016-04-06
42-101-30737,WESTBROOK N 4,GUNN OIL COMPANY,New Drill,Vertical,2016-03-31,2016-04-11
42-101-30736,WESTBROOK N 3,GUNN OIL COMPANY,New Drill,Vertical,2015-07-09,2015-07-21
