api,well,operator,application_type,drill_type,submitted,approved
42-115-34042,ROBYN LEE A 1H,"HIBERNIA RESOURCES IV, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-115-34043,ROBYN LEE B 2H,"HIBERNIA RESOURCES IV, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-115-34014,BLUE BEAUTY B 1084DN,SM ENERGY COMPANY,New Drill,Horizontal,2025-01-07,
42-115-34040,BADLANDS 19-6 A 2DN,"IKE Operating, LLC",New Drill,Horizontal,2024-12-22,2024-12-23
42-115-34041,BADLANDS 19-6 C 6DN,"IKE Operating, LLC",New Drill,Horizontal,2024-12-22,2024-12-23
42-115-34038,ROBYN LEE G 7H,"HIBERNIA RESOURCES IV, LLC",New Drill,Horizontal,2024-12-18,2024-12-20
42-115-34039,ROBYN LEE H 8H,"HIBERNIA RESOURCES IV, LLC",New Drill,Horizontal,2024-12-18,2024-12-20
42-115-34036,ROBYN LEE E 5H,"HIBERNIA RESOURCES IV, LLC",New Drill,Horizontal,2024-12-18,2024-12-19
42-115-34037,ROBYN LEE F 6H,"HIBERNIA RESOURCES IV, LLC",New Drill,Horizontal,2024-12-18,2024-12-19
42-115-34016,CUTTER COCHISE B 1082DN,SM ENERGY COMPANY,New Drill,Horizontal,2024-12-09,2025-01-08
42-115-34015,CUTTER A 1081DN,SM ENERGY COMPANY,New Drill,Horizontal,2024-12-09,
42-115-34034,OAKMONT A UNIT M 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-21,2024-11-25
42-115-34035,OAKMONT A UNIT L 5H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-21,2024-11-25
42-115-34033,OAKMONT B UNIT M 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-21,2024-11-22
42-115-34032,BLUEBONNET B UNIT M 6H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-20,2024-11-26
42-115-34031,BLUEBONNET C UNIT L 7H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-11-20,2024-11-22
42-115-34030,EAGLE RARE 3-23 1MS,"BURLESON PETROLEUM, INC.",New Drill,Horizontal,2024-11-20,2024-11-21
42-115-34029,SAGUARO 22-34 D 6DN,"IKE Operating, LLC",New Drill,Horizontal,2024-11-12,2024-11-15
42-115-34028,SAGUARO 22-34 A 2DN,"IKE Operating, LLC",New Drill,Horizontal,2024-11-12,2024-11-14
42-115-34027,ANDERSON 1,"BEACH EXPLORATION, INC.",New Drill,Vertical,2024-11-05,2024-11-06
42-115-34025,BIG JAKE A 0983DN,SM ENERGY COMPANY,New Drill,Horizontal,2024-10-31,2024-11-04
42-115-34026,BIG JAKE B 0984DN,SM ENERGY COMPANY,New Drill,Horizontal,2024-10-31,2024-11-04
42-115-34022,DARK HELMET B 2LS,"PetroLegacy Energy III, LLC",New Drill,Horizontal,2024-10-30,2024-11-22
