api,well,operator,application_type,drill_type,submitted,approved
42-149-33607,EMERALD UNIT H 06,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-11-13,2024-11-15
42-149-33605,DUBS HUSKY TWO H 02,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-11-12,2024-11-20
42-149-33606,DUBS HUSKY FOUR H 04,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-11-12,2024-11-20
42-149-33603,R.D. NIEMANN 2H,"ROSEWOOD RESOURCES, INC.",New Drill,Horizontal,2024-07-19,2024-08-01
42-149-33604,R.D. NIEMANN 3H,"ROSEWOOD RESOURCES, INC.",New Drill,Horizontal,2024-07-19,2024-07-30
42-149-33602,R.D. NIEMANN 1H,"ROSEWOOD RESOURCES, INC.",New Drill,Horizontal,2024-07-19,2024-07-24
42-149-33601,MARCUS FIVE H 05,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-15,2024-07-19
42-149-33599,MARCUS THREE H 03,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-15,2024-07-19
42-149-33600,MARCUS ONE H 01,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-15,2024-07-19
42-149-33596,SUMMERBLISS FOUR H 04,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-07-12,2024-08-15
,HERBERT ET. AL. LEASE 6,MCA PETROLEUM CORPORATION,New Drill,Vertical,2024-06-04,
42-149-33597,PIETSCH-TAYLOR UNIT 1H,"DOMINANCE ENERGY, LLC",New Drill,Horizontal,2024-05-28,2024-05-31
42-149-33595,SUMMERBLISS TWO H 02,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-05-27,2024-06-11
42-149-33596,SUMMERBLISS FOUR H 04,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-05-27,2024-06-11
42-149-33594,A.F. STEINHAUSER 13,MCA PETROLEUM CORPORATION,New Drill,Vertical,2024-05-21,2024-08-06
42-149-33593,BISSONNETTE TWO H 02,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-05-03,2024-05-24
42-149-33589,SUMMERBLISS SIX H 06,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-04-30,2024-05-16
42-149-33592,BISS ONE H 01,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-04-29,2024-05-28
42-149-33591,BISSONNETTE FOUR H 04,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-04-29,2024-05-13
42-149-33590,BISSONNETTE SIX H 06,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2024-04-29,2024-05-13
42-149-32956,TOPAZ UNIT 1,GEOSOUTHERN ENERGY CORPORATION,Recompletion,Horizontal,2024-02-07,2024-03-01
42-149-33584,BASSWOOD B 2H,"ROCC Operating, LLC",New Drill,Horizontal,2023-11-27,2023-12-04
42-149-33582,BASSWOOD A 1H,"ROCC Operating, LLC",New Drill,Horizontal,2023-11-27,2023-12-01
42-149-33270,BOWEN RANCH CO-OP 1,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-11-02,2023-11-15
42-149-33588,BROWN ADAM H 02FB,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-30,2023-12-07
42-149-33586,BROWN SEAL H 06FB,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-27,2023-12-07
42-149-33587,BROWN NAVY H 04FB,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-27,2023-12-07
42-149-33582,BASSWOOD A 1H,"ROCC Operating, LLC",New Drill,Horizontal,2023-10-17,2023-10-23
42-149-33584,BASSWOOD B 2H,"ROCC Operating, LLC",New Drill,Horizontal,2023-10-17,2023-10-23
42-149-33583,BROWN MEMORIAL H 08FB,MAGNOLIA OIL & GAS OPERATING LLC,New Drill,Horizontal,2023-10-13,2023-10-23
42-149-33581,STRIED 1,"SANDALWOOD EXPLORATION, L.P.",New Drill,Vertical,2023-08-23,2023-08-25
42-149-33580,BERGER 1,"SANDALWOOD EXPLORATION, L.P.",New Drill,Directional,2023-06-26,2023-06-27
42-149-33544,PORTER MURPHY 1H,LEEXUS OIL LLC,New Drill,Horizontal,2023-06-05,2024-04-25
42-149-33578,DOUGLAS FIR A 1H,"ROCC Oil & Gas, L.P.",New Drill,Horizontal,2023-04-04,2023-04-10
42-149-33579,DOUGLAS FIR B 2H,"ROCC Oil & Gas, L.P.",New Drill,Horizontal,2023-04-04,2023-04-10
42-149-33576,BRISTLECONE B 2H,"ROCC Operating, LLC",New Drill,Horizontal,2023-03-21,2023-03-23
42-149-33577,BRISTLECONE C 3H,"ROCC Operating, LLC",New Drill,Horizontal,2023-03-21,2023-03-23
42-149-33575,GREY WOLF 1H,"GEOSOUTHERN OPERATING II, LLC",New Drill,Horizontal,2023-03-02,2023-03-09
42-149-33574,"JANECKA, D. 'A' 6","SELLERS LEASE SERVICE, INC.",New Drill,Vertical,2023-02-22,2023-03-02
42-149-33567,SAPELE C 3H,"ROCC Operating, LLC",New Drill,Horizontal,2023-02-14,2023-02-23
