api,well,operator,application_type,drill_type,submitted,approved
42-195-31949,ALEXANDER 2JG,"AMARILLO EXPLORATION, INC.",Recompletion,Vertical,2022-12-14,2022-12-22
42-195-30122,HART -C- 1,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-11-17,2022-12-01
42-195-31958,PORTER 33V 2,KING OPERATING CORPORATION,New Drill,Directional,2022-09-19,2022-09-21
42-195-31957,AYRES 79V 3,KING OPERATING CORPORATION,New Drill,Vertical,2022-09-01,2022-09-07
42-195-31938,HOLT 162 1,"BRACKEN OPERATING, L.L.C.",Recompletion,Vertical,2022-04-20,2022-04-26
42-195-31154,"COLLINS, TOM O. 1","BRACKEN OPERATING, L.L.C.",Recompletion,Vertical,2021-10-08,2021-10-14
42-195-31911,CLAWSON 114,"LADDEX, LTD.",Recompletion,Vertical,2020-05-15,2020-05-15
42-195-31956,COLLARD 175,J-BREX COMPANY,New Drill,Vertical,2019-11-18,2019-11-21
42-195-31955,BERNSTEIN 1,"SAGUARO PETROLEUM, LLC",New Drill,Vertical,2019-10-04,2019-10-09
42-195-31954,MCLAIN 1,"WESTERN CHIEF OPERATING, L.L.C.",New Drill,Vertical,2019-09-30,2019-09-30
42-195-31907,BRECHEISEN 9 1,"AMARILLO EXPLORATION, INC.",Recompletion,Vertical,2019-08-27,2019-08-29
42-195-31953,ALEXANDER 4AB,"AMARILLO EXPLORATION, INC.",New Drill,Vertical,2019-07-19,2019-07-23
42-195-31952,SCHNELL 73/64 M001PI,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2019-06-18,2019-06-20
42-195-31951,STEELE-SCHNELL 55/64 M001AP,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2019-05-07,2019-06-14
42-195-31948,ALEXANDER 1MB,"AMARILLO EXPLORATION, INC.",New Drill,Vertical,2019-04-24,2019-06-21
42-195-31943,ROSALIE 1,"AMARILLO EXPLORATION, INC.",New Drill,Vertical,2019-04-24,2019-06-21
42-195-31926,HOLT 1155,"REMNANT ENERGY, INC.",Recompletion,Vertical,2019-03-21,2019-03-21
42-195-31950,HOLT 162 2,"REMNANT ENERGY, INC.",New Drill,Vertical,2019-01-10,2019-01-10
42-195-31185,GREENE 1027,"BRACKEN OPERATING, L.L.C.",Recompletion,Vertical,2018-10-26,2018-11-14
42-195-31949,ALEXANDER 2JG,"AMARILLO EXPLORATION, INC.",New Drill,Vertical,2018-10-15,2018-10-16
42-195-31948,ALEXANDER 1MB,"AMARILLO EXPLORATION, INC.",New Drill,Vertical,2018-08-31,2018-08-31
42-195-31945,BEAUCHAMP 60 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-06-08,2018-06-08
42-195-31946,LASATER 71 M001PA,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2018-06-07,2018-06-11
42-195-31068,"WILBANKS, HIX ESTATE 4101",QUESTA ENERGY CORPORATION,Recompletion,Vertical,2018-05-17,2018-05-22
42-195-31944,ROCK BOTTOM 87 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-04-26,2018-04-30
42-195-31943,ROSALIE 1,"AMARILLO EXPLORATION, INC.",New Drill,Vertical,2018-03-29,2018-03-29
42-195-31942,ROBERTSON LEE J 1,J-BREX COMPANY,New Drill,Vertical,2018-03-22,2018-03-23
42-195-31941,JACKHAMMER 107 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-02-13,2018-02-16
42-195-31939,SLEDGEHAMMER 69 2H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-02-13,2018-02-14
42-195-31940,SLEDGEHAMMER 69 3H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-02-13,2018-02-14
42-195-31938,HOLT 162 1,"REMNANT ENERGY, INC.",New Drill,Vertical,2018-02-02,2018-02-05
42-195-31937,SUTTON 70 M001DM,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2018-02-01,2018-02-02
42-195-31931,DIAMOND CUTTER 56 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-01-12,2018-01-25
42-195-31936,O'LOUGHLIN 67 M001AP,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2017-12-05,2017-12-13
42-195-31934,KIFF WHITE UNIT 6701,"GUNGOLL, CARL E. EXPLORATION LLC",New Drill,Vertical,2017-11-10,2017-11-17
42-195-31935,KIFF WHITE UNIT 6709,"GUNGOLL, CARL E. EXPLORATION LLC",New Drill,Vertical,2017-11-10,2017-11-17
42-195-31933,HANSFORD STATION 1,"PANHANDLE EASTERN P/L CO., LP",New Drill,Vertical,2017-10-02,2017-10-12
42-195-31932,HANSFORD STATION 2,"PANHANDLE EASTERN P/L CO., LP",New Drill,Vertical,2017-10-02,2017-10-11
42-195-31931,DIAMOND CUTTER 56 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-09-06,2017-09-15
42-195-31930,SLEDGEHAMMER 69 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-07-06,2017-07-12
42-195-31929,SCOTT 72 M001AP,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2017-06-28,2017-08-01
42-195-31928,NUSBAUM 55 M001PA,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2017-06-23,2017-06-29
42-195-31927,RENNER-PEARSON 173 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-06-15,2017-06-29
