api,well,operator,application_type,drill_type,submitted,approved
42-199-33660,ARRIOLA FEE 190,"WHITEHEAD RESOURCES, LTD.",New Drill,Vertical,2024-11-25,2024-11-26
42-199-33659,FALCON 1,VENTEX OPERATING CORP.,New Drill,Directional,2024-09-30,2024-10-01
42-199-33659,FALCON 1,VENTEX OPERATING CORP.,New Drill,Directional,2024-07-16,2024-07-19
42-199-33651,METEOR 1,"JAMEX, INC.",New Drill,Directional,2024-06-27,2024-07-02
42-199-33658,"FELDMAN, D. D. FEE C832",SARATOGA PRODUCTION COMPANY LLC,New Drill,Vertical,2024-06-05,2024-06-11
42-199-33657,"FELDMAN, D.D. FEE B831",SARATOGA PRODUCTION COMPANY LLC,New Drill,Vertical,2024-04-30,2024-06-05
42-199-33651,METEOR 1,"JAMEX, INC.",New Drill,Vertical,2024-04-26,2024-04-30
42-199-33641,HARDIN COUNTY OIL CO 24,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2024-04-08,2024-04-11
42-199-33656,"ELLIOT, F.P. FEE 15",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Directional,2024-01-08,2024-01-12
42-199-30037,LYNN OIL COMPANY 12,"RADCO OPERATIONS, L.P.",Re-Enter,Vertical,2023-11-17,2024-01-31
42-199-33655,LONESOME DOVE 1,"WHITEHEAD RESOURCES, LTD.",New Drill,Vertical,2023-11-02,2023-11-03
42-199-33654,TRIGGER 1,"LAWCO OSAGE OPERATING, LLC",New Drill,Directional,2023-10-11,2023-10-16
42-199-33654,TRIGGER 1,"LAWCO OSAGE OPERATING, LLC",New Drill,Directional,2023-09-21,2023-09-22
42-199-32869,BP-VICKERS FEE 1,"HOWARD EXPLORATION, INC.",Recompletion,Vertical,2023-08-23,2023-08-29
42-199-33653,COCKY 1,"WHITEHEAD RESOURCES, LTD.",New Drill,Directional,2023-08-08,2023-08-10
42-199-33564,F. P. ELLIOT FEE 12,FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Directional,2023-07-07,2023-07-14
42-199-33651,METEOR 1,"JAMEX, INC.",New Drill,Vertical,2023-06-28,2023-06-29
42-199-33562,F. P. ELLIOT FEE 11,FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Directional,2023-06-13,2023-07-24
42-199-00141,"BROOKS, G.W. FEE 48",FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Vertical,2023-05-31,2023-06-06
42-199-33650,PANZER 43 1,"CIMARRON ENGINEERING, LLC",New Drill,Directional,2023-01-25,2023-01-31
42-199-32625,ARCO HCSL 1,"MILESTONE OPERATING, INC.",Recompletion,Vertical,2023-01-05,2023-01-11
42-199-33649,ARRIOLA FEE X 49,"WHITEHEAD RESOURCES, LTD.",New Drill,Directional,2022-12-20,2022-12-29
42-199-33648,GILBERT OIL COMPANY 31A,"RADCO OPERATIONS, L.P.",New Drill,Vertical,2022-12-14,2022-12-20
42-199-32592,"BROOKS, G.W. 59",FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-11-30,2022-12-08
42-199-32592,"BROOKS, G.W. FEE 59",FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-10-10,2022-10-17
42-199-33647,"FELDMAN, D. D. FEE C829",SARATOGA PRODUCTION COMPANY LLC,New Drill,Vertical,2022-10-05,2022-10-12
42-199-33646,"FELDMAN, D. D. FEE C830",SARATOGA PRODUCTION COMPANY LLC,New Drill,Vertical,2022-09-28,2022-09-29
42-199-00248,"BROOKS, G.W. 33",FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-09-07,2022-09-13
42-199-33644,H. M. TERRY 21A,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2022-07-13,2022-08-02
42-199-33645,BROWN 1,"RADCO OPERATIONS, L.P.",New Drill,Vertical,2022-07-11,2022-07-29
42-199-33643,"WING, WILSON D. 338","PORTER, JAMES W. SPECIAL",New Drill,Vertical,2022-07-06,2022-07-07
