api,well,operator,application_type,drill_type,submitted,approved
42-211-34298,ISAACS 7,UNIT PETROLEUM COMPANY,Recompletion,Directional,2024-11-26,2024-12-02
42-211-34295,ISAACS 'E' 1,UNIT PETROLEUM COMPANY,Recompletion,Vertical,2024-08-22,2024-08-23
42-211-34301,VOLLMERT 'C' 8,UNIT PETROLEUM COMPANY,Recompletion,Vertical,2024-07-24,2024-07-26
42-211-35673,URSCHEL 49/50 A C001GA,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-07-23,2024-08-02
42-211-35672,VERA MURRAY 18/65 C001JN,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-05-29,2024-06-04
42-211-35671,VERA MURRAY 18/71 A C001GC,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-05-28,2024-06-06
42-211-35670,URSCHEL 49/3 C001IP,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2023-11-27,2023-12-01
42-211-35668,HARPER 32-232 1H,"Ehvi Exploration, LLC",New Drill,Horizontal,2023-10-20,2023-12-06
42-211-35669,SPORTSMAN-ABRAHAM 49/32 A D001BO,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2023-07-18,2023-07-24
42-211-35668,HARPER 32-232 1H,"Ehvi Exploration, LLC",New Drill,Horizontal,2023-04-13,2023-04-20
42-211-34890,MEEK 238 2H,"BLACKBEARD OPERATING, LLC",Reclass,Horizontal,2023-01-24,2023-09-11
42-211-35667,"RISLEY, MAMIE PEARL 12","BRACKEN OPERATING, L.L.C.",New Drill,Vertical,2022-11-07,2022-11-10
42-211-35666,BIG COUNTRY 7401H,"Ehvi Exploration, LLC",New Drill,Horizontal,2022-09-02,2022-10-03
42-211-35665,MEEK 1,UNIT PETROLEUM COMPANY,New Drill,Vertical,2022-08-30,2022-09-06
42-211-35664,CARR 13 3,UNIT PETROLEUM COMPANY,New Drill,Vertical,2022-08-04,2022-08-10
42-211-35663,KEETON 5636,UNIT PETROLEUM COMPANY,New Drill,Vertical,2022-07-19,2022-07-21
42-211-31270,"CAMPBELL, J.W. UNIT 135",LONE TREE OIL & GAS LLC,Recompletion,Vertical,2022-04-29,2022-05-05
42-211-35661,SEADOG ME 1H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2022-04-11,2022-04-14
42-211-35662,SEADOG MD 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2022-04-11,2022-04-14
42-211-35661,SEADOG ME 1H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2022-03-08,2022-03-10
42-211-35662,SEADOG MD 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2022-03-08,2022-03-10
42-211-30702,WILSON ESTATE -A- 2,"BRACKEN OPERATING, L.L.C.",Recompletion,Vertical,2022-02-01,2022-02-04
42-211-35644,MATHERS RANCH 159-148 CL WX 23H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2022-01-25,2022-02-03
42-211-35644,MATHERS RANCH 159-148 CL WX 23H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2022-01-18,2022-01-21
42-211-35659,ZYBACH 2SD,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2021-12-28,2021-12-30
42-211-35658,LITTLE-PYEATT 30-19 ME EX 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-12-22,2022-02-10
42-211-35400,KEETON 5633H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2021-11-01,2021-11-10
42-211-35660,ELLIOTT 107,UPLAND RESOURCES LLC,New Drill,Vertical,2021-10-04,2021-10-11
42-211-35649,HEFLEY-PRATER 32-33 MD CX 3H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-09-24,2022-01-04
42-211-35650,HEFLEY-PRATER 32-33 ME CX 4H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-09-22,2022-01-10
42-211-35659,ZYBACH 2SD,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2021-09-15,2021-09-23
42-211-35657,LITTLE 30-43 ME EX 1H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-08-19,2021-09-15
42-211-35658,LITTLE-PYEATT 30-19 ME EX 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-08-19,2021-09-15
42-211-35635,CARR 14 SL 1437H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2021-08-05,2021-08-11
42-211-35645,MEEK 6814 XL 4H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2021-08-05,2021-08-10
42-211-35656,MEEK-FILLINGIM 45-44 MD CX 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-07-08,2021-07-12
42-211-35656,MEEK-FILLINGIM 45-44 MD CX 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-05-27,2021-06-15
42-211-35655,MEEK-FILLINGIM 45-44 MD EX 1H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-05-21,2021-05-27
42-211-35654,DIXON 5554 XL 7H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2021-05-13,2021-05-17
42-211-33714,ISAACS C 2,UNIT PETROLEUM COMPANY,Recompletion,Vertical,2021-02-05,2021-02-17
42-211-35610,CARR 1357 EXL 3H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2020-10-05,2020-10-05
42-211-35653,MEEK 5455 EXL 1H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2020-08-31,2020-09-04
42-211-35652,MEEK 5453 CXL 3H,UNIT PETROLEUM COMPANY,New Drill,Horizontal,2020-05-07,2020-05-11
42-211-33637,LOCKHART 56 3,UPLAND RESOURCES LLC,Recompletion,Vertical,2020-01-18,2020-02-18
