api,well,operator,application_type,drill_type,submitted,approved
42-225-31052,"DAILEY, R.S. 9B",BIG CREEK OPERATING COMPANY LLC,Recompletion,Vertical,2024-12-31,2025-01-02
42-225-31429,SHELBY 2,BIG CREEK OPERATING COMPANY LLC,New Drill,Vertical,2024-11-05,2024-11-06
42-225-31437,RED TOWN 1,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2024-10-18,2024-10-22
42-225-31437,RED TOWN 1,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2024-10-18,2024-10-21
42-225-31431,L. W. HUFFMAN 10,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-10-15,2024-10-16
42-225-31436,BOBBY YANCEY 1,"AUGUSTA ENERGY RESOURCES, LLC",New Drill,Vertical,2024-08-29,2024-09-04
42-225-31435,"HUFFMAN, L. W. 13","KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-06-05,2024-06-10
42-225-31434,RIESS 2,BIG CREEK OPERATING COMPANY LLC,New Drill,Vertical,2024-05-22,2024-08-29
42-225-31433,L. W. HUFFMAN 12,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-04-18,2024-04-22
42-225-31430,L. W. HUFFMAN 11,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-04-18,2024-04-22
42-225-31432,SHML-75.1 1,COPANO PIPELINES/UP GLFCOAST LLC,New Drill,Vertical,2024-03-18,2024-04-04
42-225-31431,L. W. HUFFMAN 10,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-03-12,2024-04-16
42-225-31430,L. W. HUFFMAN 11,"KODIAK OIL & GAS, INC.",New Drill,Vertical,2024-03-12,2024-03-13
42-225-31429,SHELBY 1S,BIG CREEK OPERATING COMPANY LLC,New Drill,Vertical,2024-01-03,2024-01-05
42-225-31146,MCFADDIN 1,"MAXIMUS OPERATING, LTD.",Recompletion,Vertical,2023-09-18,2023-09-21
42-225-31202,CRESPI 1,"Trailblazer Energy Resources, LLC",Reclass,Directional,2023-06-13,2023-06-15
42-225-31202,CRESPI 1,"Trailblazer Energy Resources, LLC",Reclass,Directional,2023-04-17,2023-04-26
42-225-31426,MOLLIE SHAW 31,RUSK ENERGY OPERATING LLC,New Drill,Vertical,2023-04-05,2024-01-09
42-225-31428,TRINITY STATE BANK 15,RUSK ENERGY OPERATING LLC,New Drill,Vertical,2023-04-05,2024-01-09
42-225-31427,MOLLIE SHAW 37,RUSK ENERGY OPERATING LLC,New Drill,Vertical,2023-04-05,2023-04-10
42-225-31425,SHELBY 1,BIG CREEK OPERATING COMPANY LLC,New Drill,Vertical,2023-03-16,2023-03-16
42-225-31424,NICOL 1H,"Curzac Oil and Gas, LLC",New Drill,Horizontal,2023-01-12,2023-01-26
42-225-31423,PWX GAS UNIT 1,WAGNER OIL COMPANY,New Drill,Vertical,2022-11-14,2022-11-30
42-225-30300,POUNCY 1,BIG CREEK OPERATING COMPANY LLC,Re-Enter,Vertical,2022-07-26,2022-07-27
42-225-31421,ETHEREDGE 2,"BURK ROYALTY CO., LTD.",Recompletion,Directional,2022-04-06,2022-04-13
42-225-31270,EASTHAM STATE PRISON FARM 0703,"ETX ENERGY, LLC",Recompletion,Vertical,2022-03-10,2022-03-17
42-225-31022,TEMPLE-INLAND 1,BRG LONE STAR LTD.,Recompletion,Vertical,2022-03-09,2022-03-22
42-225-31422,LORNA HYATT 1,"MUD CREEK OPERATING, LLC",New Drill,Vertical,2021-12-02,2021-12-08
42-225-30049,"SEVEN J STOCK FARM, INC 25",PARTEN OPERATING INC.,Recompletion,Vertical,2021-09-30,2021-10-13
42-225-31299,EASTHAM STATE PRISON FARM 0503,"ETX ENERGY, LLC",Recompletion,Vertical,2021-09-29,2021-10-04
42-225-31284,EASTHAM STATE PRISON FARM 0103,"ETX ENERGY, LLC",Recompletion,Vertical,2021-09-29,2021-10-04
42-225-31126,EASTHAM STATE PRISON FARM 0701,"ETX ENERGY, LLC",Recompletion,Vertical,2021-09-28,2021-10-04
42-225-31421,DOGECOIN 1,"BURK ROYALTY CO., LTD.",New Drill,Directional,2021-07-31,2021-08-10
42-225-31420,BLACK STONE MINERALS 1,"PETRO-CHEM OPERATING COMPANY,INC",New Drill,Vertical,2021-07-29,2021-09-02
42-225-31419,AVERY 1,BIG CREEK OPERATING COMPANY LLC,New Drill,Vertical,2021-07-06,2021-08-05
