api,well,operator,application_type,drill_type,submitted,approved
42-235-36686,REMAGEN UNIT 1H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2025-01-15,2025-01-17
,SAINT MALO UNIT 2H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2025-01-15,
,SAINT MALO UNIT 1H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2025-01-15,
,MONTE CASSINO UNIT 1H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2025-01-15,
,SAINT MALO UNIT 3H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2025-01-15,
,SAINT MALO UNIT 4H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2025-01-15,
42-235-36592,"NOELKE, W.M. EST 1",SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2025-01-14,
42-235-36682,WAR EMBLEM 1HB,"RISING STAR ENERGY PTR, L.L.C.",New Drill,Horizontal,2025-01-13,2025-01-17
42-235-36630,ANTELOPE DRAW BB N01 4H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2025-01-08,2025-01-10
42-235-36632,ANTELOPE DRAW BB N01 6H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2025-01-08,2025-01-10
42-235-36628,ANTELOPE DRAW BB N01 2H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-235-36629,ANTELOPE DRAW BB N01 3H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-235-36631,ANTELOPE DRAW BB N01 5H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2025-01-08,2025-01-09
42-235-36684,WINTERBOTHAM A-114 1H,WALTER OIL & GAS CORPORATION,New Drill,Horizontal,2024-12-18,2024-12-19
42-235-36683,BASTOGNE UNIT 1H,"MORIAH OPERATING,LLC",New Drill,Horizontal,2024-12-10,2024-12-11
42-235-36682,WAR EMBLEM 1HB,"RISING STAR ENERGY PTR, L.L.C.",New Drill,Horizontal,2024-12-05,2024-12-11
42-235-36671,HIGHLAND AC S3047 4H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36672,HIGHLAND AC S3047 5H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36673,HIGHLAND AC S3047 6H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36674,HIGHLAND AC S3047 7H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36675,SALT HOUSE BC S3041 1H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36676,SALT HOUSE BC S3041 2H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36677,SALT HOUSE BC S3041 3H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36678,SALT HOUSE BC S3041 4H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36679,SALT HOUSE BC S3041 5H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
42-235-36680,SALT HOUSE BC S3041 6H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-12-03,2024-12-05
