api,well,operator,application_type,drill_type,submitted,approved
42-245-32917,BRINE DISPOSAL #1 3,Energy Transfer Spindletop LLC,New Drill,Vertical,2024-11-11,2024-11-12
42-245-32918,CATHODIC PROTECTION 21,TEXAS PIPELINE LLC,New Drill,Vertical,2024-11-06,2024-11-12
42-245-32917,BRINE DISPOSAL #1 3,Energy Transfer Spindletop LLC,New Drill,Vertical,2024-10-29,2024-10-29
42-245-32841,MCFADDIN RANCH 15ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2024-10-04,2024-10-04
42-245-02193,BROUSSARD JE JR-1 1,ExxonMobil Low Carbon Solutions Onshore Storage LLC,Re-Enter,Vertical,2024-09-20,2024-09-20
42-245-32915,GOLDEN TRIANGLE STORAGE 4,"Golden Triangle Storage, LLC",New Drill,Vertical,2024-07-26,2024-07-30
42-245-32916,GOLDEN TRIANGLE STORAGE 3,"Golden Triangle Storage, LLC",New Drill,Vertical,2024-07-26,2024-07-30
42-245-32914,BEAD FARM COMPANY 4,ExxonMobil Low Carbon Solutions Onshore Storage LLC,New Drill,Vertical,2024-07-10,2024-07-11
42-245-32060,MCFADDIN RANCH 13ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2024-05-02,2024-05-07
42-245-32912,BEAD FARM 3,ExxonMobil Low Carbon Solutions Onshore Storage LLC,New Drill,Vertical,2024-03-27,2024-04-17
42-245-32913,LABELLE PROPERTIES LTD 1,ExxonMobil Low Carbon Solutions Onshore Storage LLC,New Drill,Vertical,2024-03-27,2024-04-05
42-245-32911,BEAD FARM CO. 2,ExxonMobil Low Carbon Solutions Onshore Storage LLC,New Drill,Vertical,2024-03-27,2024-04-04
42-245-32910,JUNKER SPENCER 1,"FORT APACHE ENERGY, INC.",New Drill,Directional,2024-02-20,2024-02-23
42-708-30376,STATE TRACT 24-L S/2 SW/4 1,"W&T OFFSHORE, INC.",Recompletion,Vertical,2023-10-26,2023-10-30
42-245-32909,BBW-FIVE AGGIE S 1,Bayou Bend CCS LLC,New Drill,Vertical,2023-10-19,2023-11-09
42-245-32908,BEAD FARM CO. 1,ExxonMobil Low Carbon Solutions Onshore Storage LLC,New Drill,Vertical,2023-06-28,2023-08-18
42-245-32907,GOLDEN TRIANGLE STORAGE 5,"Golden Triangle Storage, LLC",New Drill,Vertical,2023-06-08,2023-06-12
42-245-32907,GOLDEN TRIANGLE STORAGE 5,"Golden Triangle Storage, LLC",New Drill,Vertical,2023-06-01,2023-06-06
42-245-32906,FITZHUGH-BURRELL 1,"FORT APACHE ENERGY, INC.",New Drill,Directional,2023-04-10,2023-04-13
42-245-32879,DOORNBOS BALLARD 1,"DECKER OPERATING CO., L.L.C.",New Drill,Directional,2022-11-22,2022-12-02
42-708-30390,SL20220050 M 1,Bayou Bend CCS LLC,New Drill,Vertical,2022-10-26,2023-02-27
42-245-32632,TYRRELL-COMBEST 1,"BALLARD EXPLORATION COMPANY,INC.",Recompletion,Directional,2022-06-07,2022-06-17
42-245-32905,J.E. BROUSSARD HEIRS 1,"BALLARD EXPLORATION COMPANY,INC.",New Drill,Directional,2022-04-12,2022-05-12
42-245-30213,MCFADDIN RANCH 11ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2022-03-16,2022-04-25
42-245-01791,JEFFERSON LAND CO. 43,"MILESTONE OPERATING, INC.",Recompletion,Directional,2021-11-05,2021-11-22
42-245-32540,BROUSSARD-HEBERT 'E' 1,"BALLARD EXPLORATION COMPANY,INC.",Recompletion,Directional,2021-09-27,2021-10-01
42-245-32676,KM 1,WAGNER OIL COMPANY,Recompletion,Directional,2021-09-15,2021-09-15
42-245-32904,GLADYS CITY 201,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2021-05-10,2021-05-14
42-245-32060,MCFADDIN RANCH 13ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2021-04-12,2021-04-23
42-245-32841,MCFADDIN RANCH 15ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2021-04-09,2021-05-21
42-245-01800,B.A. STEINHAGEN 'E' 1,"MILESTONE OPERATING, INC.",Recompletion,Vertical,2021-02-26,2021-04-14
42-245-31934,MCFADDIN TRUST 91ST,"OLEUM EXPLORATION, LLC",Recompletion,Directional,2020-09-08,2020-09-10
42-245-32903,GLADYS CITY 199,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2020-08-18,2020-08-25
42-245-32902,GLADYS CITY 200,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2020-08-18,2020-08-21
42-245-32841,MCFADDIN RANCH 15ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2020-07-31,2020-08-07
42-245-30236,MCFADDIN TRUST 29R,"OLEUM EXPLORATION, LLC",Recompletion,Directional,2020-07-16,2020-08-18
42-245-32339,QUAIL UNIT 1,"MILESTONE OPERATING, INC.",Recompletion,Directional,2020-07-13,2020-07-21
42-245-32876,MCFADDIN RANCH 16,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2020-06-03,2020-06-04
42-245-32341,PAGGI GAS UNIT 2,HILCORP ENERGY COMPANY,Recompletion,Directional,2020-05-19,2020-07-27
42-245-32899,P. BORDAGES 33,HILCORP ENERGY COMPANY,New Drill,Directional,2020-04-15,2020-04-17
42-245-32898,MCFADDIN RANCH 18,KINGWOOD EXPLORATION LLC,New Drill,Directional,2020-04-09,2020-04-13
42-245-32897,MCFADDIN RANCH 17,KINGWOOD EXPLORATION LLC,New Drill,Directional,2020-04-01,2020-04-01
42-245-32094,"MCFADDIN, W.P.H. 272ST",KINGWOOD EXPLORATION LLC,Recompletion,Directional,2019-12-17,2020-01-02
42-245-32866,SUNSET UNIT 'B' 1,HILCORP ENERGY COMPANY,Recompletion,Directional,2019-12-17,2019-12-19
42-245-01809,"PLEASANT, ED, ET UX 4","MILESTONE OPERATING, INC.",Recompletion,Vertical,2019-11-07,2019-11-13
42-245-32879,CHAZZ REINHOLD 1,"ASPECT ENERGY, LLC",New Drill,Directional,2019-09-30,2019-09-30
42-245-32896,GLADYS CITY 198,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2019-09-18,2019-09-18
42-245-32895,GLADYS CITY 197,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2019-09-16,2019-09-17
42-245-32894,GLADYS CITY 196,"RHEACO OIL COMPANY, LTD.",New Drill,Vertical,2019-09-12,2019-09-16
42-245-32432,HARDER BROUSSARD UNIT 2,HILCORP ENERGY COMPANY,Recompletion,Directional,2019-09-06,2019-09-10
42-245-32432,CONSTITUTION BROUSSARD UNIT 2,HILCORP ENERGY COMPANY,Recompletion,Directional,2019-08-19,2019-08-21
42-245-32893,DOORNBOS 1,"HOUSTON ENERGY OPERATING, L.P.",New Drill,Directional,2019-08-05,2019-08-08
42-245-32893,DOORNBOS 1,"HOUSTON ENERGY OPERATING, L.P.",New Drill,Directional,2019-07-29,2019-07-31
42-245-32095,MCFADDIN RANCH 14ST,KINGWOOD EXPLORATION LLC,Recompletion,Directional,2019-07-09,2019-07-09
42-245-32246,STATE OF TEXAS M-100837 1,"PALNG COMMON FACILITIES CO, LLC",Re-Enter,Directional,2019-07-08,2019-08-29
42-245-32864,MCLEAN UNIT 4 4,"MAGNUM PRODUCING, LP",New Drill,Vertical,2019-06-05,2019-06-10
42-245-32706,KOLANDER 2,HILCORP ENERGY COMPANY,Recompletion,Directional,2019-06-05,2019-06-10
42-245-32892,GLADYS CITY 'A' 200,KINGWOOD EXPLORATION LLC,New Drill,Directional,2019-06-04,2019-06-07
42-245-32885,GCCI 1,"COASTAL CAVERNS, INC.",New Drill,Vertical,2019-05-31,2019-05-31
42-245-32886,GCCI 3,"COASTAL CAVERNS, INC.",New Drill,Vertical,2019-05-31,2019-05-31
42-245-32887,GCCI 5,"COASTAL CAVERNS, INC.",New Drill,Vertical,2019-05-31,2019-05-31
42-245-32888,GCCI 8,"COASTAL CAVERNS, INC.",New Drill,Vertical,2019-05-31,2019-05-31
