api,well,operator,application_type,drill_type,submitted,approved
42-247-32498,KMF 4,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2024-04-10,2024-04-24
42-247-32495,KMF 1,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2024-04-10,2024-04-16
42-247-32496,KMF 2,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2024-03-20,2024-04-05
42-247-32497,KMF 3,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2024-02-23,2024-03-13
42-247-32495,KMF 1,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2023-11-01,2023-11-20
42-247-32496,KMF 2,"NEW CENTURY EXPLORATION, INC.",New Drill,Vertical,2023-11-01,2023-11-20
42-247-31818,MESTENA INC. 'H' 16,"D. O. G. OPERATING, LLC",Re-Enter,Vertical,2023-05-04,2023-06-05
42-247-32484,PINNELL YTURRIA 111,"CHARRO OPERATING, L.L.C.",Recompletion,Vertical,2023-02-10,2023-02-21
42-247-30912,"BASS, MRS. A.M.K. 41",OVERTON PARK OIL & GAS LP,Re-Enter,Vertical,2023-01-10,2023-01-19
42-247-32494,EL SORDO 1,EVEREST RESOURCE COMPANY,New Drill,Vertical,2022-12-06,2022-12-13
42-247-31818,MESTENA INC. 'H' 16,"D. O. G. OPERATING, LLC",Re-Enter,Vertical,2022-11-16,2022-11-29
42-247-32493,MRS. A.M.K. BASS 'B' 101,OVERTON PARK OIL & GAS LP,New Drill,Vertical,2022-10-14,2022-11-21
42-247-32492,MRS. A.M.K. BASS 100,OVERTON PARK OIL & GAS LP,New Drill,Vertical,2022-09-15,2022-10-05
42-247-32491,CHARLES SCHROEDER ET AL 2A,Altalay STX LLC,New Drill,Vertical,2022-07-27,2022-07-28
42-247-32490,LASATER SOUTH 2,OPTIMUM EXPLORATION LLC,New Drill,Vertical,2022-06-24,2022-06-27
42-247-32489,LASATER SOUTH 1,OPTIMUM EXPLORATION LLC,New Drill,Vertical,2022-06-23,2022-06-27
42-247-32488,LOPEZ 101,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2022-06-16,2022-06-21
42-247-32488,LOPEZ 101,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2021-12-28,2022-01-07
42-247-32487,ATLAS-LOPEZ 1,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2021-09-29,2021-10-07
42-247-32486,PINNELL YTURRIA 2LN,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2021-09-02,2021-09-13
42-247-32032,RUFINO & JOSEFA LOPEZ 4,"HUGHES, DAN A. COMPANY, L.P.",Recompletion,Vertical,2021-07-31,2021-08-06
42-247-32485,"GARZA, M., ESTATE 1AH","C & G OPERATING, LLC",New Drill,Horizontal,2020-06-23,2020-06-25
42-247-32485,"GARZA, M., ESTATE 1AH","C & G OPERATING, LLC",New Drill,Horizontal,2020-05-21,2020-05-22
42-247-32485,"GARZA, M., ESTATE 1AH","C & G OPERATING, LLC",New Drill,Horizontal,2020-03-05,2020-03-10
42-247-32484,PINNELL YTURRIA 111,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2019-08-30,2019-09-05
42-247-32484,PINNELL YTURRIA 111,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2019-07-19,2019-07-23
42-247-31818,MESTENA INC. 'H' 16,"D. O. G. OPERATING, LLC",Re-Enter,Vertical,2019-05-28,2019-05-30
42-247-32335,MARRS MCLEAN TRUST A 8,"COLUMBUS ENERGY, LLC",Recompletion,Vertical,2019-05-14,2019-06-18
42-247-32483,PINNELL YTURRIA 1LN,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2019-04-22,2019-04-24
42-247-32243,MCLEAN HEIRS 9,"COLUMBUS ENERGY, LLC",Recompletion,Vertical,2019-03-23,2019-03-25
42-247-32473,PINNELL YTURRIA 123,"CHARRO OPERATING, L.L.C.",Recompletion,Vertical,2018-05-04,2018-05-10
42-247-32482,PINNELL YTURRIA 125,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2018-01-10,2018-01-19
42-247-32481,MESTENA TRACT 1 1R,EVEREST RESOURCE COMPANY,New Drill,Vertical,2017-08-14,2017-08-14
42-247-32477,EAST WILDLIFE FOUNDATION 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2017-08-08,2017-08-15
42-247-32469,EAST BLOCK A 2,"D. O. G. OPERATING, LLC",Recompletion,Vertical,2017-07-25,2017-08-11
42-247-32480,MESTENA TRACT 1 1,EVEREST RESOURCE COMPANY,New Drill,Vertical,2017-07-17,2017-07-18
42-247-32479,EAST WILDLIFE FOUNDATION 1A,"TEAL ENERGY USA, INC.",New Drill,Vertical,2017-05-05,2017-05-12
42-247-32478,MESTENA TRACT II 1,EVEREST RESOURCE COMPANY,New Drill,Vertical,2017-04-30,2017-05-04
42-247-32477,EAST 1,"TEAL ENERGY USA, INC.",New Drill,Vertical,2017-04-03,2017-04-11
42-247-32476,PINNELL YTURRIA 124,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2017-03-17,2017-03-30
42-247-32475,THOMPSON 1,"HUGHES, DAN A. COMPANY, L.P.",New Drill,Vertical,2017-02-17,2017-03-09
42-247-32474,FRANK ARMSTRONG 1,"BATTLECAT OIL & GAS, LLC",New Drill,Vertical,2016-06-02,2016-06-03
42-247-32473,PINNELL YTURRIA 123,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2016-05-17,2016-05-23
42-247-32001,WEIL 'B' 2,"D. O. G. OPERATING, LLC",Recompletion,Vertical,2016-04-02,2016-04-15
42-247-32163,"PEREZ, F. 'C' 4",HILCORP ENERGY COMPANY,Recompletion,Directional,2016-02-25,2016-04-07
42-247-32138,"PEREZ, F. 'C' 2",HILCORP ENERGY COMPANY,Recompletion,Vertical,2016-02-25,2016-03-16
42-247-32146,F. PEREZ 'C' 3,HILCORP ENERGY COMPANY,Recompletion,Directional,2016-02-25,2016-03-10
42-247-32115,"PEREZ, E. 1",HILCORP ENERGY COMPANY,Recompletion,Directional,2016-02-25,2016-02-28
42-247-32146,F. PEREZ 'C' 3,HILCORP ENERGY COMPANY,Recompletion,Directional,2015-12-11,2015-12-14
42-247-32472,HOLBEIN 1,"BATTLECAT OIL & GAS, LLC",New Drill,Vertical,2015-10-09,2015-10-16
42-247-32471,PINNELL YTURRIA 122,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2015-07-27,2015-07-30
42-247-32470,KMF 1,"HANKEY OPERATING, INC.",New Drill,Vertical,2015-02-17,2015-02-23
42-247-32468,EAST BLOCK A 1H,"VENADO OIL & GAS, LLC",New Drill,Horizontal,2014-12-18,2014-12-22
42-247-32469,EAST BLOCK A 2,"VENADO OIL & GAS, LLC",New Drill,Vertical,2014-12-18,2014-12-22
42-247-32467,EAST BLOCK B 1H,"VENADO OIL & GAS, LLC",New Drill,Horizontal,2014-12-18,2014-12-22
42-247-31972,DANA HELLEN 11,PRIME OPERATING COMPANY,Recompletion,Vertical,2014-07-29,2014-09-24
42-247-32138,F. PEREZ -C- 2,HILCORP ENERGY COMPANY,Recompletion,Vertical,2014-07-11,2014-09-08
42-247-32466,KMF WYNN 902,"WYNN-CROSBY OPERATING, LTD.",New Drill,Vertical,2014-06-03,2014-10-06
42-247-32465,KMF WYNN 903,"WYNN-CROSBY OPERATING, LTD.",New Drill,Vertical,2014-06-03,2014-07-14
42-247-32464,KMF WYNN 901,"WYNN-CROSBY OPERATING, LTD.",New Drill,Vertical,2014-06-03,2014-07-11
42-247-32463,RENEE 1,"TERRAFINA ENERGY, LLC",New Drill,Vertical,2014-06-03,2014-07-02
42-247-32457,MESTENA H 27,"BLUESTONE NATURAL RES. II, LLC",New Drill,Vertical,2014-04-30,2014-08-20
42-247-32462,MUNOZ 1,LOS INDIOS EXPLORATION LLC,New Drill,Vertical,2014-04-15,2014-05-21
42-247-32461,PINNELL YTURRIA UNIT 1 12,"CHARRO OPERATING, L.L.C.",New Drill,Vertical,2014-04-13,2014-05-16
42-247-32451,GRAND-LASATER 2,"GRAND OPERATING, INC.",New Drill,Vertical,2014-04-02,2014-05-17
42-247-32460,"MONTALVO, ROLDAN 3","BLUESTONE NATURAL RES. II, LLC",New Drill,Vertical,2014-02-05,2014-03-07
42-247-32459,"MONTALVO, ROLDAN 2","BLUESTONE NATURAL RES. II, LLC",New Drill,Vertical,2014-02-04,2014-04-02
42-247-32447,PRADERA 1,"ALTA MESA SERVICES, LP",Recompletion,Vertical,2014-01-28,2014-02-25
42-247-32458,FLORES GAS UNIT 3,"BLUESTONE NATURAL RES. II, LLC",New Drill,Vertical,2014-01-03,2014-01-22
42-247-32457,MESTENA H 27,"BLUESTONE NATURAL RES. II, LLC",New Drill,Vertical,2013-12-06,2013-12-23
42-247-32274,PALOMAS RANCH 1,"MESTENA OPERATING, L.L.C.",Recompletion,Vertical,2013-10-22,2013-11-08
42-247-32455,ESPERANZA 1,"ALTA MESA SERVICES, LP",New Drill,Vertical,2013-10-18,2013-10-28
42-247-32447,PRADERA 1H,"ALTA MESA SERVICES, LP",Recompletion,Horizontal,2013-10-10,2013-10-17
42-247-32031,WEIL 'B' 5,"D. O. G. OPERATING, LLC",Recompletion,Vertical,2013-10-07,2013-10-16
42-247-32454,F. ARMSTRONG 1,DEWBRE PETROLEUM CORPORATION,New Drill,Vertical,2013-09-05,2013-09-11
42-247-32453,RANCHO BLANCO CORPORATION/STATE 7,"ESCUDO OIL & GAS, LLC",New Drill,Directional,2013-08-26,2013-09-17
42-247-32451,GRAND-LASATER 2,"GRAND OPERATING, INC.",New Drill,Vertical,2013-08-07,2013-08-16
42-247-32452,GRAND-LASATER 1,"GRAND OPERATING, INC.",New Drill,Vertical,2013-08-07,2013-08-12
42-247-32450,KMF-GIBBS LANDS 1,HAMMAN OIL & REFINING COMPANY,New Drill,Vertical,2013-07-12,2013-07-19
42-247-32448,BALUARTE 1H,"ALTA MESA SERVICES, LP",New Drill,Horizontal,2013-06-14,2013-06-14
42-247-32449,VASTO 1H,"ALTA MESA SERVICES, LP",New Drill,Horizontal,2013-05-10,2013-05-14
42-247-32448,BALUARTE 1H,"ALTA MESA SERVICES, LP",New Drill,Horizontal,2013-04-17,2013-04-19
42-247-32448,BALUARTE 1H,"ALTA MESA SERVICES, LP",New Drill,Horizontal,2013-03-26,2013-03-28
42-247-32447,PRADERA 1H,"ALTA MESA SERVICES, LP",New Drill,Horizontal,2013-01-23,2013-01-28
42-247-32200,WEIL 2,TEXAS SOUTHERN PETROLEUM CORP.,Recompletion,Vertical,2013-01-15,2013-01-30
42-247-32446,PALOMA 1,"ALTA MESA SERVICES, LP",New Drill,Vertical,2013-01-04,2013-01-08
42-247-31742,DANIEL GUTIERREZ ET AL 1,"FIRST AMERICAN OIL COMPANY, INC.",Recompletion,Vertical,2012-11-09,2012-11-20
42-247-32445,"HELLEN MINERAL PROPERTIES, LTD. 1","TRI-C RESOURCES, LLC",New Drill,Vertical,2012-05-16,2012-05-25
