api,well,operator,application_type,drill_type,submitted,approved
42-261-31491,"EAST, S.K. MRS. 208","HEADINGTON ENERGY PARTNERS, LLC",Recompletion,Vertical,2024-09-30,2024-10-03
42-261-31629,SANTA FE JULIAN PASTURE 5,"ABACO OPERATING, LLC",New Drill,Vertical,2024-05-13,2024-05-21
42-261-31510,SANTA FE JULIAN PASTURE 1,"ABACO OPERATING, LLC",Recompletion,Vertical,2024-01-31,2024-02-02
42-261-31628,HIGH GROUND 1,"KEBO OIL & GAS, INC.",New Drill,Directional,2023-02-09,2023-02-15
42-261-31627,POTRERO FARIAS SOUTH O&G UNIT 10,"SARITA ENERGY RESOURCES, LTD.",New Drill,Directional,2022-11-02,2022-11-10
42-261-31626,SANTA FE RANCH MULA PASTURE 407,"HUGHES, DAN A. COMPANY, L.P.",New Drill,Vertical,2022-10-07,2022-10-27
42-261-31352,SANTA FE RANCH MULA PASTURE 53,"HUGHES, DAN A. COMPANY, L.P.",Recompletion,Vertical,2022-07-27,2022-08-02
42-261-31624,DIVIDEND 1,Brazoria Operating LLC,New Drill,Vertical,2022-07-27,2022-07-28
42-261-31625,SEAHORSE 1,Brazoria Operating LLC,New Drill,Vertical,2022-07-27,2022-07-28
42-261-31623,POTRERO FARIAS SOUTH O&G UNIT 9,"SARITA ENERGY RESOURCES, LTD.",New Drill,Directional,2022-05-03,2022-05-17
42-261-31455,"EAST, MRS. S.K. 'B' 92",HILCORP ENERGY COMPANY,Recompletion,Directional,2022-03-28,2022-04-19
42-261-31621,KING RANCH TULLIDOS 2110,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2021-09-02,2021-09-07
42-261-31620,KING RANCH ALEJANDRO 2104,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2021-06-14,2021-06-24
42-261-31622,KMF 169 1,"SARITA ENERGY RESOURCES, LTD.",New Drill,Directional,2021-05-27,2021-09-24
42-261-31619,SANTA FE RANCH MULA PASTURE 307,"HUGHES, DAN A. COMPANY, L.P.",New Drill,Vertical,2021-03-23,2021-03-25
42-261-31618,KING RANCH TULLIDOS 2101,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2021-03-12,2021-03-17
42-261-31617,EOG-1 1,"EOG RESOURCES, INC.",New Drill,Vertical,2020-08-24,2020-09-08
42-261-31391,"EAST, MRS. S.K. 'B' 70",HILCORP ENERGY COMPANY,Recompletion,Vertical,2020-07-24,2020-07-28
42-261-31616,SANTA FE RANCH MULA PASTURE SOUT 207,"HUGHES, DAN A. COMPANY, L.P.",New Drill,Vertical,2020-06-05,2020-06-29
42-261-31520,SANTA FE RANCH JULIAN PASTURE 109,"HUGHES, DAN A. COMPANY, L.P.",Recompletion,Vertical,2020-02-11,2020-02-12
42-261-31555,"EAST, MRS S.K. 220","HEADINGTON ENERGY PARTNERS, LLC",Recompletion,Vertical,2020-01-24,2020-01-30
42-261-31615,KMF 17,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-12-12,2019-12-17
42-261-31609,JOHN G. KENEDY JR. 'C' 63,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-10-30,2019-11-05
42-261-31614,MRS. S.K. EAST 226,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-10-03,2019-10-10
42-261-31613,TOBIN ARMSTRONG 16,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-08-26,2019-08-29
42-261-31612,KMF 16,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-08-13,2019-08-19
42-261-31610,SARITA FIELD OIL & GAS UNIT 402,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-06-24,2019-06-26
42-261-31611,SARITA FIELD OIL & GAS UNIT 405,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-06-24,2019-06-26
42-261-31609,JOHN G. KENEDY JR. 'C' 63,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-06-21,2019-06-26
42-261-31607,JOHN G. KENEDY JR 'C' 62,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-06-20,2019-06-24
42-261-31608,JOHN G. KENEDY JR. 'C' 60,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-06-17,2019-06-24
42-261-31606,SARITA FIELD OIL & GAS UNIT 403,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-06-05,2019-06-18
42-261-31605,SARITA FIELD OIL & GAS UNIT 401,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Vertical,2019-06-05,2019-06-18
42-261-31598,SANTA FE RANCH MULA PASTURE 107,"HUGHES, DAN A. COMPANY, L.P.",Other,Vertical,2019-05-22,2019-05-29
42-261-31594,KMF 10,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-04-29,2019-05-03
42-261-31479,MRS S. K. EAST 207,"HEADINGTON ENERGY PARTNERS, LLC",Recompletion,Vertical,2019-04-15,2019-04-22
42-261-31604,KMF-80 2,"SARITA ENERGY RESOURCES, LTD.",New Drill,Directional,2019-04-08,2019-04-25
42-261-31603,KMF 14,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-03-06,2019-03-12
42-261-31602,KMF 12,"HEADINGTON ENERGY PARTNERS, LLC",New Drill,Directional,2019-03-05,2019-03-11
