api,well,operator,application_type,drill_type,submitted,approved
42-263-32173,HOT SPRINGS 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-10-21,2024-10-22
42-263-32172,SPIRES RANCH B 103 1,JOINT RESOURCES COMPANY,New Drill,Vertical,2024-10-08,2024-11-04
42-263-31178,SALT CREEK FIELD UNIT C658,OXY USA WTP LP,Recompletion,Vertical,2024-09-24,2024-09-26
42-263-30618,SALT CREEK FIELD UNIT E314W,OXY USA WTP LP,Recompletion,Vertical,2024-08-15,2024-08-20
42-263-31182,SALT CREEK FIELD UNIT D 74W,OXY USA WTP LP,Recompletion,Vertical,2024-07-24,2024-07-26
42-263-32169,SALT CREEK FIELD UNIT C438,OXY USA WTP LP,New Drill,Directional,2024-06-25,2024-06-28
42-263-32170,SALT CREEK FIELD UNIT C439,OXY USA WTP LP,New Drill,Directional,2024-06-25,2024-06-28
42-263-32169,SALT CREEK FIELD UNIT C438,OXY USA WTP LP,New Drill,Directional,2024-05-21,2024-05-23
42-263-32170,SALT CREEK FIELD UNIT C439,OXY USA WTP LP,New Drill,Directional,2024-05-21,2024-05-23
42-263-32171,SALT CREEK FIELD UNIT C440,OXY USA WTP LP,New Drill,Directional,2024-05-21,2024-05-23
42-263-32168,SPIRES RANCH C 103 3,JOINT RESOURCES COMPANY,New Drill,Vertical,2024-05-16,2024-05-21
42-263-32167,BEGGS 7,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-04-05,2024-05-21
42-263-31244,SALT CREEK FIELD UNIT E326,OXY USA WTP LP,Recompletion,Vertical,2024-03-25,2024-03-26
42-263-31145,SALT CREEK FIELD UNIT E320,OXY USA WTP LP,Recompletion,Vertical,2024-03-25,2024-03-26
42-263-31749,SALT CREEK FIELD UNIT F 24A,OXY USA WTP LP,Recompletion,Vertical,2024-03-25,2024-03-26
42-263-31213,SALT CREEK FIELD UNIT G517,OXY USA WTP LP,Recompletion,Vertical,2024-03-25,2024-03-26
42-263-32166,SALT CREEK FIELD UNIT E034RW,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-12-05
42-263-32159,SALT CREEK FIELD UNIT C436,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-11-30
42-263-32160,SALT CREEK FIELD UNIT C437,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-11-30
42-263-32161,SALT CREEK FIELD UNIT C441,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-11-30
42-263-32162,SALT CREEK FIELD UNIT C442,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-11-30
42-263-32163,SALT CREEK FIELD UNIT C664R,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-11-30
42-263-32164,SALT CREEK FIELD UNIT F044,OXY USA WTP LP,New Drill,Directional,2023-11-28,2023-11-30
42-263-32165,SALT CREEK FIELD UNIT E337,OXY USA WTP LP,New Drill,Vertical,2023-11-28,2023-11-30
42-263-00195,SALT CREEK FIELD UNIT E 38W,OXY USA WTP LP,Recompletion,Vertical,2023-08-22,2023-09-01
42-263-32158,SPIRES RANCH B 103 2,JOINT RESOURCES COMPANY,New Drill,Vertical,2023-08-10,2023-09-13
42-263-32157,SALT CREEK FIELD UNIT C435,OXY USA WTP LP,New Drill,Directional,2023-05-11,2023-05-15
42-263-31150,SALT CREEK FIELD UNIT F214,OXY USA WTP LP,Recompletion,Vertical,2023-04-10,2023-04-11
42-263-32153,SALT CREEK FIELD UNIT F042,OXY USA WTP LP,New Drill,Vertical,2023-04-10,2023-04-11
42-263-32154,SALT CREEK FIELD UNIT F043,OXY USA WTP LP,New Drill,Vertical,2023-04-10,2023-04-11
42-263-32155,SALT CREEK FIELD UNIT C434,OXY USA WTP LP,New Drill,Directional,2023-04-10,2023-04-11
42-263-32156,SALT CREEK FIELD UNIT C519R,OXY USA WTP LP,New Drill,Vertical,2023-04-10,2023-04-11
42-263-31132,SALT CREEK FIELD UNIT E410,OXY USA WTP LP,Recompletion,Vertical,2023-03-23,2023-07-21
42-263-31188,SALT CREEK FIELD UNIT E412,OXY USA WTP LP,Recompletion,Vertical,2023-03-23,2023-06-02
42-263-31437,SALT CREEK FIELD UNIT E 37AW,OXY USA WTP LP,Recompletion,Directional,2023-03-20,2023-07-13
42-263-32152,BEGGS 6,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-11-04,2022-12-27
42-263-32151,WALLACE 3603,"WALSH & WATTS, INC.",New Drill,Vertical,2022-08-10,2022-08-15
42-263-31191,SALT CREEK FIELD UNIT E413,OXY USA WTP LP,Recompletion,Vertical,2022-04-19,2022-04-25
42-263-32150,SPIRES RANCH A 103 1,JOINT RESOURCES COMPANY,New Drill,Vertical,2022-04-01,2022-04-14
