api,well,operator,application_type,drill_type,submitted,approved
42-275-32380,LCR 1,"BROWER OIL & GAS CO., INC.",New Drill,Vertical,2024-06-11,2024-06-14
42-275-32379,WAGGONER SWWB 451SW,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2024-05-30,2024-06-05
42-275-32378,WAGGONER SWWA 31SW,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2024-05-24,2024-05-28
42-275-32377,BUZZARD PEAK 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-05-06,2024-05-08
42-275-32375,MCELROY 1,"DOUBLE M PETROPROPERTIES, INC.",New Drill,Vertical,2024-04-26,2024-04-30
42-275-32376,ALEXANDER TRUST 1,"DOUBLE M PETROPROPERTIES, INC.",New Drill,Vertical,2024-04-26,2024-04-30
42-275-32374,LANKFORD 2,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-04-25,2024-04-29
42-275-32373,"PARKER, C. D. 9","CRAAYBEEK'S PRO ENERGY, L.L.C.",New Drill,Vertical,2024-02-22,2024-03-07
42-275-32372,JUNGMAN 2,"COVENANT OPERATING, LLC",New Drill,Vertical,2024-02-13,2024-02-16
42-275-32357,JONES UNIT 2,"DOUBLE M PETROPROPERTIES, INC.",Re-Enter,Vertical,2023-10-20,2023-10-23
42-275-32371,JB UNIT 1,"DOUBLE M PETROPROPERTIES, INC.",New Drill,Vertical,2023-03-22,2023-03-22
42-275-32370,HAILEY SOUTH 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2023-03-16,2023-03-20
42-275-32369,U6 (2ND)-10 04,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-03-02,2023-03-09
42-275-32368,"PARKER, C. D. 8","CRAAYBEEK'S PRO ENERGY, L.L.C.",New Drill,Vertical,2023-01-13,2023-01-19
42-275-32363,"STROUD, LILA 30",SHILOH OIL COMPANY LLC,New Drill,Vertical,2022-12-01,2022-12-06
42-275-32364,"STROUD, LILA 31",SHILOH OIL COMPANY LLC,New Drill,Vertical,2022-12-01,2022-12-06
42-275-32365,"STROUD, LILA 32",SHILOH OIL COMPANY LLC,New Drill,Vertical,2022-12-01,2022-12-06
42-275-32366,"STROUD, LILA 33",SHILOH OIL COMPANY LLC,New Drill,Vertical,2022-12-01,2022-12-06
42-275-32367,"STROUD, LILA 34",SHILOH OIL COMPANY LLC,New Drill,Vertical,2022-12-01,2022-12-06
42-275-32348,GG OIL 1 1,GG OIL LLC,New Drill,Vertical,2022-11-18,2022-12-02
42-275-32362,THOMPSON 1,"HW OPERATING, LLC",New Drill,Vertical,2022-10-11,2022-10-14
42-275-32361,"PARKER, C. D. 7","CRAAYBEEK'S PRO ENERGY, L.L.C.",New Drill,Vertical,2022-07-08,2022-07-14
42-275-32360,KATE 1,"TEAL EXPLORATION, LLC",New Drill,Vertical,2022-06-14,2022-06-21
42-275-32359,"PARKER, C.D. 6","CRAAYBEEK'S PRO ENERGY, L.L.C.",New Drill,Vertical,2022-05-03,2022-05-09
42-275-32358,CIRCLE BAR 1,"DOUBLE M PETROPROPERTIES, INC.",New Drill,Vertical,2022-03-17,2022-03-24
42-275-32357,JONES UNIT 2,"EXPRO ENGINEERING, INC.",New Drill,Vertical,2021-10-21,2021-11-01
42-275-32355,CARTWRIGHT 'Q' 32,D.J. & T. ENERGY,New Drill,Vertical,2021-09-17,2021-09-23
42-275-32356,CARTWRIGHT 'Q' 33,D.J. & T. ENERGY,New Drill,Vertical,2021-09-17,2021-09-23
42-275-32354,MCFADDIN 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-07-30,2021-07-30
42-275-32353,DIANNE 7,"TEAL EXPLORATION, LLC",New Drill,Vertical,2021-03-31,2021-04-01
42-275-32352,JONES UNIT 1,"EXPRO ENGINEERING, INC.",New Drill,Vertical,2021-02-10,2021-02-16
42-275-32350,WILLIAMSON 1,GUNN OIL COMPANY,New Drill,Vertical,2020-09-02,2020-09-04
