api,well,operator,application_type,drill_type,submitted,approved
42-315-30141,GULF 1W,"FOSSIL ENERGY, INC.",Recompletion,Vertical,2022-08-12,2022-10-07
42-315-31072,SHARP 2H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2021-05-12,2021-05-21
42-315-31071,SHARP 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2021-04-28,2021-05-06
42-315-31070,NADINE 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2021-04-14,2021-04-22
42-315-31069,SWAMP FOX 1,"RFE OPERATING, LLC",New Drill,Vertical,2021-01-29,2021-02-09
42-315-31068,WEST 1,ENERQUEST CORPORATION,New Drill,Vertical,2020-10-28,2020-11-03
42-315-31011,CANNONBALL 1,"KMK OIL & GAS, INC.",New Drill,Vertical,2020-04-02,2020-04-06
42-315-31062,WENDELL BREVARD 2,ENERQUEST CORPORATION,New Drill,Vertical,2020-02-04,2020-02-07
42-315-31058,DONNA LEE 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2020-01-24,2020-02-14
42-315-31066,ALVIS 1,ENERQUEST CORPORATION,New Drill,Vertical,2019-11-16,2019-12-03
42-315-31056,THOMPSON 2H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2019-08-27,2019-09-04
42-315-31064,MORRIS 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2019-04-30,2019-05-06
42-315-31062,WENDELL BREVARD 2,ENERQUEST CORPORATION,New Drill,Vertical,2019-03-27,2019-04-02
42-315-31061,LAKE FERRELL UNIT 1603H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-12-17,2018-12-19
42-315-31060,LAKE FERRELL UNIT 1602H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-11-16,2018-12-31
42-315-31059,WATSON HEIRS 1,BROOKS PETROLEUM COMPANY,New Drill,Vertical,2018-10-24,2018-10-25
42-315-31058,DONNA LEE 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-10-01,2018-10-02
42-315-31052,MILLER 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-09-12,2018-09-20
42-315-31002,ROCHESTER 1,"HOWELL OIL & GAS, INC.",Recompletion,Vertical,2018-09-03,2018-09-06
42-315-31057,STATE LEASE 119305 1,"PETRO-CHEM OPERATING COMPANY,INC",New Drill,Vertical,2018-08-30,2018-09-06
42-315-31056,HAGGARD 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-08-23,2018-08-24
42-315-31055,TREADWELL 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-08-07,2018-12-31
42-315-31051,WOLAVER 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-06-27,2018-07-03
42-315-30844,ORR 1,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2018-05-02,2018-05-03
42-315-31054,DURRUM 1H,"HERD PRODUCING COMPANY, INC.",New Drill,Horizontal,2018-03-16,2018-03-23
42-315-31047,LAKE FERRELL UNIT 1803H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-03-14,2018-03-22
42-315-31050,LAKE FERRELL UNIT 1804H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-03-07,2018-05-09
42-315-31054,DURRUM 1H,"HERD PRODUCING COMPANY, INC.",New Drill,Horizontal,2018-02-15,2018-02-16
42-315-31048,LAKE FERRELL UNIT 1802H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2018-02-07,2018-02-09
42-315-31053,CYPRESS B 4,"MERCURY OPERATING, LLC",New Drill,Directional,2018-01-03,2018-01-26
42-315-31039,THOMPSON 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-12-08,2017-12-20
42-315-31045,BELL 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-10-10,2017-10-27
42-315-31051,WOLAVER 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-08-29,2017-08-31
42-315-31052,MILLER 1H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-08-24,2017-09-06
42-315-30959,BLACK STONE MINERALS LP 1,SABINE OIL & GAS CORPORATION,Recompletion,Vertical,2017-07-11,2017-07-12
42-315-31046,TJIII 1,"PETRO-CHEM OPERATING COMPANY,INC",New Drill,Vertical,2017-07-06,2017-07-12
42-315-31049,LAKE FERRELL UNIT 1805H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-06-28,2017-07-17
42-315-31050,LAKE FERRELL UNIT 1804H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-06-20,2017-07-13
42-315-31047,LAKE FERRELL UNIT 1803H,BROOKS PETROLEUM COMPANY,New Drill,Horizontal,2017-06-12,2017-06-23
42-315-31046,TJIII 1,"PETRO-CHEM OPERATING COMPANY,INC",New Drill,Vertical,2017-06-07,2017-06-22
