api,well,operator,application_type,drill_type,submitted,approved
,CAMPBELL 1US,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,CAMPBELL 2WB,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,CAMPBELL 1WB,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,CAMPBELL 1LS,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,CAMPBELL 1JM,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,CAMPBELL 1MS,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,CAMPBELL 2LS,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-16,
,BUTCH CASSIDY 43-7 UNIT 1 R241WA,ENDEAVOR ENERGY RESOURCES L.P.,New Drill,Horizontal,2025-01-16,
,CAMPBELL 2US,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-15,
,CAMPBELL 2JM,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-15,
,CAMPBELL 2MS,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-15,
,CAMPBELL 3WB,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-15,
,CAMPBELL 4LS,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-15,
,CAMPBELL 3LS,DIAMONDBACK E&P LLC,New Drill,Horizontal,2025-01-15,
,ATE319-12024152 1,,New Drill,Vertical,2025-01-15,
,SALE-LOUDER 33I 9H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33A 101H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33E 105H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33B 102H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33F 106H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33C 3H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33G 7H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33H 108H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33C 103H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33D 4H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33G 107H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33I 109H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33H 8H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-YARBROUGH 33D 104H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33F 6H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33E 5H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33B 2H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
,SALE-LOUDER 33A 1H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-14,
42-317-45516,TARZAN ALLOC 1&2 2075JH,XTO ENERGY INC.,New Drill,Horizontal,2025-01-09,2025-01-14
42-317-46604,BLACKGOLDENEYE 13-1 UNIT 2 3DN,ENDEAVOR ENERGY RESOURCES L.P.,New Drill,Horizontal,2025-01-09,2025-01-10
42-317-46605,BLACKGOLDENEYE 13-1 UNIT 2 8WA,ENDEAVOR ENERGY RESOURCES L.P.,New Drill,Horizontal,2025-01-09,2025-01-10
42-317-46602,MABEE 4P 16H,"PIONEER NATURAL RES. USA, INC.",New Drill,Horizontal,2025-01-09,
