api,well,operator,application_type,drill_type,submitted,approved
42-343-30132,LUXOR 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2025-01-07,
42-343-30131,SAHARA 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-12-27,2024-12-30
42-343-30132,LUXOR 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-12-13,2024-12-18
42-343-30131,SAHARA 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-12-05,2024-12-12
42-343-30130,TUSCANY 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-11-20,2024-11-25
42-343-30128,IMPERIAL 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-08-14,2024-09-13
42-343-30129,MANDALAY 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-08-14,2024-08-20
42-343-30127,ENCORE 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-26,2025-01-07
42-343-30126,MGM 1H UNIT 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-09,2025-01-15
42-343-30122,WYNN 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-09,2024-07-24
42-343-30125,WHITE 1,BARROW-SHAVER RESOURCES CO.,New Drill,Vertical,2024-05-28,2024-05-30
42-343-30124,BELLAGIO 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-02-09,2024-04-26
42-343-30124,BELAGGIO 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2023-12-29,2024-02-08
42-343-30123,ARIA 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2023-12-15,2023-12-28
42-343-30122,WYNN 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2023-05-18,2023-05-26
42-343-30122,WYNN 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2023-04-19,2023-04-25
42-343-30116,HORSESHOE 1,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2022-12-21,2023-01-17
42-343-30121,MONTE CARLO 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2022-07-27,2022-07-27
42-343-30120,BINIONS 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2022-05-25,2022-06-03
42-343-30119,FREMONT 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2022-02-24,2022-03-01
42-343-30118,CIRCUS CIRCUS 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2021-10-28,2021-11-10
42-343-30117,RIO 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2021-09-09,2021-09-13
42-343-30116,HORSESHOE 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2021-08-23,2021-08-27
42-343-30115,GOLDEN NUGGET 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2021-06-15,2021-06-18
42-343-30114,DUNES 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2021-03-29,2021-04-01
42-343-30113,TROPICANA 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2021-03-23,2021-03-26
42-343-30110,POLLAN 1,BARROW-SHAVER RESOURCES CO.,Field Transfer,Vertical,2020-10-23,2020-10-23
42-343-30109,QUARLES 1,BARROW-SHAVER RESOURCES CO.,Field Transfer,Vertical,2020-10-22,2020-10-23
42-343-30112,FLAMINGO 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2020-06-26,2020-06-30
42-343-30111,CAESARS 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2020-06-15,2020-06-25
42-343-30110,POLLAN 1,BARROW-SHAVER RESOURCES CO.,New Drill,Vertical,2018-08-27,2018-08-27
42-343-30109,QUARLES 1,BARROW-SHAVER RESOURCES CO.,Field Transfer,Vertical,2017-08-02,2017-08-29
42-343-30109,QUARLES 1,BARROW-SHAVER RESOURCES CO.,New Drill,Vertical,2014-11-26,2014-12-01
42-343-30108,LONE STAR STEEL 1,"BURK ROYALTY CO., LTD.",Recompletion,Vertical,2004-07-13,2004-07-20
42-343-30108,LONE STAR STEEL 1,"BURK ROYALTY CO., LTD.",New Drill,Vertical,2003-03-05,2003-03-05
42-343-30107,NIX B 1,CITIES SERVICE OIL & GAS CORP.,New Drill,Vertical,1986-10-24,1986-10-24
42-343-30106,"BROVENTURE COMPANY, INC. ""B"" 2B",DIVERSIFIED LAND & EXPLOR. CO.,New Drill,Vertical,1986-03-31,1986-07-29
42-343-30105,"BROVENTURE COMPANY, INC. ""B"" 1B",DIVERSIFIED LAND & EXPLOR. CO.,New Drill,Vertical,1986-03-31,1986-07-28
42-343-30104,HOLLEY/HALL 1,"SUPERIOR OIL COMPANY, THE",New Drill,Vertical,1985-04-04,1985-04-08
42-343-30103,COKER 1,"GRIMM, JACK F.",New Drill,Vertical,1982-11-03,1982-11-03
42-343-30102,MISS BUD 1,"THOR ENERGY OF LOUISIANA, INC.",New Drill,Vertical,1982-07-06,1982-07-06
42-343-30101,"CONNOR, M. 1",TEXACO INC.,New Drill,Vertical,1981-12-07,1981-12-07
42-343-30100,BROVENTURE CORP. 1,"OMNI-EXPLORATION, INC.",New Drill,Vertical,1981-10-15,1981-10-15
42-343-30099,BROVENTURE 1,"CZAR RESOURCES, INC.",New Drill,Vertical,1980-07-15,1980-07-15
