api,well,operator,application_type,drill_type,submitted,approved
42-345-30362,MOORE 1,GUNN OIL COMPANY,New Drill,Vertical,2024-09-20,2024-09-20
42-345-30361,SHOENAIL 2,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2023-11-27,2023-11-30
42-345-30360,TAYLOR 'B' 6,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2023-08-14,2023-08-18
42-345-30360,TAYLOR 6,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2023-06-29,2023-08-03
42-345-30358,SHOENAIL 1,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2022-05-11,2022-05-16
42-345-30357,"MULLIN, W.W. 8","DRY FORK PRODUCTION CO., LLC",New Drill,Vertical,2022-01-13,2022-01-21
42-345-30356,COGDELL 17,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2021-12-29,2022-01-05
42-345-30355,COGDELL 16,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2021-11-09,2021-12-15
42-345-30354,COGDELL 15,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2021-07-07,2021-07-09
42-345-30353,TURTLE HOLE 1,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2021-01-08,2021-01-14
42-345-30352,CRAZY C-9 5,REO OPERATING LLC,New Drill,Vertical,2020-12-17,2020-12-22
42-345-30351,COGDELL B 14,REO OPERATING LLC,New Drill,Vertical,2020-12-17,2020-12-21
42-345-30350,COGDELL 13,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2020-07-10,2020-07-23
42-345-30349,COGDELL-62 12,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2019-12-18,2020-01-24
42-345-30348,CRAZY C-9 4,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2019-11-08,2020-01-22
42-345-30347,COGDELL T 11,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2019-07-01,2019-07-02
42-345-30345,COGDELL 10,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2018-12-04,2018-12-18
42-345-30346,CRAZY C 1 3,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2018-12-04,2018-12-17
42-345-30344,COGDELL 2,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2018-08-27,2018-09-24
42-345-30343,COGDELL 9,REO OPERATING LLC,New Drill,Vertical,2018-07-12,2018-07-17
42-345-30343,COGDELL 9,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2018-06-19,2018-06-21
42-345-30342,TAYLOR 5,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2018-03-12,2018-04-19
42-345-30341,CRAZY C 2,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2017-10-11,2017-11-17
42-345-30340,COGDELL C 8,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2017-10-10,2017-11-13
42-345-30337,TAYLOR 4,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2017-06-05,2017-07-13
42-345-30339,COGDELL 1,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2017-03-02,2017-03-15
42-345-30338,COGDELL B 7,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2016-11-21,2016-11-30
42-345-30337,TAYLOR 4,"PATTON, E. N. OIL COMPANY, INC.",New Drill,Vertical,2016-09-13,2016-09-15
42-345-30336,COGDELL A 6,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2016-04-21,2016-04-27
42-345-30335,CLARY 1,GUNN OIL COMPANY,New Drill,Vertical,2016-04-20,2016-04-21
42-345-30334,COGDELL 5,ESCO OIL OPERATING COMPANY LLC,New Drill,Vertical,2016-03-09,2016-03-21
