api,well,operator,application_type,drill_type,submitted,approved
42-351-30927,HANKAMER FOUNDATION 1,"FORZA OPERATING, LLC",Recompletion,Vertical,2024-10-02,2024-10-08
42-351-30935,HANKAMER 1,"TEXAKOMA E & P, LLC",New Drill,Vertical,2024-09-24,2024-09-27
,"KURTH, J.H., JR. -B- 10",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Directional,2024-07-18,
,QUINN 8,"INDIAN EXPLORATION, INC.",New Drill,Directional,2024-06-26,
,"KURTH, J.H., JR. -B- 10",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Directional,2024-03-08,
42-351-30617,CHAMPION INT'L. UNIT A-492 1,"PRIZE EXPLORATION & PROD, LLC",Recompletion,Vertical,2023-10-03,2023-10-06
42-351-30694,DONNER - BROWN A-459 UNIT 2,"PRIZE EXPLORATION & PROD, LLC",Recompletion,Vertical,2023-01-30,2023-04-05
42-351-30935,HANKAMER 1,"TEXAKOMA E & P, LLC",New Drill,Vertical,2022-08-08,2022-08-10
42-351-30934,"KURTH, J.H., JR -A- 11",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Directional,2022-04-13,2022-04-21
42-351-30934,"KURTH, J.H., JR -A- 11",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Directional,2022-03-01,2022-03-07
42-351-30933,BROWN-DONNER A-1166 UNIT 2H,"PRIZE EXPLORATION & PROD, LLC",New Drill,Horizontal,2022-02-09,2022-03-16
42-351-30931,CARTHAGE 1HA,"CONTINENTAL TREND RESOURCES, INC",New Drill,Horizontal,2021-08-27,2021-09-02
42-351-30932,DOGWOOD 1,"WHITEHEAD RESOURCES, LTD.",New Drill,Vertical,2021-08-27,2021-09-02
42-351-30917,"KURTH, J.H., JR. -B- 8A",FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Vertical,2021-01-11,2021-01-14
42-351-30602,DONNER-BROWN UNIT A-621 1,"COPESTONE OPERATING, LLC",Recompletion,Horizontal,2020-11-20,2020-12-22
42-351-30930,GIBBS BROS. UNIT 2H,"PRIZE EXPLORATION & PROD, LLC",New Drill,Horizontal,2020-11-19,2020-11-23
42-351-30929,FALCON 1,"CONTOUR EXPL AND PROD, LLC",New Drill,Directional,2020-07-10,2020-07-14
42-351-30888,BLACK STONE 1,84 ENERGY LLC,Recompletion,Vertical,2020-05-08,2020-05-15
42-351-30928,HLR 1,"CIMARRON ENGINEERING, LLC",New Drill,Directional,2019-12-30,2020-01-03
42-351-30927,HANKAMER FOUNDATION 1,"FORZA OPERATING, LLC",New Drill,Vertical,2019-08-13,2019-08-14
42-351-30926,BP BLACK STONE 1,"SEI OPERATING, LLC",New Drill,Vertical,2019-07-11,2019-07-18
42-351-30917,"KURTH, J.H., JR. -A- 8A",FOUNDATION ENERGY MANAGEMENT LLC,Recompletion,Vertical,2019-05-13,2019-05-16
42-351-30926,BP BLACK STONE 1,"SEI OPERATING, LLC",New Drill,Vertical,2019-04-15,2019-04-24
42-351-30831,NICHOLAS 1ST,HILCORP ENERGY COMPANY,Recompletion,Directional,2018-08-29,2018-09-05
42-351-30816,ADIRONDACK TIMBER 1,PRIME OPERATING COMPANY,Recompletion,Vertical,2018-07-17,2018-07-19
42-351-30924,"KURTH, J.H., JR. -A- 9A",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Vertical,2018-05-24,2018-05-30
42-351-30923,BLACK STONE 407 1,"COSTA ENERGY, LLC",New Drill,Directional,2018-04-11,2018-04-16
42-351-30858,DONNER UNIT 2,BIG GAS OIL LLC,Recompletion,Vertical,2018-03-08,2018-05-03
42-351-30596,CHAMPION INT'L UNIT A-1164 1H,"GRIT OIL & GAS, LLC",Recompletion,Horizontal,2018-01-25,2018-01-31
42-351-30922,QUINN 1,WAGNER OIL COMPANY,New Drill,Vertical,2017-07-18,2017-07-18
42-351-00503,MEL K 1A,PRIME OPERATING COMPANY,Recompletion,Vertical,2017-07-05,2017-07-13
42-351-30921,CLAYBAR UNIT 1,HILCORP ENERGY COMPANY,New Drill,Directional,2017-06-28,2017-07-11
42-351-30919,BRINSON 1,HILCORP ENERGY COMPANY,New Drill,Directional,2017-06-26,2017-06-29
42-351-30917,"KURTH, J.H., JR. -A- 8A",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-06-13,2017-06-21
42-351-30918,HINRICHS 1,HILCORP ENERGY COMPANY,New Drill,Directional,2017-06-08,2017-06-21
42-351-30899,HANKAMER 1,FIRSTRIKE ENERGY CORPORATION,Recompletion,Directional,2017-06-07,2017-06-21
42-351-30917,"KURTH, J.H., JR. -A- 8A",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-03-28,2017-04-07
42-351-30916,BLEDSOE LINDSEY UNIT 1ST,"TRI-C RESOURCES, LLC",New Drill,Directional,2017-03-10,2017-03-21
42-351-30916,BLEDSOE LINDSEY 1,"TRI-C RESOURCES, LLC",New Drill,Directional,2017-01-05,2017-01-12
42-351-30915,BLACKSTONE UNIT A-537 2H,"COPESTONE OPERATING, LLC",New Drill,Horizontal,2016-06-27,2016-07-01
42-351-30652,JONES UNIT A-423 1ST,"COPESTONE OPERATING, LLC",Recompletion,Horizontal,2016-05-26,2016-05-31
42-351-30902,BLACK STONE 1,SEELY OIL COMPANY,Recompletion,Vertical,2016-05-19,2016-08-09
42-351-30892,C.A. DYER - PUMA 2,PRIME OPERATING COMPANY,Recompletion,Vertical,2016-05-19,2016-05-23
42-351-30888,BLACK STONE 1,"FREEMAN EXPL. & PROD. CO., INC.",Recompletion,Vertical,2016-05-11,2016-05-16
42-351-30914,HARTBURG 3,HILCORP ENERGY COMPANY,New Drill,Directional,2016-03-02,2016-03-14
42-351-30913,"KURTH, J.H., JR. -A- 7A",FOUNDATION ENERGY MANAGEMENT LLC,New Drill,Vertical,2016-02-09,2016-02-24
42-351-30872,ARCO CALL & JONES 8AR,ARGENT ENERGY (US) HOLDINGS INC.,Recompletion,Directional,2015-10-19,2015-10-27
42-351-30912,BLACKSTONE 1,"TREK RESOURCES, INC.",New Drill,Directional,2015-10-13,2015-10-21
