api,well,operator,application_type,drill_type,submitted,approved
42-355-34225,VIPER DUGGER 2,"VIPER S.W.D., LLC",New Drill,Vertical,2024-12-18,2024-12-20
42-355-34227,SIMNACHER UNIT 1,Suemaur Operating LLC,New Drill,Vertical,2024-10-17,2024-10-21
42-355-34227,SIMNACHER 1,"SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2024-09-05,2024-10-03
42-355-34219,WILSON 1,"HARRIS ENERGY SERVICES, LLC",New Drill,Vertical,2024-08-22,2024-08-23
42-355-33705,DUGGER 3,"KRC OPERATING, LLC",Recompletion,Vertical,2024-08-09,2024-08-14
42-355-34226,MCCLUER 1,"S & D VACUUM SERVICE, LLC",New Drill,Vertical,2024-06-24,2024-06-26
42-355-33947,PERKINS-LAGASSE 2,GREAT WESTERN DRILLING COMPANY,Recompletion,Vertical,2024-04-11,2024-04-18
42-355-34220,LYONDELL5 C 01,"EQUISTAR CHEMICALS, LP",New Drill,Vertical,2024-03-18,2024-04-05
42-355-34225,VIPER DUGGER 2,"VIPER S.W.D., LLC",New Drill,Vertical,2024-03-11,2024-03-12
42-355-34224,"HRNCIR, ET AL UNIT 3","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2024-02-05,2024-02-07
42-355-34223,HLMW 1,"Paloma Operating, LLC",New Drill,Vertical,2024-01-23,2024-01-25
42-355-33936,"DUGGER, L.M. 22","KRC OPERATING, LLC",Recompletion,Vertical,2024-01-12,2024-01-24
42-355-34222,VIPER DUGGER 1,"VIPER S.W.D., LLC",New Drill,Vertical,2024-01-12,2024-01-16
42-355-34221,BATES 1,"TAG OPERATING COMPANY, INC.",New Drill,Directional,2023-12-28,2024-01-19
42-355-34116,MEJIA UNIT 1,"FORZA OPERATING, LLC",Recompletion,Vertical,2023-10-31,2023-11-07
42-355-34220,LYONDELL5 C 01,"LYONDELLBASELL TRANSPORT CO, LLC",New Drill,Vertical,2023-09-21,2023-11-03
42-355-32869,ERIGAN-QUIROZ 4,ANDERSON OIL LTD.,Recompletion,Vertical,2023-09-11,2023-11-03
42-355-34219,WILSON 1,"HARRIS ENERGY SERVICES, LLC",New Drill,Vertical,2023-07-18,2023-07-21
42-355-34218,"HRNCIR, ET AL UNIT 2","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2023-07-11,2023-07-18
42-355-34217,HOWZE 1,"Paloma Operating, LLC",New Drill,Vertical,2023-07-06,2023-07-14
42-355-34216,RODDY RIPPLE G.U. 2,"SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2023-06-01,2023-06-09
42-355-34215,CRANE 1,"CIMARRON ENGINEERING, LLC",New Drill,Vertical,2023-04-26,2023-04-27
42-355-34214,DWB 1,"Paloma Operating, LLC",New Drill,Vertical,2023-04-11,2023-04-17
42-355-34210,"HRNCIR, ET AL UNIT 1","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2023-02-10,2023-02-16
42-355-34213,ISENSEE 4,GREAT WESTERN DRILLING COMPANY,New Drill,Vertical,2023-02-03,2023-05-01
42-355-34212,LUBY 1,"DAHCO OPERATING, LLC",New Drill,Vertical,2022-12-08,2022-12-14
42-355-34075,BARLOW 2,"KRC OPERATING, LLC",Recompletion,Vertical,2022-10-28,2022-11-01
42-355-34208,SCARBOROUGH 1,"SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2022-10-27,2022-11-15
42-355-34210,"HRNCIR, ET AL GAS UNIT 1","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2022-10-13,2022-10-20
42-355-34211,KNIGHT 1,"Paloma Operating, LLC",New Drill,Vertical,2022-10-12,2022-10-18
42-355-34209,AGNES AND OMAHA 17,"TICONA POLYMERS, INC.",New Drill,Vertical,2022-09-12,2022-10-06
42-355-34208,SCARBOROUGH 1,"SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2022-08-19,2022-08-22
42-355-34207,EQUISTAR VALVE STATION 2 1,"EQUISTAR CHEMICALS, LP",New Drill,Vertical,2022-08-05,2022-08-23
42-355-34206,"BLUNTZER, ET AL GAS UNIT 1","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2022-07-01,2022-07-01
42-355-30448,CLARA DRISCOLL A 11,"URBAN OIL & GAS GROUP, LLC",Recompletion,Vertical,2022-06-07,2022-07-08
42-355-04732,"INGRAM, J.C. A 4","URBAN OIL & GAS GROUP, LLC",Recompletion,Vertical,2022-06-07,2022-07-06
42-355-34196,FRIEDRICH 2,RINCON PETROLEUM CORPORATION,New Drill,Vertical,2022-06-01,2022-06-08
42-355-34204,CATHODIC - ERIN DR 1,"FLINT HILLS RESOURCES, LC",New Drill,Vertical,2022-05-20,2022-06-08
42-355-34205,CATHODIC - FM 407 1,"FLINT HILLS RESOURCES, LC",New Drill,Vertical,2022-05-20,2022-06-08
42-355-34203,CWL 1-3 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2022-04-06,2022-04-13
42-355-34202,MCCANN 1,"DAHCO OPERATING, LLC",New Drill,Vertical,2022-03-15,2022-03-30
42-355-34201,"PROCHASKA , ET AL GAS UNIT 3","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2022-03-15,2022-03-18
42-355-06178,L. M. DUGGER 15F,DEWBRE PETROLEUM CORPORATION,Recompletion,Vertical,2022-01-28,2022-02-07
42-355-34200,SO-1 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2021-12-13,2022-01-05
42-355-34199,"BURNETT, ET AL GAS UNIT 9","SUEMAUR EXPL. & PROD., LLC",New Drill,Directional,2021-11-10,2021-11-19
42-355-34198,"BURNETT, ET AL GAS UNIT 8","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2021-09-24,2021-09-30
42-355-01633,BLISS 22,ANDERSON OIL LTD.,Recompletion,Vertical,2021-09-14,2021-09-29
42-355-34197,WRIGHT 1,DEGUELLO OPERATING LLC,New Drill,Vertical,2021-06-16,2021-06-18
42-355-06178,L. M. DUGGER 15H,DEWBRE PETROLEUM CORPORATION,Recompletion,Vertical,2021-06-01,2021-06-16
42-355-34196,FRIEDRICH 2,RINCON PETROLEUM CORPORATION,New Drill,Vertical,2021-06-01,2021-06-03
42-355-34195,"PROCHASKA, ET AL G.U. 2","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2021-04-28,2021-05-03
42-355-34194,"OTAHAL, ET AL G.U. 6","SUEMAUR EXPL. & PROD., LLC",New Drill,Vertical,2021-03-30,2021-04-01
