api,well,operator,application_type,drill_type,submitted,approved
42-361-30994,NORTH LAKEVIEW 1,"BALLARD EXPLORATION COMPANY,INC.",New Drill,Directional,2024-07-24,2024-07-29
42-361-30993,TEN MILE 1,"ATOKA OPERATING, INC.",New Drill,Directional,2023-11-14,2023-11-17
42-361-30977,BREECE UNIT 1ST,"COSTA ENERGY, LLC",Recompletion,Directional,2022-07-26,2022-07-28
42-361-30992,EMERALD 1,"CIMARRON ENGINEERING, LLC",New Drill,Directional,2021-10-05,2021-10-13
42-361-30991,MOONSHINE 1,"VANTAGE OPERATING, LLC",New Drill,Directional,2021-09-03,2021-09-29
42-361-30990,ALLAR 1,"VANTAGE OPERATING, LLC",New Drill,Vertical,2021-08-02,2021-08-02
42-361-30933,WILLIAMS 8,HILCORP ENERGY COMPANY,Recompletion,Directional,2021-04-07,2021-04-13
42-361-30990,ALLAR 1,"VANTAGE OPERATING, LLC",New Drill,Vertical,2020-03-09,2020-03-11
42-361-30664,WILLIAMS 2ST,HILCORP ENERGY COMPANY,Recompletion,Directional,2020-01-06,2020-01-09
42-361-30989,HARRIS GAS UNIT 2,DAYLIGHT PETROLEUM LLC,New Drill,Directional,2019-10-25,2019-11-20
42-361-30942,MVP 'A-183' 2ST,UPSTREAM EXPLORATION LLC,Recompletion,Directional,2019-05-08,2019-05-14
42-361-30988,LOST CREEK 1,"SQUARE MILE ENERGY, L.L.C.",New Drill,Directional,2018-09-14,2018-09-14
42-361-30570,MORGANS BLUFF HACKBERRY UNIT P 11ST,"FIVE-JAB, INC.",Recompletion,Vertical,2018-06-22,2018-06-22
42-361-30986,LONGLEY SWD 1,"FIVE-JAB, INC.",New Drill,Vertical,2018-03-20,2018-03-20
42-361-30985,EVANGELINE 2,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-12-08,2017-12-15
42-361-30983,LEXINGTON 102ST,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-11-28,2017-12-01
42-361-30983,LEXINGTON 1ST,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-11-20,2017-11-21
42-361-30984,EVANGELINE 1,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-11-17,2017-11-21
42-361-30983,LEXINGTON 1,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-10-16,2017-10-23
42-361-30982,MOONTOWER 1,"SQUARE MILE ENERGY, L.L.C.",New Drill,Directional,2017-10-13,2017-10-23
42-361-30981,MVP 'A-126' 1,UPSTREAM EXPLORATION LLC,New Drill,Directional,2017-06-27,2017-07-10
42-361-30980,TEXLA MILL 3,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-04-12,2017-04-24
42-361-30978,GULF LEE HAGER FEE 39,BENCHMARK OIL & GAS COMPANY,New Drill,Directional,2017-03-01,2017-03-08
42-361-30979,GULF LEE HAGER FEE 40,BENCHMARK OIL & GAS COMPANY,New Drill,Directional,2017-03-01,2017-03-08
42-361-30977,BREECE UNIT 1,"CHOICE EXPLORATION, INC.",New Drill,Directional,2017-02-24,2017-03-03
42-361-30916,HANNAH 3,HILCORP ENERGY COMPANY,Recompletion,Directional,2017-01-17,2017-01-19
42-361-30976,POWELL LUMBER 1,"TRI-C RESOURCES, LLC",New Drill,Directional,2017-01-12,2017-01-23
42-361-30967,F.T PEVETO A 6,BENCHMARK OIL & GAS COMPANY,New Drill,Directional,2016-12-29,2017-01-13
42-361-30975,SIMMONS UNIT 1,"CHOICE EXPLORATION, INC.",New Drill,Directional,2016-11-02,2016-11-21
42-361-30974,ARMSTRONG G. U. 1D,WHITE OAK OPERATING COMPANY LLC,New Drill,Vertical,2016-09-13,2016-09-21
42-361-30973,HARRIS SWD 1,"FIVE-JAB, INC.",New Drill,Vertical,2016-02-28,2016-03-17
42-361-30972,R.E. ODOM 192 1,"CHOICE EXPLORATION, INC.",New Drill,Directional,2015-07-15,2015-07-24
