api,well,operator,application_type,drill_type,submitted,approved
42-377-30615,PRESIDIO I&I 711,"HELIOS OPERATING, LLC",New Drill,Vertical,2022-04-20,2022-04-25
42-377-30614,DENNIS BERRY 1421,"HELIOS OPERATING, LLC",New Drill,Vertical,2022-04-07,2022-06-16
42-377-30613,STATE HELIOS 5201,"HELIOS OPERATING, LLC",New Drill,Horizontal,2022-04-06,2022-04-14
42-377-30613,STATE HELIOS 5201,"HELIOS OPERATING, LLC",New Drill,Vertical,2022-01-26,2022-01-27
42-377-30611,PRESIDIO I&I 1412,"HELIOS OPERATING, LLC",New Drill,Horizontal,2019-04-08,2019-04-09
42-377-30611,PRESIDIO I&I 1412,"HELIOS OPERATING, LLC",New Drill,Vertical,2018-06-22,2018-12-31
42-377-30612,PRESIDIO I&I 1471,"HELIOS OPERATING, LLC",New Drill,Vertical,2018-06-22,2018-06-22
42-377-30610,PRESIDIO I&I 1131,"HELIOS OPERATING, LLC",New Drill,Vertical,2017-06-16,2017-06-26
42-377-30610,PRESIDIO I&I 1131,"HELIOS OPERATING, LLC",New Drill,Vertical,2017-04-07,2017-04-18
42-377-30609,PRESIDIO I&I 1411,"HELIOS OPERATING, LLC",New Drill,Vertical,2017-04-07,2017-04-17
42-377-30608,GENE WEST 1,"INLAND OCEAN, INC.",New Drill,Vertical,2014-05-30,2014-07-01
42-377-30608,GENE WEST 1,"INLAND OCEAN, INC.",New Drill,Vertical,2014-05-14,2014-05-30
42-377-30607,BARRETT BROS 1,"INLAND OCEAN, INC.",New Drill,Vertical,2013-04-19,2013-04-23
42-377-30607,BARRETT BROS 1,"INLAND OCEAN, INC.",New Drill,Vertical,2012-12-17,2013-02-26
42-377-30606,GEORGE ALTOS ENERGY 2,"ALTOS ENERGY & EXPLORATION, LLC",New Drill,Vertical,2011-12-07,2011-12-10
42-377-30604,CORRIGAN STATE 101 1,"CARRIZO OIL & GAS, INC.",New Drill,Vertical,2011-03-03,2011-03-07
42-377-30605,ALTOS ENERGY 1,SED ENERGY INC.,New Drill,Vertical,2010-11-10,2010-11-15
42-377-30604,CORRIGAN STATE 101 1H,"CARRIZO OIL & GAS, INC.",New Drill,Horizontal,2010-10-04,2010-10-05
42-377-30604,CORRIGAN STATE 101 1H,"CARRIZO OIL & GAS, INC.",New Drill,Horizontal,2010-07-13,2010-07-15
42-377-30603,GIANT-LYKES DPW 1C,"GIANT PETROLEUM, INC.",New Drill,Vertical,2007-05-07,2007-05-15
42-377-30602,GIANT-LYKES DPW 1B,"GIANT PETROLEUM, INC.",New Drill,Vertical,2007-04-30,2007-05-07
42-377-30601,GIANT-LYKES DPW 1,"GIANT PETROLEUM, INC.",New Drill,Vertical,2007-03-01,2007-03-09
42-377-30002,SIMPSON 1,"CONTINENTAL TREND RESOURCES, INC",Re-Enter,Vertical,2006-08-15,2006-08-18
42-377-30600,CASCABEL-CHRISTOPER 1,"CASCABEL PETROLEUM, INC.",New Drill,Vertical,2005-04-27,2005-04-27
42-377-30599,"THOMAS, BENNIE SUE 1","RELIANCE OIL AND GAS, INC.",New Drill,Vertical,2004-08-03,2004-08-03
42-377-30598,REYNOLDS 1437,"KNOX, STEVE OIL COMPANY",New Drill,Vertical,2003-10-02,2003-10-06
42-377-30599,"THOMAS, BENNIE SUE 1","RELIANCE OIL AND GAS, INC.",New Drill,Vertical,1999-10-25,1999-11-01
42-377-30594,BERTHOLD 1,"RAPTOR RESOURCES, INC.",New Drill,Vertical,1999-06-30,1999-07-02
42-377-30596,BARRETT 2480,"KNOX, STEVE OIL COMPANY",New Drill,Vertical,1998-01-07,1998-01-14
42-377-30595,BARRETT 1431,"KNOX, STEVE OIL COMPANY",New Drill,Vertical,1997-09-22,1997-09-29
42-377-30594,BERTHOLD 1,MARIAH ENERGY CORP.,New Drill,Vertical,1997-05-19,1997-05-22
42-377-30593,BARRETT 1480,"KNOX, STEVE OIL COMPANY",New Drill,Vertical,1996-10-24,1996-10-28
42-377-30592,MACGUIRE 1,MW PETROLEUM CORPORATION,New Drill,Vertical,1992-09-09,1992-09-09
