api,well,operator,application_type,drill_type,submitted,approved
42-415-35628,MAPACHE GRANDE 154B 1H,"THREE SPAN OIL & GAS, INC.",New Drill,Horizontal,2025-01-10,2025-01-14
42-415-35780,BADLANDS 48-29-10 1H,"BROWNING OIL COMPANY, INC.",New Drill,Horizontal,2025-01-08,2025-01-09
42-415-35769,SACROC UNIT 354-6,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-12-06,2024-12-10
42-415-35229,THUNDER VALLEY 240 UNIT 1H,"THREE SPAN OIL & GAS, INC.",Recompletion,Horizontal,2024-12-03,2024-12-06
42-415-35695,MAPACHE GRANDE 231 1H,"THREE SPAN OIL & GAS, INC.",New Drill,Horizontal,2024-11-21,2024-11-22
42-415-01510,LION DIAMOND 'M' UNIT H 11W,KINDER MORGAN PRODUCTION CO LLC,Re-Enter,Vertical,2024-11-15,2024-11-26
42-415-01390,LION DIAMOND 'M' UNIT H 10W,KINDER MORGAN PRODUCTION CO LLC,Re-Enter,Vertical,2024-11-15,2024-11-21
42-415-35617,SACROC UNIT 349-8,KINDER MORGAN PRODUCTION CO LLC,Recompletion,Directional,2024-11-04,2024-11-06
42-415-35617,SACROC UNIT 349-8,KINDER MORGAN PRODUCTION CO LLC,Recompletion,Directional,2024-10-29,2024-11-01
42-415-35779,SACROC UNIT 326-2,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-24,2024-10-31
42-415-35778,SACROC UNIT 354-4,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-24,2024-10-31
42-415-35777,SACROC UNIT 354-2,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-24,2024-10-30
42-415-35776,MAPACHE GRANDE 019 1H,"THREE SPAN OIL & GAS, INC.",New Drill,Horizontal,2024-10-24,2024-10-25
42-415-35775,SACROC UNIT 344-4,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-24,2024-10-24
42-415-35773,SACROC UNIT 354-3,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-23,2024-10-24
42-415-35774,SACROC UNIT 354-10,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-23,2024-10-24
42-415-35772,SACROC UNIT 327-6,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-10-17,2024-11-07
42-415-30176,L. H. BEAVER 1,"ELEMENT PETROLEUM OPERATING IV,",Re-Enter,Vertical,2024-10-03,2024-10-23
42-415-35769,SACROC UNIT 354-6,KINDER MORGAN PRODUCTION CO LLC,New Drill,Vertical,2024-09-24,2024-09-26
42-415-35770,SACROC UNIT 344-5,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-24,2024-09-26
42-415-35771,SACROC UNIT 354-11,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-24,2024-09-26
42-415-35761,MAPACHE 032B UNIT 1H,"THREE SPAN OIL & GAS, INC.",New Drill,Horizontal,2024-09-24,2024-09-26
42-415-35765,SACROC UNIT 354-5,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-24,2024-09-25
42-415-35766,SACROC UNIT 354-12,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-24,2024-09-25
42-415-35767,SACROC UNIT 354-9,KINDER MORGAN PRODUCTION CO LLC,New Drill,Vertical,2024-09-24,2024-09-25
42-415-35768,SACROC UNIT 354-8,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-24,2024-09-25
42-415-35764,BILLY BAROO 461-428 UNIT 2MH,"ELEMENT PETROLEUM OPERATING IV,",New Drill,Horizontal,2024-09-19,2024-09-20
42-415-35763,SACROC UNIT 354-1,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-17,2024-09-18
42-415-35762,LION DIAMOND 'M' UNIT M 5B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-13,2024-09-17
42-415-35761,MAPACHE GRANDE 032B UNIT 1H,"THREE SPAN OIL & GAS, INC.",New Drill,Horizontal,2024-09-13,2024-09-17
42-415-35760,LION DIAMOND 'M' UNIT J 5B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-09-12,2024-09-13
42-415-30624,LION DIAMOND 'M' UNIT J 5B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-07-05,2024-07-26
42-415-35758,LION DIAMOND 'M' UNIT J 1B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-07-05,2024-07-12
42-415-35759,LION DIAMOND 'M' UNIT I 6B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-07-05,2024-07-12
42-415-35756,LION DIAMOND 'M' UNIT E 13,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-07-05,2024-07-10
42-415-35757,LION DIAMOND 'M' UNIT K 7B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-07-05,2024-07-10
42-415-34483,LION DIAMOND 'M' UNIT M 5A,KINDER MORGAN PRODUCTION CO LLC,Recompletion,Directional,2024-07-05,
42-415-34141,"FULLER, P. L. NCT-1 5551","CROSSROADS OPERATING, LLC",Recompletion,Vertical,2024-05-10,2024-06-14
42-415-35694,MAPACHE GRANDE 229 1H,"THREE SPAN OIL & GAS, INC.",New Drill,Horizontal,2024-05-07,2024-05-13
42-415-35755,LION DIAMOND 'M' UNIT K 9B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-04-24,2024-05-13
42-415-35753,LION DIAMOND 'M' UNIT J 9B,KINDER MORGAN PRODUCTION CO LLC,New Drill,Directional,2024-04-24,2024-04-26
