api,well,operator,application_type,drill_type,submitted,approved
42-423-31573,WOOLF 'TP' 3,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2025-01-17,
42-423-32472,LILY A (ALLOC) 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2025-01-09,
42-423-31624,JONES 'A' 1,"3-T EXPLORATION, INC.",Re-Enter,Vertical,2024-12-26,2024-12-31
42-423-31741,WRIGHT 'TP' 6,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2024-12-03,2024-12-20
42-423-31854,WALDROP 'TP' 4,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2024-10-29,2024-10-31
42-423-32471,HOPPER 1,"STRAND ENERGY, L.C.",New Drill,Vertical,2024-10-24,2024-10-25
42-423-32470,DARE UNIT 1H,"GEOSOUTHERN OPERATING II, LLC",New Drill,Horizontal,2024-09-23,2024-10-18
42-423-32179,ODOM 'TP' 15 15,"FAULCONER ENERGY, LLC",Recompletion,Directional,2024-07-02,2024-07-10
42-423-31646,ARNOLD 'TP' 1 6,"FAULCONER ENERGY, LLC",Recompletion,Directional,2024-06-10,2024-06-12
42-423-32105,KIRKPATRICK 5 TP 5,"FAULCONER ENERGY, LLC",Recompletion,Directional,2024-06-10,2024-06-12
42-423-32467,WEST TYLER (PALUXY BANKHEAD) 6A,"WEATHERS EXPLORATION, INC.",New Drill,Directional,2024-05-29,2024-05-31
42-423-30198,SAND FLAT UNIT 52,VESS OIL CORPORATION,Recompletion,Vertical,2024-05-14,2024-05-14
42-423-31773,ODOM 'TP' 2 2,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2024-03-22,2024-03-25
42-423-32468,AFG 2,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2024-02-13,2024-02-20
42-423-32469,COX UNIT 1,"3-T EXPLORATION, INC.",New Drill,Directional,2024-02-08,2024-04-05
42-423-31756,SHAW (PETTIT) 5,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2023-12-18,2023-12-19
42-423-32468,AFG 2,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2023-12-15,2023-12-27
42-423-31866,MCMOYLE 4,EAGLE OIL & GAS CO.,Recompletion,Directional,2023-12-04,2023-12-13
42-423-32007,LYLES 7,EAGLE OIL & GAS CO.,Recompletion,Vertical,2023-12-04,2023-12-11
42-423-31831,KLEUPPEL GAS UNIT 3,EAGLE OIL & GAS CO.,Recompletion,Vertical,2023-12-04,2023-12-08
42-423-32465,ANTONY 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-11-09,2024-01-03
42-423-31998,WALDROP 'TP' 8,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2023-11-06,2023-11-09
42-423-32467,WEST TYLER (PALUXY BANKHEAD) 6,"WEATHERS EXPLORATION, INC.",New Drill,Directional,2023-11-01,2023-11-13
42-423-31345,"NEWTON, W F (ST02) 1X","MAXIMUS OPERATING, LTD.",Recompletion,Directional,2023-10-20,2023-10-23
42-423-31345,"NEWTON, W F 1X 1X","MAXIMUS OPERATING, LTD.",Recompletion,Directional,2023-09-05,2023-09-13
42-423-31647,MILTON ANDERSON TP 6,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2023-07-27,2023-09-07
42-423-31608,JACKSON 1-1 TP RECOMP 1,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2023-06-29,2023-07-07
42-423-32460,DYER-SWINNEY A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2023-06-19,2023-07-10
42-423-31713,MILTON ANDERSON TP 8,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2023-06-19,2023-06-23
42-423-31518,KICKAPOO CREEK TP 2,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2023-05-24,2023-06-07
42-423-32466,CLEO 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-04-11,2023-09-13
42-423-32466,CLEO 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-02-23,2023-04-03
42-423-32465,ANTONY 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-02-09,2023-03-14
42-423-32466,CLEO 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-01-19,2023-01-20
42-423-32465,ANTONY 1H,VALENCE OPERATING COMPANY,New Drill,Horizontal,2023-01-16,2023-01-19
42-423-31885,MILTON ANDERSON OIL UNIT 1 15,"FAULCONER ENERGY, LLC",Recompletion,Directional,2022-12-05,2023-01-06
42-423-31708,KICKAPOO CREEK GAS UNIT 5,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2022-11-09,2022-11-16
42-423-32304,ANDERSON CHARITABLE TRUST 2,"MAXIMUS OPERATING, LTD.",Recompletion,Directional,2022-07-29,2022-08-12
42-423-32462,CHAPEL HILL 10 1H,BREITBURN OPERATING L.P.,New Drill,Horizontal,2022-07-21,2022-08-01
42-423-32463,CHAPEL HILL 11 1H,BREITBURN OPERATING L.P.,New Drill,Horizontal,2022-07-20,2022-09-02
42-423-32462,CHAPEL HILL 10 1H,BREITBURN OPERATING L.P.,New Drill,Horizontal,2022-06-24,2022-06-29
42-423-32463,CHAPEL HILL 11 1H,BREITBURN OPERATING L.P.,New Drill,Horizontal,2022-06-24,2022-06-29
42-423-32461,STEWART-CORLEY (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-06-23,2022-07-25
42-423-32460,DYER-SWINNEY (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-06-23,2022-07-22
42-423-31776,MILTON ANDERSON OIL UNIT 1 13,"FAULCONER ENERGY, LLC",Recompletion,Vertical,2022-06-10,2022-06-17
42-423-32459,SOUTH TYLER PALUXY UNIT 8,"LINDER, JOHN OPERATING CO., LLC",New Drill,Vertical,2022-06-09,2022-06-15
42-423-32458,CHAPEL HILL 7.2 1H,BREITBURN OPERATING L.P.,New Drill,Horizontal,2022-06-02,2022-06-09
42-423-31646,ARNOLD OIL UNIT 1 6,"FAULCONER ENERGY, LLC",Recompletion,Directional,2022-05-27,2022-06-07
42-423-32457,SOUTH TYLER PALUXY UNIT 6,"LINDER, JOHN OPERATING CO., LLC",New Drill,Directional,2022-05-18,2022-05-24
42-423-32456,SOUTH TYLER PALUXY UNIT 5,"LINDER, JOHN OPERATING CO., LLC",New Drill,Directional,2022-05-12,2022-05-18
