api,well,operator,application_type,drill_type,submitted,approved
42-433-34251,KYLE 1,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2024-11-26,2024-12-03
42-433-34249,BAUGH 2,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2024-11-21,2024-11-22
42-433-34250,BRAZEE 1,TEXAS ROYALTY CORP.,New Drill,Vertical,2024-10-29,2024-10-30
42-433-34250,BRAZEE 1,TEXAS ROYALTY CORP.,New Drill,Vertical,2024-08-26,2024-08-27
42-433-34249,BAUGH 2,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2024-07-24,2024-07-29
42-433-34248,HOPE 1,"VX OPERATING, LLC",New Drill,Vertical,2024-06-26,2024-06-28
42-433-33610,BISSETT '60' 2,VERTOX LLC,Recompletion,Vertical,2024-04-20,2024-04-24
42-433-34242,GRAHAM 11,"PRODUCTION OPERATORS OF TX, LLC",New Drill,Vertical,2024-03-25,2024-03-25
42-433-34247,FLOWERS 89 1,"DALLAS PETROLEUM GROUP, LLC",New Drill,Vertical,2023-12-14,2023-12-19
42-433-33598,KATZ (STRAWN) UNIT 252A,KINDER MORGAN PRODUCTION CO LLC,Reclass,Vertical,2023-09-20,2023-09-22
42-433-33499,FERGUSON 2,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2023-08-14,2023-08-16
42-433-30234,MCMEANS 2,"PRESLEY PROD INVESTMENTS, LLC",Re-Enter,Vertical,2023-07-28,2023-08-02
42-433-30206,MCMEANS 1,"PRESLEY PROD INVESTMENTS, LLC",Re-Enter,Vertical,2023-07-25,2023-07-27
42-433-33592,KATZ (STRAWN) UNIT 232,KINDER MORGAN PRODUCTION CO LLC,Reclass,Vertical,2023-04-21,2023-04-27
42-433-32039,MCFARLAND 4 B,"WALSH & WATTS, INC.",Reclass,Vertical,2023-04-04,2023-04-11
42-433-34227,MALLARD 1D,"PEREGRINE PETROLEUM PRTNR, LTD.",Field Transfer,Vertical,2023-03-29,2023-03-30
42-433-34246,WEST COVINGTON 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2023-03-20,2023-03-20
42-433-32039,MCFARLAND 4 B,"WALSH & WATTS, INC.",Reclass,Vertical,2023-03-02,2023-03-17
42-433-34240,BAUGH 1,"ECHO PRODUCTION, INC.",New Drill,Vertical,2023-02-24,2023-03-07
42-433-34245,WASH 2H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2023-02-07,2023-02-23
42-433-34244,CLARK 1,"EXTECH OPERATING, LLC",New Drill,Vertical,2023-01-11,2023-01-20
42-433-34242,GRAHAM 11,"COLEMANITE, INC.",New Drill,Vertical,2022-10-25,2022-10-27
42-433-34243,JUDY 2,"DRY FORK PRODUCTION CO., LLC",New Drill,Vertical,2022-10-24,2022-10-27
42-433-33811,KATZ (STRAWN) UNIT 336A,KINDER MORGAN PRODUCTION CO LLC,Reclass,Vertical,2022-10-20,2022-10-25
42-433-34241,FLAT TOP RANCH AD 1,"NBX ENERGY, LLC",New Drill,Vertical,2022-10-18,2022-10-24
42-433-34240,BAUGH 1,"ECHO PRODUCTION, INC.",New Drill,Vertical,2022-10-13,2022-10-26
42-433-34239,JEFF SMITH 4,TACOR RESOURCES INC,New Drill,Vertical,2022-09-19,2022-09-22
42-433-34238,"SMITH, LEE, ETAL 94",TACOR RESOURCES INC,New Drill,Vertical,2022-09-15,2022-09-16
42-433-34228,HAWK UNIT B001H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2022-09-07,2022-09-09
42-433-34226,WASH C005H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2022-09-07,2022-09-09
42-433-34225,WASH B006H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2022-09-07,2022-09-09
42-433-34230,FALCON UNIT B001H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2022-09-07,2022-09-09
42-433-34237,BRANCH-COVINGTON 3,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2022-09-06,2022-09-09
42-433-34083,CORSICA UNIT 52,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-07-07,2022-07-08
42-433-34167,CORSICA UNIT 53,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-07-07,2022-07-08
42-433-34235,FLOWERS 1,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Vertical,2022-06-29,2022-06-29
42-433-34167,CORSICA UNIT 53,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-06-07,2022-06-23
42-433-34234,PAYNE UNIT B001H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2022-06-02,2022-06-07
42-433-34227,MALLARD 1D,"PEREGRINE PETROLEUM PRTNR, LTD.",Recompletion,Vertical,2022-05-05,2022-05-09
42-433-34225,WASH B006H,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Horizontal,2022-04-27,2022-05-12
42-433-34083,CORSICA UNIT 52,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-04-14,2022-04-20
42-433-34233,BRANCH 1,"PEREGRINE PETROLEUM PRTNR, LTD.",New Drill,Vertical,2022-04-13,2022-04-18
42-433-34221,T-DIAMOND 11 1D,"PEREGRINE PETROLEUM PRTNR, LTD.",Reclass,Vertical,2022-03-23,2022-03-25
42-433-34126,CORSICA UNIT 51,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-03-08,2022-03-11
42-433-34126,SALTLICK 5,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Vertical,2022-02-15,2022-02-23
