api,well,operator,application_type,drill_type,submitted,approved
42-435-39436,FENNEC 2H,"UPP OPERATING, LLC",New Drill,Horizontal,2024-07-02,2024-08-20
42-435-39436,FENNEC 2H,"UPP OPERATING, LLC",New Drill,Horizontal,2024-06-19,2024-07-01
42-435-39436,FENNEC 2H,"UPP OPERATING, LLC",New Drill,Horizontal,2024-06-07,2024-06-13
42-435-39435,BESKAR 1H,"UPP OPERATING, LLC",New Drill,Horizontal,2024-04-11,2024-05-07
42-435-39414,"ADAMS, P.E. & J.E. 14","ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2021-12-13,2022-01-10
42-435-39416,"ADAMS, P.E. & J.E 15","ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2021-11-30,2021-12-17
42-435-39415,FT. TERRETT RANCH /CANYON LM/ U. 22H,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2021-11-30,2021-12-14
42-435-39384,"FAULKNER, W. MRS. 216","ROCKING R INVESTMENTS, INC.",Recompletion,Vertical,2021-02-02,2021-02-10
42-435-32742,FLORENCE 28 5,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2020-10-30,2020-11-04
42-435-39420,FT. TERRETT RANCH /CANYON LM/ U. 24,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-09-11,2020-09-11
42-435-39421,FT. TERRETT RANCH /CANYON LM/ U. 25,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-09-11,2020-09-11
42-435-39423,FT. TERRETT RANCH/CANYON LM/ U. 28,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-09-11,2020-09-11
42-435-39414,"ADAMS, P.E. & J.E. 14","ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-13
42-435-39415,FT. TERRETT RANCH /CANYON LM/ U. 22H,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-05
42-435-39416,"ADAMS, P.E. & J.E 15","ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-05
42-435-39417,"ADAMS, P.E. & J.E 16","ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-05
42-435-39418,"HENRY, III 17","ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-05
42-435-39419,FT. TERRETT RANCH /CANYON LM/ U. 23,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-05
42-435-39429,FT. TERRETT RANCH/CANYON LM/ U. 34H,"ROCKING R INVESTMENTS, INC.",New Drill,Horizontal,2020-08-05,2020-08-05
42-435-37481,"HILL-FAWCETT, RANDEE 'B' 3","UPP OPERATING, LLC",Recompletion,Vertical,2020-02-24,2020-02-26
42-435-34520,HILL MAYER MINNIES H. A 2,"UPP OPERATING, LLC",Recompletion,Vertical,2020-01-14,2020-02-06
42-435-35687,KIRBY 1 4,"UPP OPERATING, LLC",Recompletion,Vertical,2020-01-14,2020-01-23
42-435-37573,SAWYER - JONES 2003,"UPP OPERATING, LLC",Recompletion,Vertical,2019-12-18,2020-02-27
42-435-36225,DEBERRY A 82,"UPP OPERATING, LLC",Recompletion,Vertical,2019-12-18,2020-01-08
42-435-35537,THOMSON C 7,"UPP OPERATING, LLC",Recompletion,Vertical,2019-12-18,2019-12-30
42-435-35710,"DUNBAR, NED 51","UPP OPERATING, LLC",Recompletion,Vertical,2019-12-18,2019-12-30
42-435-39429,FT. TERRETT RANCH/CANYON LM/ U. 34H,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-12-09,2020-01-03
42-435-39419,FT. TERRETT RANCH /CANYON LM/ U. 23H,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-12-06,2019-12-11
42-435-39429,FT. TERRETT RANCH/CANYON LM/ U. 34H,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-11-17,2019-11-21
42-435-39374,SCHWIENNING 321,MEXTEX OPERATING COMPANY,Recompletion,Vertical,2019-11-12,2019-11-25
42-435-39421,FT. TERRETT RANCH /CANYON LM/ U. 25,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-11-12,2019-11-15
42-435-39417,"ADAMS, P.E. & J.E 16",MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-11-12,2019-11-14
42-435-39423,FT. TERRETT RANCH/CANYON LM/ U. 28,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-11-11,2019-11-15
42-435-39420,FT. TERRETT RANCH /CANYON LM/ U. 24,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-10-22,2019-11-04
42-435-39421,FT. TERRETT RANCH /CANYON LM/ U. 25,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-10-22,2019-11-04
42-435-35159,MAYER 47 9,"UPP OPERATING, LLC",Recompletion,Vertical,2019-10-21,2019-11-06
42-435-39419,FT. TERRETT RANCH /CANYON LM/ U. 23,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-10-15,2019-10-22
42-435-39418,"HENRY, III 17",MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-10-08,2019-10-16
42-435-39417,"ADAMS, P.E. & J.E 16",MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-10-07,2019-10-10
42-435-39416,"ADAMS, P.E. & J.E 15",MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-10-07,2019-10-08
42-435-39415,FT. TERRETT RANCH /CANYON LM/ U. 22H,MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-09-17,2019-09-30
42-435-39414,"ADAMS, P.E. & J.E. 14",MEXTEX OPERATING COMPANY,New Drill,Horizontal,2019-09-06,2019-09-11
42-435-34375,MORRIS BROTHERS E 103,"ENERVEST OPERATING, L.L.C.",New Drill,Vertical,2019-04-25,2019-06-07
42-435-32823,POWELL 1 2,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2018-10-25,2018-10-29
42-435-32742,FLORENCE 28 5,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-10-30,2017-11-03
42-435-34818,CANYON RANCH 2162SH,"ENERVEST OPERATING, L.L.C.",Field Transfer,Horizontal,2017-10-20,2018-03-16
42-435-35259,BLOODWORTH 140 7,"ENERVEST OPERATING, L.L.C.",Recompletion,Vertical,2017-09-06,2017-09-28
42-435-37219,MAYFIELD 41 15,"ENERVEST OPERATING, L.L.C.",Recompletion,Vertical,2017-06-05,2017-06-16
42-435-32742,FLORENCE 28 5,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-05-24,2017-06-09
42-435-32731,FLORENCE 27 4,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-05-02,2017-05-16
42-435-32670,FLORENCE 28 3,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-05-02,2017-05-16
42-435-32789,POWELL 1 1,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-05-02,2017-05-12
42-435-32739,FLORENCE 26 1,"TUG HILL OPERATING, LLC",Recompletion,Vertical,2017-05-02,2017-05-12
42-435-37427,CASH JOY 1A,MEXTEX OPERATING COMPANY,New Drill,Vertical,2017-01-24,2017-02-02
42-435-37219,MAYFIELD 41 15,"ENERVEST OPERATING, L.L.C.",Recompletion,Vertical,2016-08-11,2016-08-23
42-435-30035,FAULKNER 'C' 29,MEXTEX OPERATING COMPANY,Recompletion,Vertical,2016-02-08,2016-02-08
42-435-39385,SCHWIENING 324,MEXTEX OPERATING COMPANY,Recompletion,Vertical,2016-01-13,2016-01-14
42-435-38226,DUKE WILSON 21 16,"ENERVEST OPERATING, L.L.C.",Recompletion,Vertical,2015-06-29,2015-10-19
42-435-39355,ALDWELL RANCH -A- 2205,KING OPERATING CORPORATION,Recompletion,Vertical,2014-08-12,2014-10-10
42-435-39355,ALDWELL RANCH -A- 2205,KING OPERATING CORPORATION,New Drill,Vertical,2014-06-24,2014-07-28
42-435-38298,KELLY 115 25,HIGHMOUNT EXPL & PROD TEXAS LLC,New Drill,Vertical,2014-03-04,2014-04-21
