api,well,operator,application_type,drill_type,submitted,approved
42-439-37359,ARKANSAS 5H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-30,2024-12-31
42-439-37360,ARKANSAS AGAPE 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-30,2024-12-31
42-439-37361,ARKANSAS AGAPE 2H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-30,2024-12-31
42-439-37362,ARKANSAS AGAPE 1H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-30,2024-12-31
42-439-37345,AC360 3H MIPA UNIT 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-28,2025-01-02
42-439-37353,AC360 4H MIPA UNIT 4H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-28,2025-01-02
42-439-37346,AC360 5H MIPA UNIT 5H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-28,2025-01-02
42-439-37351,AC360-ARKANSAS 2H MIPA UNIT 2H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-28,2025-01-02
42-439-37352,AC360 ARKANSAS 3H MIPA UNIT 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-28,2025-01-02
42-439-37347,MAVERICK 2H MIPA UNIT 2H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-27,2025-01-02
42-439-37348,MAVERICK 3H MIPA UNIT 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-27,2025-01-02
42-439-37349,MAVERICK 4H MIPA UNIT 4H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-27,2025-01-02
42-439-37350,MAVERICK OSLER 5H MIPA UNIT 5H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-27,2025-01-02
42-439-37344,AC360 1H MIPA UNIT 1H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-27,2024-12-31
,AC360 3H MIPA UNIT 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,AC360-ARKANSAS 2H MIPA UNIT 2H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,MAVERICK 3H MIPA UNIT 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,AC360 1H MIPA UNIT 1H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,AC360 4H MIPA UNIT 4H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,AC360 5H MIPA UNIT 5H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,MAVERICK 4H MIPA UNIT 4H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,MAVERICK 2H MIPA UNIT 2H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,MAVERICK OSLER 5H MIPA UNIT 5H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
,AC360-ARKANSAS 3H MIPA UNIT 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-22,
42-439-37357,ROCKING HORSE MATADOR MIPA E 8H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-17,2024-12-19
,ROCKING HORSE MATADOR MIPA W 7H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-12-17,
42-439-37356,COTTON COVE CCS 1,"BKV dCarbon Ventures, LLC",New Drill,Vertical,2024-12-05,2024-12-09
42-439-37354,RENFRO BEEDY 1H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-11-06,2024-12-09
42-439-37355,RENFRO CJD 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-11-06,2024-12-09
42-439-37356,COTTON COVE CCS 1,"BKV dCarbon Ventures, LLC",New Drill,Vertical,2024-09-30,2024-10-01
42-439-37355,RENFRO CJD 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-09-25,2024-09-27
42-439-37354,RENFRO BEEDY 1H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-09-25,2024-09-26
42-439-37319,WHITE BC 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-08-23,2024-10-11
42-439-37351,AC360 ARKANSAS 2H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-05-30,2024-06-07
42-439-37352,AC360 ARKANSAS 3H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-05-30,2024-06-07
42-439-37350,MAVERICK OSLER 5H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-05-30,2024-06-06
42-439-37344,AC360 1H,"TEP BARNETT USA, LLC",New Drill,Horizontal,2024-05-30,2024-06-03
