api,well,operator,application_type,drill_type,submitted,approved
42-441-34717,BROWN 2,"EAGLE CAPITAL PARTNERS, LLC",New Drill,Vertical,2025-01-15,2025-01-17
,BROWN 3,"EAGLE CAPITAL PARTNERS, LLC",New Drill,Vertical,2025-01-15,
42-441-34716,JANA 'B' 1,STETSON PETROLEUM CORP.,New Drill,Vertical,2025-01-02,2025-01-02
42-441-34702,CASEY 25WI,L.C.S. PRODUCTION COMPANY,Reclass,Vertical,2024-12-17,2024-12-18
42-441-34133,LEDBETTER 5,STEPHENS & JOHNSON OPERATING CO.,Recompletion,Vertical,2024-11-21,2024-11-22
42-441-34715,POLLARD 1,"TEAL EXPLORATION, LLC",New Drill,Vertical,2024-11-12,2024-11-13
42-441-32348,SCHNEIDER 1WS,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-11-08,2024-11-12
42-441-34713,BARBIERI 1,"PRODUCTION OPERATORS OF TX, LLC",New Drill,Vertical,2024-10-08,2024-10-09
42-441-34714,MLV 14 008,TARGA NGL PIPELINE COMPANY LLC,New Drill,Vertical,2024-10-02,2024-10-14
42-441-34712,CH-157 1,ENTERPRISE PRODUCTS TEXAS OP LLC,New Drill,Vertical,2024-08-02,2024-08-29
42-441-34711,CH-176 1,ENTERPRISE PRODUCTS TEXAS OP LLC,New Drill,Vertical,2024-08-02,2024-08-27
42-441-34710,J. CLOUD 29,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-24,2024-07-30
42-441-34701,SCHNEIDER 27WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-23,2024-08-01
42-441-34709,SCHNEIDER 21WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-23,2024-07-26
42-441-34704,J.CLOUD 28WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-19,2024-07-19
42-441-34707,DONNA WRIGHT 31WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-18,2024-07-22
42-441-34706,KISSELL 14WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-18,2024-07-19
42-441-34705,J.CLOUD 30WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-18,2024-07-19
42-441-34708,CATHODIC PROTECTION 3,ENERGY TRANSFER COMPANY,New Drill,Vertical,2024-07-12,2024-07-25
42-441-34703,KISSELL 16WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-07-10,2024-07-11
42-441-34702,CASEY 25WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-06-19,2024-06-24
42-441-34700,SCHNEIDER 26WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-06-19,2024-06-20
42-441-34701,SCHNEIDER 27WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-06-19,2024-06-20
42-441-02616,CASEY 23WI,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-06-11,2024-06-11
42-441-34699,DONNA WRIGHT 5,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-05-31,2024-06-06
42-441-34697,D CLOUD 8,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-05-31,2024-06-05
42-441-34698,DONNA WRIGHT 3,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-05-31,2024-06-03
42-441-34695,KISSELL 7WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-05-31,2024-05-31
42-441-34696,KISSELL 15WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-05-31,2024-05-31
42-441-05032,SCHNEIDER 19WI,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-05-10,2024-05-14
42-441-00780,KISSELL 5WS,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-05-03,2024-05-13
42-441-02605,KISSELL 4WI,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-04-04,2024-04-09
42-441-02607,KISSELL 18WI,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-04-04,2024-04-09
42-441-34694,E. R. COMPTON 13,OGDEN RESOURCES CORPORATION,New Drill,Vertical,2024-03-18,2024-03-19
42-441-34693,ETC211 1,SUNOCO PIPELINE L.P.,New Drill,Vertical,2024-02-13,2024-02-23
42-441-34692,GRAY LINE GRAY SAND UNIT 7,"QUAIL WELL SERVICE, INC.",New Drill,Vertical,2024-01-31,2024-02-09
42-441-34684,MAG01-MP130.8 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2024-01-25,2024-01-25
42-441-34691,ETC207 1,SUNOCO PIPELINE L.P.,New Drill,Vertical,2024-01-22,2024-01-25
42-441-34405,ALEX SEARS '159' 1A,CEDAR OIL COMPANY,Recompletion,Vertical,2023-11-06,2023-11-08
42-441-34690,BOX 1,KIMBELL OPERATING COMPANY,New Drill,Vertical,2023-09-14,2023-09-14
42-441-34688,GRAY LINE GRAY SAND UNIT 6,"QUAIL WELL SERVICE, INC.",New Drill,Vertical,2023-08-14,2023-08-22
42-441-34689,WA-142 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2023-08-01,2023-08-21
42-441-31495,GWET 1,"GWET, INC.",Re-Enter,Vertical,2023-07-11,2023-07-18
42-441-01227,RICHARDSON 11,"CHISHOLM OPERATING, INC.",Re-Enter,Vertical,2023-07-06,2023-07-14
42-441-34687,ETC112 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2023-05-22,2023-06-07
42-441-34686,EAST VOGEL UNIT 1,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2023-04-10,2023-04-14
42-441-03007,JAY IVEY 'A' 2A,"AMHERST ENERGY HOLDINGS, LLC",Re-Enter,Vertical,2023-02-27,2023-03-31
42-441-34684,MAG01-MP130.8 01,"MCLEAN'S C P INSTALLATION, INC.",New Drill,Vertical,2023-01-23,2023-01-26
42-441-34685,JC NOLAN MP 141.2 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2023-01-20,2023-01-26
42-441-34683,TOOMBS EAST 1,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2023-01-04,2023-01-04
42-441-34682,MORO MOUNTAIN 3B,CEDAR OIL COMPANY,New Drill,Vertical,2022-11-17,2022-12-01
42-441-34679,LEDBETTER LAC 1,VALOR RNTLS AND OILFIELD SVS LLC,New Drill,Vertical,2022-10-14,2022-10-20
42-441-34681,MOLLY 1,CEDAR OIL COMPANY,New Drill,Vertical,2022-10-11,2022-10-20
42-441-34680,WA-12 12,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2022-09-21,2022-10-04
42-441-34679,LEDBETTER LAC 1,VALOR RNTLS AND OILFIELD SVS LLC,New Drill,Vertical,2022-08-08,2022-08-11
42-441-31504,SIMS 1,CEDAR OIL COMPANY,Reclass,Vertical,2022-08-02,2022-08-10
42-441-34668,JOCELYN-VARN (FRY SAND) UNIT 1,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34669,JOCELYN-VARN (FRY SAND) UNIT 2W,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34670,JOCELYN-VARN (FRY SAND) UNIT 3W,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34671,JOCELYN-VARN (FRY SAND) UNIT 4W,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34672,JOCELYN-VARN (FRY SAND) UNIT 5,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34673,JOCELYN-VARN (FRY SAND) UNIT 6,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34674,JOCELYN-VARN (FRY SAND) UNIT 7W,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34675,JOCELYN-VARN (FRY SAND) UNIT 8,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34676,JOCELYN-VARN (FRY SAND) UNIT 9,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34677,JOCELYN-VARN (FRY SAND) UNIT 10W,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34678,JOCELYN-VARN (FRY SAND) UNIT 11WS,"WINCHESTER ENERGY, LLC",New Drill,Vertical,2022-07-29,2022-08-02
42-441-34667,"CHRISTIAN, BESSIE LOU 5","RHB EXPLORATION & PRODUCTION,LLC",New Drill,Vertical,2022-07-27,2022-07-29
42-441-34666,SNOWMASS 1,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2022-07-18,2022-07-20
42-441-34665,BLT 1,"STAR PRODUCTION, INC.",New Drill,Vertical,2022-06-10,2022-06-17
42-441-34664,HALLMARK 1,"TDC ENGINEERING, INC.",New Drill,Vertical,2022-05-18,2022-05-24
42-441-34663,MAG14-MP74.923 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2022-05-04,2022-05-20
42-441-05194,GRAY LINE GRAY SAND UNIT 1W,"QUAIL WELL SERVICE, INC.",Re-Enter,Vertical,2022-05-04,2022-05-09
42-441-34662,JOHNSON 1,"WINDOW OPERATING CO., THE",New Drill,Vertical,2022-05-02,2022-05-05
42-441-30214,"SHAFFER, W.S. 'A' 1","PRESLEY PROD INVESTMENTS, LLC",Re-Enter,Vertical,2022-04-28,2022-05-05
42-441-05226,GRAY LINE GRAY SAND UNIT 5,"QUAIL WELL SERVICE, INC.",Re-Enter,Vertical,2022-04-25,2022-05-18
42-441-34661,BRITTAIN 1,"NOSIVAD OIL, INC.",New Drill,Vertical,2022-04-11,2022-04-14
42-441-33575,YOUNG 2,EARTHBOUND RESOURCES LLC,Re-Enter,Vertical,2022-04-11,2022-04-14
42-441-34658,HENSON 1,"TDC ENGINEERING, INC.",New Drill,Vertical,2022-03-30,2022-04-05
42-441-34660,BROWN 3,"VIEJO SERVICES, LLC",New Drill,Vertical,2022-03-04,2022-05-24
42-441-34659,BROWN 2,"VIEJO SERVICES, LLC",New Drill,Vertical,2022-03-04,2022-05-24
42-441-34656,JACKSON 1,"AMBLE PETROLEUM CO., INC.",New Drill,Vertical,2022-02-25,2022-03-03
42-441-34657,JC NOLAN MP 126.8 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2022-02-24,2022-03-03
42-441-34655,LILY KATE 1,"TEAL EXPLORATION, LLC",New Drill,Vertical,2022-01-21,2022-01-25
42-441-34654,CITY OF ABILENE 8A,LEDGER OPERATING CORPORATION,New Drill,Vertical,2022-01-02,2022-01-12
42-441-34653,EAST ABILENE 3,LEDGER OPERATING CORPORATION,New Drill,Vertical,2021-12-02,2021-12-08
42-441-20117,"WALSH, J.H. 4W","AMHERST ENERGY HOLDINGS, LLC",Re-Enter,Vertical,2021-11-23,2021-12-01
42-441-34652,CROSS 5,"AMBLE PETROLEUM CO., INC.",New Drill,Vertical,2021-10-20,2021-10-29
42-441-00780,KISSELL WSW 5,"ECHO PRODUCTION, INC.",Re-Enter,Vertical,2021-10-14,2021-11-10
42-441-05227,GRAY LINE GRAY SAND UNIT 3,"QUAIL WELL SERVICE, INC.",Re-Enter,Vertical,2021-10-07,2021-12-28
42-441-01768,GRAY LINE GRAY SAND UNIT 2,"QUAIL WELL SERVICE, INC.",Re-Enter,Vertical,2021-10-07,2021-11-18
42-441-34651,KING 1,"VX OPERATING, LLC",New Drill,Vertical,2021-10-06,2021-10-12
42-441-01810,GRAY LINE GRAY SAND UNIT 4,"QUAIL WELL SERVICE, INC.",Re-Enter,Vertical,2021-10-01,2021-10-07
42-441-34648,WTRC 9,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2021-09-28,2021-10-13
42-441-34650,ELLIOTT UNIT 1,"MARSHALL R. YOUNG OPERATING, LLC",New Drill,Vertical,2021-09-28,2021-10-05
42-441-34648,WTRC 9,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2021-09-14,2021-09-21
42-441-34649,WTRC 10,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2021-09-14,2021-09-20
42-441-34647,CROSS -A- 4,"AMBLE PETROLEUM CO., INC.",New Drill,Vertical,2021-07-26,2021-07-28
42-441-30218,"SHAFFER, W.S. -B- 6","PRESLEY PROD INVESTMENTS, LLC",Re-Enter,Vertical,2021-07-21,2021-07-23
42-441-33747,SHOTWELL-ROBINSON 5,SOJOURNER DRILLING CORPORATION,Reclass,Vertical,2021-07-06,2021-07-09
42-441-34646,FOLEY 1,"MARSHALL R. YOUNG OPERATING, LLC",New Drill,Vertical,2021-06-23,2021-06-25
42-441-34645,E. R. COMPTON 12,OGDEN RESOURCES CORPORATION,New Drill,Vertical,2021-06-21,2021-06-28
42-441-20117,"WALSH, J.H. 4W","AMHERST ENERGY HOLDINGS, LLC",Re-Enter,Vertical,2021-06-03,2021-06-11
42-441-30067,"SHAFFER, W. S. -B- 1","PRESLEY PROD INVESTMENTS, LLC",Re-Enter,Vertical,2021-04-08,2021-04-30
42-441-34643,CR 303 CP UNIT 1,SUNOCO PIPELINE L.P.,New Drill,Vertical,2021-03-30,2021-04-01
42-441-34644,FM 1235 CP UNIT 1,SUNOCO PIPELINE L.P.,New Drill,Vertical,2021-03-30,2021-04-01
42-441-34640,LYTLE 4,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2021-03-26,2021-03-31
42-441-34641,LYTLE S-68 1,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2021-03-26,2021-03-30
42-441-34642,MALONE 1,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2021-03-24,2021-04-01
42-441-34639,RICHARDSON 10,"CHISHOLM OPERATING, INC.",New Drill,Vertical,2021-03-11,2021-03-24
42-441-34540,SUNDANCE KID 1,OGDEN RESOURCES CORPORATION,Recompletion,Vertical,2021-02-24,2021-03-02
42-441-34576,BUTCH CASSIDY 1,OGDEN RESOURCES CORPORATION,Recompletion,Vertical,2021-02-23,2021-02-26
42-441-34638,MAG01 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2021-02-22,2021-02-24
42-441-34637,JACOBS UNIT 1,"STAR PRODUCTION, INC.",New Drill,Vertical,2021-01-21,2021-01-27
42-441-34636,KUBACAK 5,"AMBLE PETROLEUM CO., INC.",New Drill,Vertical,2020-12-14,2020-12-18
42-441-34635,WALT 5,"NOSIVAD OIL, INC.",New Drill,Vertical,2020-12-10,2020-12-18
42-441-34262,WAGSTAFF-A & S RAILWAY UNIT 4,L.C.S. PRODUCTION COMPANY,Recompletion,Vertical,2020-11-11,2020-11-16
42-441-34634,MLV-13 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2020-11-09,2020-11-12
42-441-34221,WAGSTAFF-A & S RAILWAY UNIT 3,L.C.S. PRODUCTION COMPANY,Recompletion,Vertical,2020-11-05,2020-11-10
42-441-34061,DUNBAR 3,L.C.S. PRODUCTION COMPANY,Recompletion,Vertical,2020-11-03,2020-11-06
42-441-34633,WTG-407 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2020-09-22,2020-09-30
42-441-34632,TR70 01,"HOLLY ENERGY PARTNERS-OP, L.P.",New Drill,Vertical,2020-09-21,2020-10-06
42-441-34631,MP 71.51 1,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2020-09-21,2020-09-25
42-441-33842,SOUTHALL 1,L.C.S. PRODUCTION COMPANY,Recompletion,Vertical,2020-09-03,2020-09-08
42-441-33867,SOUTHALL 2,L.C.S. PRODUCTION COMPANY,Recompletion,Vertical,2020-09-03,2020-09-08
