api,well,operator,application_type,drill_type,submitted,approved
,AM-74 1,"ENERGY TRANSFER FUEL, LP",New Drill,Vertical,2024-04-23,
42-449-30675,TALCO PIPELINE 1,"ENABLE MIDSTREAM PARTNERS, LP",New Drill,Vertical,2018-08-13,2018-09-14
42-449-30674,TALCO CENTRAL EAST UNIT 5202,XTO ENERGY INC.,New Drill,Vertical,2017-08-18,2017-08-29
42-449-30673,TALCO CENTRAL EAST UNIT 5201,XTO ENERGY INC.,New Drill,Vertical,2017-08-11,2017-08-18
42-449-30673,TALCO CENTRAL EAST UNIT 5201,XTO ENERGY INC.,New Drill,Vertical,2017-05-15,2017-06-15
42-449-30671,TALCO EAST UNIT 2806,XTO ENERGY INC.,New Drill,Directional,2016-12-01,2016-12-22
42-449-30670,TALCO EAST UNIT 2807,XTO ENERGY INC.,New Drill,Directional,2016-12-01,2016-12-22
42-449-30672,TALCO EAST UNIT 2904,XTO ENERGY INC.,New Drill,Vertical,2016-12-01,2016-12-21
42-449-30669,TALCO EAST UNIT 2301,XTO ENERGY INC.,New Drill,Vertical,2016-11-30,2016-12-20
42-449-30666,TALCO EAST UNIT 1901D,XTO ENERGY INC.,New Drill,Vertical,2016-11-29,2016-12-21
42-449-30667,TALCO EAST UNIT 2006,XTO ENERGY INC.,New Drill,Directional,2016-11-29,2016-12-21
42-449-30668,TALCO EAST UNIT 2007,XTO ENERGY INC.,New Drill,Directional,2016-11-29,2016-12-21
42-449-30665,TALCO EAST UNIT 1311,XTO ENERGY INC.,New Drill,Directional,2016-10-19,2016-11-01
42-449-30662,TALCO EAST UNIT 1210I,XTO ENERGY INC.,New Drill,Vertical,2016-09-19,2016-09-29
42-449-30663,TALCO EAST UNIT 1211I,XTO ENERGY INC.,New Drill,Vertical,2016-09-19,2016-09-29
42-449-30664,TALCO EAST UNIT 1212I,XTO ENERGY INC.,New Drill,Vertical,2016-09-19,2016-09-29
42-449-30659,TALCO EAST UNIT 0905,XTO ENERGY INC.,New Drill,Vertical,2016-08-18,2016-08-29
42-449-30661,TALCO EAST UNIT 0906,XTO ENERGY INC.,New Drill,Vertical,2016-08-18,2016-08-29
42-449-30660,TALCO EAST UNIT 1003,XTO ENERGY INC.,New Drill,Vertical,2016-08-18,2016-08-29
42-449-30657,TALCO EAST UNIT 0903,XTO ENERGY INC.,New Drill,Directional,2016-08-17,2016-09-02
42-449-30658,TALCO EAST UNIT 0904,XTO ENERGY INC.,New Drill,Directional,2016-08-17,2016-08-25
42-449-30655,TALCO CENTRAL EAST UNIT 4602I,XTO ENERGY INC.,New Drill,Vertical,2015-07-01,2015-07-10
42-449-30656,TALCO CENTRAL EAST UNIT 4506I,XTO ENERGY INC.,New Drill,Vertical,2015-07-01,2015-07-10
42-449-30654,TALCO CENTRAL EAST UNIT 4505I,XTO ENERGY INC.,New Drill,Vertical,2015-06-30,2015-07-10
42-449-30651,TALCO EAST UNIT 5204I,XTO ENERGY INC.,New Drill,Vertical,2015-06-08,2015-06-11
42-449-30652,TALCO EAST UNIT 5205I,XTO ENERGY INC.,New Drill,Vertical,2015-06-08,2015-06-11
42-449-30653,"COKER, M. D. 5","ARCADIA OPERATING, LLC",New Drill,Vertical,2015-06-01,2015-06-22
42-449-30648,TALCO EAST UNIT 5203I,XTO ENERGY INC.,New Drill,Vertical,2015-05-28,2015-06-01
42-449-30647,TALCO EAST UNIT 5202I,XTO ENERGY INC.,New Drill,Vertical,2015-05-26,2015-05-29
42-449-30646,TALCO EAST UNIT 5201I,XTO ENERGY INC.,New Drill,Vertical,2015-05-26,2015-05-29
42-449-30650,"CARR, C. M. 20","ARCADIA OPERATING, LLC",New Drill,Vertical,2015-05-21,2015-05-28
42-449-30649,"MORRIS, J. C. 5","ARCADIA OPERATING, LLC",New Drill,Vertical,2015-05-06,2015-10-01
