api,well,operator,application_type,drill_type,submitted,approved
42-457-30938,WORMTONGUE 1,"BURK ROYALTY CO., LTD.",New Drill,Vertical,2024-12-12,2024-12-13
42-457-30875,BLACK STONE MINERALS 2,"MAGNUM PRODUCING, LP",Recompletion,Vertical,2024-12-03,2024-12-05
42-457-30937,BLACK STONE 388 STERLING 1H,ZARVONA ENERGY LLC,New Drill,Horizontal,2024-10-31,2024-12-09
42-457-30737,BLACK STONE 388 STERLING 1H,ZARVONA ENERGY LLC,Recompletion,Horizontal,2024-10-14,
42-457-30905,BLACK STONE MINERALS 6,"MAGNUM PRODUCING, LP",Recompletion,Vertical,2024-07-29,2024-07-31
42-457-30045,BPX-SUGARBERRY 1,"NEW CENTURY EXPLORATION, INC.",Re-Enter,Directional,2024-06-26,2024-06-28
42-457-30839,BP SITTIN ON GO 3,DAVIS SOUTHERN OPERATING CO LLC,Recompletion,Directional,2024-06-13,2024-06-19
42-457-30550,ARCO-BEATHARD 3,DAVIS SOUTHERN OPERATING CO LLC,Recompletion,Vertical,2024-04-30,2024-05-13
42-457-30839,BP SITTIN ON GO 3,DAVIS SOUTHERN OPERATING CO LLC,Recompletion,Directional,2024-04-30,2024-05-06
42-457-30935,JACKS CREEK OIL UNIT 2 3,RUSK ENERGY OPERATING LLC,New Drill,Directional,2023-12-14,2023-12-15
42-457-30921,CARTER SHEPHERD 1H,"ERGON ENERGY PARTNERS, L.P.",New Drill,Horizontal,2023-10-23,2023-10-26
42-457-30936,S. STEINHAGEN 1H,"NAVIDAD OPERATING COMPANY, LLC",New Drill,Horizontal,2023-09-01,2023-09-07
42-457-30932,SUNDANCE 1H,"GEOSOUTHERN OPERATING II, LLC",New Drill,Horizontal,2023-08-28,2023-09-01
42-457-30926,HOOPER 2H,"NAVIDAD OPERATING COMPANY, LLC",New Drill,Horizontal,2023-08-16,2023-09-29
42-457-30926,HOOPER 2H,"NAVIDAD OPERATING COMPANY, LLC",New Drill,Horizontal,2023-06-28,2023-06-28
42-457-30935,JACKS CREEK OIL UNIT 2 3,RUSK ENERGY OPERATING LLC,New Drill,Vertical,2023-05-12,2023-05-12
