api,well,operator,application_type,drill_type,submitted,approved
42-459-31500,MORNING STAR 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2024-03-08,2024-03-13
42-459-31383,MCCASLIN-HALL 3,BUFFCO PRODUCTION INC.,Recompletion,Directional,2024-01-24,2024-02-02
42-459-31499,VOSS 3,TTK ENERGY LLC,New Drill,Vertical,2023-08-15,2023-08-18
42-459-31497,LANDERS-CAMP A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2023-08-10,2023-09-25
42-459-31498,LANDERS-ROCKY CREEK A (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2023-08-10,2023-09-12
42-459-30771,LANDERS UNIT 3,SABINE OIL & GAS CORPORATION,Recompletion,Vertical,2023-08-07,2023-08-15
42-459-31124,CEDAR SPRINGS GAS UNIT 3 8,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2023-02-21,2023-03-01
42-459-31495,WERTZ-COLLIE A (AW) 1HR,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-11-30,2022-12-07
42-459-31124,CEDAR SPRINGS GAS UNIT #3 8,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2022-11-22,2022-12-01
42-459-31493,WERTZ-COLLIE (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-03-31,2022-05-03
42-459-31494,WERTZ-BREYER (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-03-03,2022-04-04
42-459-31493,WERTZ-COLLIE (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2022-03-03,2022-03-09
42-459-31238,SOUTH GILMER 2,VINLAND TEXAS SERVICES LLC,Recompletion,Vertical,2022-03-02,2022-03-15
42-459-30807,"EDWARDS, J.K. 1",BREITBURN OPERATING L.P.,Recompletion,Vertical,2021-09-02,2021-09-09
42-459-30864,"RAMEY, T.C. GAS UNIT 2",BREITBURN OPERATING L.P.,Recompletion,Vertical,2021-08-26,2021-09-01
42-459-31492,MARSH TD-ARRINGTON (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2021-01-04,2021-01-07
42-459-31491,MARSH TD-COLLIE (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2020-12-14,2020-12-16
42-459-30945,"PHILLIPS, AO 1",BREITBURN OPERATING L.P.,Recompletion,Vertical,2019-04-25,2019-04-26
42-459-31047,"HARLAN, NINA 1",BREITBURN OPERATING L.P.,Recompletion,Vertical,2019-04-25,2019-04-26
42-459-31490,SWEETMAN-REYNOLDS (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2019-04-17,2019-04-22
42-459-31489,CRAIG-SNOW JE (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2019-04-16,2019-04-23
42-459-31487,HILL LC-LANDERS (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2019-04-11,2019-05-23
42-459-31488,HILL LC-GILMER S (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2019-04-08,2019-05-23
42-459-31487,HILL LC-LANDERS (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2019-04-02,2019-04-10
42-459-31488,HILL LC-GILMER S (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2019-04-02,2019-04-03
42-459-80077,BLAND 3,"BASA RESOURCES, INC.",Re-Enter,Vertical,2018-09-24,2018-10-22
42-459-31485,GAGE GAS UNIT (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2018-08-28,2018-10-31
42-459-31486,SNOW D-LANDERS (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2018-08-27,2018-08-30
42-459-31485,GAGE GAS UNIT 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2018-08-16,2018-08-21
42-459-80076,BLAND 2,"BASA RESOURCES, INC.",Re-Enter,Vertical,2018-04-11,2018-05-24
42-459-31294,MCCASLIN-HALL 2,"MAXIMUS OPERATING, LTD.",Recompletion,Vertical,2018-03-01,2018-03-05
42-459-30404,"WHEELER, O.N. 2",SABINE OIL & GAS CORPORATION,Recompletion,Vertical,2017-11-20,2017-11-29
42-459-31484,PRITCHETT-CRAIG (AW) 1H,SABINE OIL & GAS CORPORATION,New Drill,Horizontal,2017-09-14,2017-09-27
42-459-31190,"SNOW, J.E. 4",SABINE OIL & GAS CORPORATION,Recompletion,Vertical,2017-08-09,2017-08-14
42-459-31136,"MCCOLLUM, GENE A. 3",SABINE OIL & GAS CORPORATION,Recompletion,Vertical,2017-07-11,2017-07-13
42-459-31067,CEDAR SPRINGS GAS UNIT 6 4,BUFFCO PRODUCTION INC.,Recompletion,Vertical,2017-01-12,2017-01-17
42-459-31099,CEDAR SPRINGS GAS UNIT 3 7,BUFFCO PRODUCTION INC.,Recompletion,Directional,2016-08-25,2016-09-23
42-459-31483,STINCHCOMB 5H,"TANOS EXPLORATION II, LLC",New Drill,Horizontal,2016-06-23,2016-06-23
42-459-31479,VOSS 2,"MIKEN OIL, INC.",New Drill,Vertical,2015-02-05,2015-02-11
42-459-30086,"HUNTER, J. L. 1","BLOCK ""T"" PETROLEUM, INC.",Recompletion,Vertical,2015-02-03,2015-02-17
42-459-31482,EVERETT-LAKE 8,EAST TEX SALT WATER DISPOSAL CO.,New Drill,Vertical,2014-12-22,2014-12-29
42-459-31481,H. J. TRAMMELL GAS UNIT 5H,"TANOS EXPLORATION II, LLC",New Drill,Horizontal,2014-12-05,2014-12-10
42-459-31480,INDIAN ROCK GAS UNIT NO. 6 9H,"TANOS EXPLORATION II, LLC",New Drill,Horizontal,2014-11-03,2014-11-03
42-459-31479,VOSS 2,"QUANTUM RESOURCES MANAGEMENT,LLC",New Drill,Vertical,2014-10-29,2014-12-18
42-459-31465,LAUGHLIN 5H,"TANOS EXPLORATION II, LLC",New Drill,Horizontal,2014-09-24,2014-10-10
42-459-31478,FOSTER 1,"C. W. RESOURCES, INC.",New Drill,Vertical,2014-08-13,2014-09-03
42-459-31475,DOWNING 5,EAST TEX SALT WATER DISPOSAL CO.,New Drill,Vertical,2014-08-07,2014-09-12
42-459-31476,EVERETT-LAKE 7,EAST TEX SALT WATER DISPOSAL CO.,New Drill,Vertical,2014-08-07,2014-09-12
42-459-31477,BLUM 9,EAST TEX SALT WATER DISPOSAL CO.,New Drill,Vertical,2014-08-07,2014-09-12
42-459-31474,J E SNOW 7H,FOREST OIL CORPORATION,New Drill,Horizontal,2014-07-24,2014-08-21
42-459-31471,"ADKINS, A.D. 1","QUANTUM RESOURCES MANAGEMENT,LLC",New Drill,Vertical,2014-06-19,2014-07-23
42-459-30881,"LANDERS, W. M. 1","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2014-06-06,2014-07-22
42-459-30815,"HARGRAVES (BRAWLEY GU 2), F.E. 1","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2014-05-07,2014-06-09
42-459-31469,J.T. JONES 2,"QUANTUM RESOURCES MANAGEMENT,LLC",New Drill,Vertical,2014-05-02,2014-06-17
42-459-31468,VOSS 1,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2014-04-25,2014-05-21
42-459-31467,WINN 1,"C. W. RESOURCES, INC.",New Drill,Vertical,2014-04-16,2014-04-30
42-459-31465,LAUGHLIN 5H,"TANOS EXPLORATION II, LLC",New Drill,Horizontal,2014-03-14,2014-04-22
42-459-31464,J.T. JONES 1,"QUANTUM RESOURCES MANAGEMENT,LLC",New Drill,Vertical,2014-02-12,2014-03-07
42-459-31463,SOUTH GILMER 2,"SPICEWOOD OPERATING COMPANY, LLC",New Drill,Vertical,2014-01-30,2014-02-20
42-459-31462,INDIAN ROCK GAS UNIT 8 10H,"TANOS EXPLORATION II, LLC",New Drill,Horizontal,2014-01-15,2014-01-29
42-459-31461,G. H. BRAWLEY 1,"QUANTUM RESOURCES MANAGEMENT,LLC",New Drill,Vertical,2013-12-23,2014-02-06
42-459-31460,MACKEY 1,"QUANTUM RESOURCES MANAGEMENT,LLC",New Drill,Vertical,2013-12-23,2014-01-09
42-459-30907,"JOHNSON, E.F. 1","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2013-12-20,2014-01-06
42-459-31106,"WILLIS, F.M. 3","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2013-12-19,2014-01-09
42-459-30880,"FREE (PORTER 2), J. W. 1","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2013-11-04,2013-11-13
42-459-30873,"FREE, J.W. OIL UNIT 3","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2013-11-01,2013-11-08
42-459-30907,"JOHNSON, E.F. 1","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2013-09-18,2013-09-25
42-459-30880,"FREE, J. W. 1","QUANTUM RESOURCES MANAGEMENT,LLC",Recompletion,Vertical,2013-09-10,2013-09-17
42-459-31459,J. K. LEARD GAS UNIT NO. 1 8A,"VERADO ENERGY, INC.",New Drill,Vertical,2013-08-08,2013-08-12
42-459-31457,R. A. HINSON GAS UNIT NO. 1 13,"VERADO ENERGY, INC.",New Drill,Vertical,2013-06-12,2013-07-12
42-459-30787,"EDWARDS, J. K. 1R","LINDER, JOHN OPERATING CO., LLC",Recompletion,Vertical,2012-10-02,2012-11-07
42-459-30867,"LOYD, H. S. 2",PATARA ANDOVER I LLC,Recompletion,Vertical,2012-08-20,2012-08-28
42-459-30787,"EDWARDS, J. K. 1","COTTON VALLEY OPERATIONS, INC.",Recompletion,Vertical,2012-04-12,2012-04-25
42-459-30857,LANDERS UNIT 4,FOREST OIL CORPORATION,Recompletion,Vertical,2012-03-15,2012-04-13
42-459-30037,H S LOYD GAS UNIT 1 1,PATARA OIL & GAS LLC,Recompletion,Vertical,2012-02-21,2012-03-07
42-459-30048,J. E. REYNOLDS UNIT 1,FOREST OIL CORPORATION,Recompletion,Vertical,2011-11-09,2011-11-28
42-459-30407,LANDERS 2,FOREST OIL CORPORATION,Recompletion,Vertical,2011-10-31,2011-11-09
42-459-31455,"DIXON, WILLIAM L. GAS UNIT 'A' 6H",BP AMERICA PRODUCTION COMPANY,New Drill,Horizontal,2011-07-26,2011-08-24
42-459-31454,MCKNIGHT GAS UNIT 1 9,"VERADO ENERGY, INC.",New Drill,Vertical,2011-06-06,2011-06-09
42-459-31453,ERNEST BOWERS GAS UNIT 6,"VERADO ENERGY, INC.",New Drill,Vertical,2011-03-10,2011-03-16
42-459-31452,ERNEST BOWERS GAS UNIT 7,"VERADO ENERGY, INC.",New Drill,Vertical,2011-03-10,2011-03-15
42-459-31451,R. A. HINSON GAS UNIT NO. 1 12,"VERADO ENERGY, INC.",New Drill,Vertical,2011-03-08,2011-04-08
42-459-31448,"BLASINGAME, T.A. GAS UNIT 2","CHAPARRAL ENERGY, L.L.C.",New Drill,Vertical,2011-01-05,2011-02-08
42-459-30037,H S LOYD GAS UNIT 1 1,APACHE CORPORATION,Recompletion,Vertical,2011-01-05,2011-01-10
42-459-30568,ALLGOOD GAS UNIT #1 3,APACHE CORPORATION,Recompletion,Vertical,2010-12-28,2010-12-30
42-459-31450,TUEL GAS UNIT #1 8,"VERADO ENERGY, INC.",New Drill,Vertical,2010-11-23,2010-11-23
42-459-31449,J. K. LEARD GAS UNIT NO. 1 8,"VERADO ENERGY, INC.",New Drill,Vertical,2010-11-23,2010-11-23
