api,well,operator,application_type,drill_type,submitted,approved
42-467-00629,"BRACKEN, J. A. 35 1","BASA RESOURCES, INC.",Recompletion,Vertical,2024-12-12,2024-12-19
42-467-30937,"TAYLOR, T. J. 33 9","BASA RESOURCES, INC.",Recompletion,Vertical,2024-12-12,2024-12-18
42-467-00628,"BRACKEN, J. A. 35 8","BASA RESOURCES, INC.",Recompletion,Vertical,2024-08-26,2024-08-28
42-467-00625,"BRACKEN, J. A. 35 4","BASA RESOURCES, INC.",Recompletion,Vertical,2024-08-12,2024-08-21
42-467-30618,"BRACKEN, J. A. 35 10","BASA RESOURCES, INC.",Recompletion,Vertical,2024-07-22,2024-07-26
42-467-30164,"WOODRUM, J. C. 1","WTXR OPERATING (TEXAS), INC.",Recompletion,Vertical,2024-07-11,
42-467-31184,UNIT 1263 1,"BOARDWALK LA MIDSTREAM, LLC",New Drill,Vertical,2024-01-24,2024-01-26
42-467-00466,"YORK, ELLA -102- 2","BASA RESOURCES, INC.",Re-Enter,Vertical,2023-12-06,2023-12-13
42-467-31183,NORTH GRAND SALINE 1,"MUD CREEK OPERATING, LLC",New Drill,Vertical,2023-07-21,2023-07-24
42-467-31182,RUNTE 1,"MUD CREEK OPERATING, LLC",New Drill,Vertical,2023-02-22,2023-03-03
42-467-30969,"BRACKEN, J. A. 35 16","BASA RESOURCES, INC.",Recompletion,Vertical,2022-11-21,2022-12-01
42-467-30825,"SHIVERS, J. R. 12 12","BASA RESOURCES, INC.",Recompletion,Directional,2022-02-08,2022-02-16
42-467-30770,"WHITE, W. H. 504 3C","BASA RESOURCES, INC.",Recompletion,Vertical,2022-01-20,2022-03-10
42-467-31023,"SWAIN, W. F. 14 8","BASA RESOURCES, INC.",Recompletion,Vertical,2022-01-12,2022-01-21
42-467-31004,"CRIM, J. F. 16 10","BASA RESOURCES, INC.",Recompletion,Vertical,2021-11-11,2021-11-17
42-467-30898,"YORK, W. A. 13 18","BASA RESOURCES, INC.",Recompletion,Vertical,2021-06-22,2021-06-25
42-467-30044,PRESSWOOD (TRAVIS PEAK) UNIT 1,"JL E&P, LLC",Recompletion,Vertical,2021-06-17,2021-06-28
42-467-30994,"BRAWNER, L. M. 10 20","BASA RESOURCES, INC.",Recompletion,Vertical,2021-06-14,2021-06-18
42-467-00608,"BRACKEN, J. A. 503 4","BASA RESOURCES, INC.",Recompletion,Vertical,2021-06-11,2021-06-25
42-467-00602,"WHITE, W. H. 504 1","BASA RESOURCES, INC.",Recompletion,Vertical,2021-05-11,2021-05-26
42-467-31181,DAVIS 1,"JAMEX, INC.",New Drill,Vertical,2021-03-10,2021-03-19
42-467-31180,MARISA 10,"S N D ENERGY COMPANY, INC.",New Drill,Vertical,2019-11-18,2019-11-20
42-467-31179,BOMAR 1,"JAMEX, INC.",New Drill,Vertical,2019-09-24,2019-11-13
42-467-30983,"SWAIN, W. F. 9 12",UNION OIL COMPANY OF CALIFORNIA,Recompletion,Directional,2019-06-24,2019-06-26
42-467-31177,HUMPHRIES 1,"JAMEX, INC.",New Drill,Vertical,2018-07-26,2018-07-27
42-467-31176,FRUITVALE WATERFLOOD UNIT WSW 1,"JAMEX, INC.",New Drill,Vertical,2018-07-05,2018-07-06
42-467-31176,FRUITVALE WATERFLOOD UNIT WSW 1,"JAMEX, INC.",New Drill,Vertical,2018-06-25,2018-06-26
42-467-30155,"RICHEY, MARILYN 1","WTXR OPERATING (TEXAS), INC.",Recompletion,Vertical,2018-03-05,2018-03-19
42-467-31176,FRUITVALE WATERFLOOD UNIT WSW 1,"JAMEX, INC.",New Drill,Vertical,2018-02-19,2018-02-21
42-467-30164,"WOODRUM, J.C. 1","WTXR OPERATING (TEXAS), INC.",Recompletion,Vertical,2018-02-16,2018-02-22
42-467-31175,REZNICEK 1,"JAMEX, INC.",New Drill,Vertical,2018-01-11,2018-01-23
42-467-31174,BOGUE ESTATE 1H,TANA EXPLORATION COMPANY LLC,New Drill,Horizontal,2017-08-18,2017-09-28
42-467-31174,BOGUE ESTATE 1H,TANA EXPLORATION COMPANY LLC,New Drill,Horizontal,2017-07-03,2017-07-12
42-467-31173,BEN HENDERSON 1,"JAMEX, INC.",New Drill,Vertical,2017-06-07,2017-06-16
42-467-31172,YELLOW STEER UNIT 1,"FAIR OIL, LTD.",New Drill,Vertical,2017-03-23,2017-04-25
42-467-30931,BROWNING 1,"THREE FORKS OPERATING CO, LLC",Recompletion,Vertical,2017-01-31,2017-02-08
42-467-30997,"CRIM, J. F. 16 9",UNION OIL COMPANY OF CALIFORNIA,Recompletion,Vertical,2016-11-04,2016-11-22
42-467-31169,BACHTEL 1,"JAMEX, INC.",New Drill,Vertical,2016-06-07,2016-06-08
42-467-31171,COKER 'A' 9,"CYNPAT OIL & GAS, INC.",New Drill,Vertical,2016-06-02,2016-06-03
42-467-31170,G. M. 1,"SELLERS LEASE SERVICE, INC.",New Drill,Vertical,2016-05-31,2016-06-24
42-467-31169,BACHTEL 1,"JAMEX, INC.",New Drill,Vertical,2016-05-09,2016-06-07
42-467-30748,"YORK, W. A. 13 8",UNION OIL COMPANY OF CALIFORNIA,Recompletion,Vertical,2016-01-06,2016-01-07
42-467-31168,ROBINSON 1,FORTUNE ROYALTY EXPLORATION LLC,New Drill,Vertical,2015-10-01,2015-11-10
42-467-31167,DD35 02,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2015-09-01,2015-09-09
42-467-00604,"BRACKEN, J. A. 503 5",UNION OIL COMPANY OF CALIFORNIA,Recompletion,Vertical,2015-08-26,2015-09-10
42-467-31005,"BRAWNER, L. M. 10 23",UNION OIL COMPANY OF CALIFORNIA,Recompletion,Vertical,2015-08-04,2015-09-11
42-467-31166,WISDOM 1,"DOUGHTIE OPERATING COMPANY, LLC",New Drill,Vertical,2015-07-14,2015-07-22
42-467-31166,WISDOM 1,"DOUGHTIE OPERATING COMPANY, LLC",New Drill,Vertical,2015-05-12,2015-05-12
42-467-31165,SMITH HEIRS ET AL 1,"MAXIMUS OPERATING, LTD.",New Drill,Vertical,2015-04-08,2015-04-08
42-467-31163,DD 32,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2015-01-02,2015-01-22
42-467-31164,DD 35,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2015-01-02,2015-01-22
42-467-31032,W. T. JARMAN 3729,UNION OIL COMPANY OF CALIFORNIA,Recompletion,Vertical,2014-12-15,2014-12-17
