api,well,operator,application_type,drill_type,submitted,approved
42-483-30057,"FABIAN, SIDNEY 1","MMGL TXPH, LLC",Recompletion,Vertical,2025-01-13,
42-483-30553,HEFLEY 47 1047,"MMGL TXPH, LLC",Recompletion,Vertical,2024-06-25,2024-08-21
42-483-32852,DOUG 1024,"SANGUINE GAS EXPLORATION, LLC",Recompletion,Vertical,2024-01-16,2024-01-19
42-483-32663,DAVIDSON 2036,"SANGUINE GAS EXPLORATION, LLC",Field Transfer,Vertical,2023-09-27,2023-10-05
42-483-32501,MILLS RANCH 1024,"SANGUINE GAS EXPLORATION, LLC",Recompletion,Vertical,2023-08-21,2023-08-25
42-483-33981,ELMORE 33-7 1H,"Ehvi Exploration, LLC",New Drill,Horizontal,2023-03-27,2023-05-16
42-483-33981,ELMORE 33-7 1H,"Ehvi Exploration, LLC",New Drill,Horizontal,2023-02-10,2023-03-09
42-483-33979,LOTT 17-16-1H 1H,"Ehvi Exploration, LLC",New Drill,Horizontal,2022-11-27,2022-12-05
42-483-33980,LOTT 17-16-2H 2H,"Ehvi Exploration, LLC",New Drill,Horizontal,2022-11-27,2022-12-05
42-483-32847,MILLS 4024,"SANGUINE GAS EXPLORATION, LLC",Recompletion,Vertical,2022-10-31,2022-11-02
42-483-32852,DOUG 1024,"SANGUINE GAS EXPLORATION, LLC",Recompletion,Vertical,2022-07-27,2022-07-29
42-483-31639,SHELTON 1,LONE TREE OIL & GAS LLC,Recompletion,Vertical,2022-07-25,2022-07-26
42-483-31639,SHELTON 1,LONE TREE OIL & GAS LLC,Recompletion,Vertical,2022-03-15,2022-03-21
42-483-33978,BASS 5910H,"SANGUINE GAS EXPLORATION, LLC",New Drill,Horizontal,2022-01-20,2022-01-27
42-483-33977,CUTLASS MD 2H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-12-20,2021-12-21
42-483-33976,CUTLASS MD 1H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2021-12-08,2021-12-21
42-483-33725,TERESA 1063H,SANDLOT OIL & GAS LLC,Recompletion,Horizontal,2021-11-29,2021-12-03
42-483-33975,MARY MITCHELL 2SD,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2021-09-15,2021-09-23
42-483-32388,WILEY 104,"UNBRIDLED RESOURCES, LLC",Recompletion,Vertical,2021-08-24,2021-08-27
42-483-33908,PURYEAR 1027HB,"UNBRIDLED RESOURCES, LLC",New Drill,Horizontal,2021-06-18,2021-06-25
42-483-33974,BRITT 15X26C 1HC,"UNBRIDLED RESOURCES, LLC",New Drill,Horizontal,2021-05-24,2021-06-09
42-483-33794,STILES 68 3168H,"TAPSTONE ENERGY, LLC",New Drill,Horizontal,2021-04-25,2021-04-26
42-483-33674,STILES 68 3068H,"TAPSTONE ENERGY, LLC",New Drill,Horizontal,2021-04-25,2021-04-26
42-483-32299,"DOBBS, FINSTERWALD 7051A",TEMPLAR OPERATING LLC,Recompletion,Vertical,2020-02-19,2020-02-21
42-483-31348,BRITT -10- 2,TEMPLAR OPERATING LLC,Recompletion,Vertical,2020-02-13,2020-02-20
42-483-31928,MOORE 1 201,PRESIDIO PETROLEUM LLC,Recompletion,Vertical,2020-02-04,2020-02-06
42-483-32195,MCCOY 27 3,TEMPLAR OPERATING LLC,Recompletion,Vertical,2020-01-21,2020-01-28
42-483-31269,COLTHARP 1058,PRESIDIO PETROLEUM LLC,Recompletion,Vertical,2020-01-16,2020-01-28
42-483-32562,"MOORE, R. 101",PRESIDIO PETROLEUM LLC,Recompletion,Vertical,2019-12-30,2020-01-06
42-483-33972,HAGERMAN 7070H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2019-12-18,2019-12-20
42-483-33971,PURYEAR 13 9HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2019-12-12,2019-12-17
42-483-32244,BAILEY 1092,"RIO PETROLEUM, INC.",Recompletion,Vertical,2019-06-17,2019-07-23
42-483-31639,SHELTON 1,LONE TREE OIL & GAS LLC,Recompletion,Vertical,2019-05-24,2019-05-24
42-483-33970,MARILYN 5-5 1HA,"TAPSTONE ENERGY, LLC",New Drill,Horizontal,2019-04-16,2019-04-24
42-483-33969,STILES 4-17 1HA,"TAPSTONE ENERGY, LLC",New Drill,Horizontal,2019-03-12,2019-03-26
42-483-33918,STILES 1 2101H,"TAPSTONE ENERGY, LLC",New Drill,Horizontal,2019-02-13,2019-02-22
42-483-33936,BRITT-RATHJEN 806HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-09-06,2018-09-12
42-483-31639,SHELTON 1,LONE TREE OIL & GAS LLC,Recompletion,Vertical,2018-07-25,2018-07-26
42-483-33967,HEFLEY 4C 1HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-06-13,2018-06-14
42-483-33962,E. R. BLOCKER 504 504H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-05-03,2018-05-09
42-483-33963,E. R. BLOCKER 604 604H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-05-03,2018-05-09
42-483-33968,AUSTIN 5502H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2018-05-03,2018-05-04
42-483-33960,E. R. BLOCKER 304 304H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-05-01,2018-05-09
42-483-33961,E. R. BLOCKER 404 404H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-05-01,2018-05-09
42-483-33964,HEFLEY 4A 1HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-04-28,2018-05-14
42-483-33960,E. R. BLOCKER 304 304H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-04-16,2018-04-23
42-483-33961,E. R. BLOCKER 404 404H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-04-16,2018-04-23
42-483-33962,E. R. BLOCKER 504 504H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-04-16,2018-04-23
42-483-33963,E. R. BLOCKER 604 604H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-04-16,2018-04-23
42-483-33967,HEFLEY 4C 1HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-03-24,2018-04-04
42-483-33966,DABERY FABIAN 1-45 MC EX 1H,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2018-03-13,2018-03-20
42-483-33965,COLTHARP BRYANT 51-44 MC WX 1H,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2018-03-13,2018-03-19
42-483-33964,HEFLEY 4A 1HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-03-08,2018-03-15
42-483-33960,E. R. BLOCKER 304H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-01-08,2018-01-12
42-483-33961,E. R. BLOCKER 404H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-01-08,2018-01-12
42-483-33962,E. R. BLOCKER 504H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-01-08,2018-01-12
42-483-33963,E. R. BLOCKER 604H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-01-08,2018-01-12
42-483-33372,THURMAN HORN 407H,"4P ENERGY TEXAS, LLC",Field Transfer,Horizontal,2018-01-04,2018-01-10
42-483-33959,BRYANT 21X40B 2H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2018-01-02,2018-02-05
42-483-33958,BRYANT 21X40C 3H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-12-26,2018-02-05
42-483-33957,BRYANT 21X40A 1H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-12-11,2017-12-19
42-483-33956,LEGG 7-6 1HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-12-11,2017-12-19
42-483-33955,SIMMONS 101H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-11-16,2017-11-29
42-483-33954,AUSTIN 5501H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-11-15,2017-11-21
42-483-33907,MILLER SPINNEY 39 SL 7HC,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2017-11-10,2017-11-29
42-483-33953,ATHERTON 2X69 1HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-11-03,2017-11-27
42-483-33952,BURRELL XLA 304R,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-11-01,2017-11-01
42-483-33951,MILLER 10 101HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-10-23,2017-10-27
42-483-33950,MILLER 209HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-10-17,2017-11-08
42-483-33949,BRITT 801HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-10-11,2017-10-27
42-483-33939,BURRELL XLA 304,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-10-09,2017-10-27
42-483-33948,MILLER 210HB,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-10-04,2017-10-13
42-483-33925,BRITT CALDWELL 1015HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-10-03,2017-10-20
42-483-33926,BRITT 1226HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-09-30,2017-10-18
42-483-33947,MOORE SA 302HB,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-09-27,2017-09-28
42-483-33943,MOORE 301HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-09-16,2017-10-23
42-483-33946,FRYE 9 5HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-09-16,2017-09-22
42-483-33944,HEFLEY-MOORE 101H,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-08-23,2017-08-30
42-483-33945,D. BRITT 4 2H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-08-23,2017-08-30
42-483-33942,HAYES-REID 18-9 MD CX 2H,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2017-07-22,2017-08-17
42-483-33938,HAYES-REID 18-9 MD EX 1HR,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2017-07-22,2017-08-17
42-483-33943,MOORE 301HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-07-22,2017-07-24
42-483-33941,LUKER 803HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-07-06,2017-07-12
42-483-33940,LUKER 703HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-07-06,2017-07-10
42-483-33942,HAYES-REID 18-9 MD CX 2H,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2017-07-05,2017-07-19
42-483-33940,LUKER 703HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-06-13,2017-06-22
42-483-33941,LUKER 803HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-06-13,2017-06-22
42-483-33938,HAYES-REID 18-9 MD EX 1HR,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2017-06-01,2017-06-16
42-483-31510,LISTER 2,"TECOLOTE ENERGY OPERATING, LLC",Recompletion,Vertical,2017-05-04,2017-05-19
42-483-33939,BURRELL XLA 304,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-04-28,2017-05-05
42-483-33900,HARRIS 3HB,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2017-04-25,2017-06-16
42-483-33938,HAYES-REID 18-9 MD CX 2H,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2017-04-20,2017-05-01
42-483-32222,G. C. DAVIS 3061,"CREST RESOURCES, INC.",Recompletion,Vertical,2017-04-13,2017-04-20
42-483-33937,HAYES-REID 18-9 MD EX 1H,"TECOLOTE ENERGY OPERATING, LLC",New Drill,Horizontal,2017-03-31,2017-04-10
42-483-33936,BRITT-RATHJEN 806HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-03-27,2017-03-31
42-483-33469,HUNTER-HEFLEY 34 7H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2017-03-15,2017-04-19
42-483-33934,BRITT-RATHJEN 706HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-03-11,2017-03-24
42-483-33935,BRITT RANCH UNIT 3501H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-02-24,2017-03-10
42-483-33934,BRITT-RATHJEN 706HC,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2017-02-09,2017-02-17
42-483-33933,BRITT RANCH UNIT 4501H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2017-02-02,2017-02-10
42-483-33931,BASIN ROYALTY R803HB,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2016-11-07,2016-11-07
42-483-33932,BRITT -10- 2H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2016-11-02,2016-11-21
42-483-33921,BRITT -10- 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2016-10-19,2016-11-02
42-483-33930,ARMSTRONG 2008HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2016-09-21,2016-09-27
42-483-33928,SHEETS 3052,J-BREX COMPANY,New Drill,Vertical,2016-08-30,2016-09-26
42-483-33929,SHEETS 4052,J-BREX COMPANY,New Drill,Vertical,2016-08-30,2016-09-23
42-483-33927,KEY -11- 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2016-08-24,2016-09-07
42-483-33926,BRITT 1226HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2016-08-17,2016-08-18
42-483-33925,BRITT CALDWELL 1015HA,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2016-07-19,2016-07-28
42-483-33924,BRITT RANCH UNIT 3615H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2016-06-23,2016-06-23
42-483-33923,HARRIS 4HB,"4P ENERGY TEXAS, LLC",New Drill,Horizontal,2016-06-15,2016-06-16
42-483-30507,"BROWN, ET AL 106","DEVON ENERGY PRODUCTION CO, L.P.",Recompletion,Vertical,2016-06-13,2016-06-14
42-483-32213,COATES 108,"ENERVEST OPERATING, L.L.C.",Field Transfer,Vertical,2016-05-25,2016-05-26
42-483-33922,BRITT -3- 3H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2016-05-19,2016-05-20
42-483-31012,SHERIA 1,"SLT DAKOTA OPERATING, INC.",Recompletion,Vertical,2016-05-10,2016-05-20
42-483-30780,BLACK TRUST 49 1,"ENERVEST OPERATING, L.L.C.",Recompletion,Vertical,2016-04-28,2016-05-11
42-483-33921,BRITT -10- 1H,LE NORMAN OPERATING LLC,New Drill,Horizontal,2016-04-19,2016-04-25
42-483-33910,LUKER 602H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2016-03-11,2016-03-29
42-483-33920,BRITT 38 SL 5H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2016-03-07,2016-04-08
42-483-33084,MCMAHAN W 22 SL 4H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2016-02-10,2016-02-17
42-483-33919,SHEETS 2052,J-BREX COMPANY,New Drill,Vertical,2016-01-04,2016-01-13
42-483-33272,HINK H306SL,"SANGUINE GAS EXPLORATION, LLC",New Drill,Horizontal,2016-01-02,2016-01-05
42-483-33702,HUNTER-HEFLEY 34 SL 4H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2015-12-10,2016-05-16
42-483-33703,HUNTER-HEFLEY 34 SL 6H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2015-12-10,2016-05-16
42-483-33471,HUNTER-HEFLEY 34 8H,"ENERVEST OPERATING, L.L.C.",New Drill,Horizontal,2015-12-10,2016-03-24
42-483-30519,HUNTER UNIT 1,APACHE CORPORATION,Recompletion,Vertical,2015-11-19,2015-11-24
42-483-33918,STILES 1 2101H,"TAPSTONE ENERGY, LLC",New Drill,Horizontal,2015-11-16,2015-11-17
