api,well,operator,application_type,drill_type,submitted,approved
42-485-46402,WILLIS 2,R2Q OPERATING LLC,New Drill,Vertical,2025-01-13,2025-01-16
42-485-46318,"WAGGONER, J & J KMA UNIT 98",R2Q OPERATING LLC,New Drill,Vertical,2025-01-03,2025-01-07
42-485-46401,PACE 104,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-12-20,2024-12-20
42-485-46400,FIRST NATIONAL 108,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-11-05,2024-11-06
42-485-46399,FIRST NATIONAL 104,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-10-29,2024-10-30
42-485-46398,SAUDER B 5,R2Q OPERATING LLC,New Drill,Vertical,2024-10-04,2024-10-04
42-485-46394,FIRST NATIONAL COMPANY 54,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-08-26,2024-08-27
42-485-46395,FIRST NATIONAL COMPANY 56,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-08-26,2024-08-27
42-485-46396,FIRST NATIONAL COMPANY 55,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-08-26,2024-08-27
42-485-46397,FIRST NATIONAL COMPANY 57,"NEWPORT OPERATING, LLC",New Drill,Vertical,2024-08-26,2024-08-27
42-485-46386,CATHODIC PROTECTION 5,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2024-08-15,2024-08-19
42-485-46386,CATHODIC PROTECTION 5,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2024-08-06,2024-08-12
,CATHODIC PROTECTION 5,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2024-08-02,
42-485-46393,POTTS TWO 9,"MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2024-07-31,2024-07-31
42-485-46386,CATHODIC PROTECTION 5,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2024-07-24,2024-07-25
42-485-46314,PARRISH 6,S&G OIL LLC,New Drill,Vertical,2024-05-24,2024-05-29
42-485-46232,"MARRIOTT, J.H. 60",S&G OIL LLC,New Drill,Vertical,2024-05-02,2024-07-24
42-485-46385,NUS100 1,"NUSTAR LOGISTICS, L.P.",New Drill,Vertical,2024-04-19,2024-05-21
42-485-46383,SLC RAMMING 93,"STONE, GREGORY W.",New Drill,Vertical,2024-01-30,2024-02-05
42-485-46384,SLC RAMMING 94,"STONE, GREGORY W.",New Drill,Vertical,2024-01-30,2024-02-05
42-485-46382,FIRST NATIONAL COMPANY 45,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-11-02,2023-11-27
42-485-46381,FIRST NATIONAL COMPANY 53,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-11-02,2023-11-06
42-485-46380,BONFIRE- SCOTTISH RITE 1903,BONFIRE OPERATING LLC,New Drill,Vertical,2023-10-17,2023-10-26
42-485-46379,WAGGONER G 5,"JLW OPERATIONS, LLC",New Drill,Vertical,2023-09-12,2023-09-14
42-485-46378,NUS200 01,"NUSTAR LOGISTICS, L.P.",New Drill,Vertical,2023-09-11,2023-09-12
42-485-46377,NUS201 1,"NUSTAR LOGISTICS, L.P.",New Drill,Vertical,2023-09-11,2023-09-12
42-485-46376,BONFIRE- SCOTTISH RITE 1902,BONFIRE OPERATING LLC,New Drill,Vertical,2023-08-08,2023-08-11
42-485-46375,73-27 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2023-08-07,2023-08-23
42-485-46374,FIRST NATIONAL COMPANY 51,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-07-13,2023-07-18
42-485-46375,WITCHITA FALLS 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2023-07-11,2023-07-21
42-485-46373,FIRST NATIONAL COMPANY 47,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-07-06,2023-07-14
42-485-46372,FIRST NATIONAL COMPANY 52,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-06-26,2023-07-07
42-485-46371,ATE508 01,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2023-06-19,2023-06-26
42-485-46368,"FOSTER, ED & SEFFIE 4M",BURLESON OIL COMPANY,New Drill,Vertical,2023-06-13,2023-06-15
42-485-46370,FIRST NATIONAL COMPANY 46,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-06-13,2023-06-15
42-485-46369,FIRST NATIONAL COMPANY 50,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-06-09,2023-06-15
42-485-46366,BURNETT 15D,R2Q OPERATING LLC,New Drill,Vertical,2023-06-05,2023-06-07
42-485-46364,SAUDER A 6,R2Q OPERATING LLC,New Drill,Vertical,2023-05-18,2023-05-24
42-485-46365,"GILLIS, BRUCE 19B",BONFIRE OPERATING LLC,New Drill,Vertical,2023-05-16,2023-05-26
42-485-46363,FIRST NATIONAL COMPANY 44,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-05-16,2023-05-23
42-485-46362,SB MP 177.841 1,ENTERPRISE PRODUCTS TEXAS OP LLC,New Drill,Vertical,2023-05-09,2023-05-16
42-485-46357,WAGGONER BUOY LEASE 14B,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-04-25,2023-05-01
42-485-46358,WAGGONER BUOY LEASE 15B,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-04-25,2023-05-01
42-485-46359,WAGGONER BUOY LEASE 18B,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-04-25,2023-05-01
42-485-46360,WAGGONER BUOY LEASE 19B,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-04-25,2023-05-01
42-485-46361,WAGGONER BUOY LEASE 20B,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-04-25,2023-05-01
42-485-46356,WAGGONER BUOY LEASE 13B,"W.T. WAGGONER ESTATE, INC.",New Drill,Vertical,2023-04-17,2023-04-18
42-485-46367,BONFIRE-TNT SOUTH 2304,BONFIRE OPERATING LLC,New Drill,Vertical,2023-04-14,2023-06-15
42-485-46355,AN-04 05,"ATMOS ENERGY,WEST TEXAS DIVISION",New Drill,Vertical,2023-03-07,2023-03-09
42-485-46354,FIRST NATIONAL (SHALLOW) 25,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-03-02,2023-04-04
42-485-46353,WICHITA-TAYLOR 49,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-02-17,2023-02-24
42-485-46351,FIRST NATIONAL 113,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-02-10,2023-02-16
42-485-46350,FIRST NATIONAL 103,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-02-03,2023-02-13
42-485-46349,HARDING-SISK 1,"WILLOWBEND INVESTMENTS, INC.",New Drill,Vertical,2023-01-13,2023-02-08
42-485-46348,FIRST NATIONAL 123,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-01-13,2023-01-20
42-485-46347,FIRST NATIONAL 112,"NEWPORT OPERATING, LLC",New Drill,Vertical,2023-01-06,2023-01-10
42-485-46346,FIRST NATIONAL 117,"NEWPORT OPERATING, LLC",New Drill,Vertical,2022-12-29,2023-01-04
42-485-46345,FIRST NATIONAL (SHALLOW) 24,"NEWPORT OPERATING, LLC",New Drill,Vertical,2022-12-13,2022-12-22
