api,well,operator,application_type,drill_type,submitted,approved
42-491-30504,RIEGER 10,"NORTH TEXAS ENERGY,INC.",New Drill,Vertical,2024-07-08,2024-07-11
42-491-30503,WARNER 1,WALKER OPERATING COMPANY,New Drill,Vertical,2024-05-21,2024-05-23
42-491-30501,ALAN 1,WALKER OPERATING COMPANY,New Drill,Vertical,2024-02-20,2024-02-26
42-491-30502,JOSEPH 1,WALKER OPERATING COMPANY,New Drill,Vertical,2024-02-19,2024-02-22
42-491-30499,DANIEL 1,WALKER OPERATING COMPANY,New Drill,Vertical,2024-02-16,2024-02-22
42-491-30500,DANIEL 2,WALKER OPERATING COMPANY,New Drill,Vertical,2024-02-16,2024-02-22
42-491-30497,SPELLINGS 2,"NORTH TEXAS ENERGY,INC.",New Drill,Vertical,2023-01-24,2023-01-26
42-491-30488,SPELLINGS 1,"NORTH TEXAS ENERGY,INC.",New Drill,Vertical,2022-12-12,2022-12-20
42-491-30496,STORM TPL1 1,"FLINT HILLS RESOURCES, LC",New Drill,Vertical,2022-11-14,2022-11-21
42-491-30494,POLDRACK 2,WALKER OPERATING COMPANY,New Drill,Vertical,2022-02-22,2022-02-28
42-491-30495,POLDRACK 3,WALKER OPERATING COMPANY,New Drill,Vertical,2022-02-22,2022-02-28
42-491-30493,POLDRACK 1,WALKER OPERATING COMPANY,New Drill,Vertical,2022-02-22,2022-02-25
42-491-30491,PETRUCCI 1,WALKER OPERATING COMPANY,New Drill,Vertical,2022-01-07,2022-01-11
42-491-30492,PETRUCCI 2,WALKER OPERATING COMPANY,New Drill,Vertical,2022-01-07,2022-01-11
42-491-30489,SIMCIK 1,WALKER OPERATING COMPANY,New Drill,Vertical,2021-12-28,2022-01-03
42-491-30490,SIMCIK 2,WALKER OPERATING COMPANY,New Drill,Vertical,2021-12-28,2022-01-03
42-491-30488,SPELLINGS 1,"NORTH TEXAS ENERGY,INC.",New Drill,Vertical,2021-10-11,2021-10-15
42-491-30487,SE 376 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2021-08-03,2021-08-04
