api,well,operator,application_type,drill_type,submitted,approved
42-009-43376,ANDREWS LONGLEY 3,"JMH PRODUCTION, LLC",New Drill,Vertical,2025-01-06,2025-01-06
42-009-43375,BRIDWELL ARCHER RANCH -D- 7,BRIDWELL OIL CO.,New Drill,Vertical,2025-01-03,2025-01-03
42-009-43374,BRIDWELL ARCHER RANCH -N- 14,BRIDWELL OIL CO.,New Drill,Vertical,2025-01-02,2025-01-02
42-009-87995,J.J. PERKINS 35,"Martis Valley Energy, LLC",New Drill,Vertical,2024-12-09,2024-12-18
42-009-87996,J.J. PERKINS 18,"Martis Valley Energy, LLC",New Drill,Vertical,2024-12-09,2024-12-18
42-009-43373,J.J. PERKINS 9A,"Martis Valley Energy, LLC",New Drill,Vertical,2024-11-20,2024-11-21
42-009-43371,ANDREWS 'A' 5,BORDERLINE OPERATING CORP.,New Drill,Vertical,2024-10-24,2024-10-25
42-009-43372,ANDREWS 'A' 6,BORDERLINE OPERATING CORP.,New Drill,Vertical,2024-10-24,2024-10-25
42-009-43370,GOSE 2,"JLW OPERATIONS, LLC",New Drill,Vertical,2024-10-12,2024-10-14
42-009-43369,SPAVIN 2,"B.O.L.D. OIL AND GAS, LLC",New Drill,Vertical,2024-10-08,2024-10-08
42-009-43368,BENSON 40 UNIT 1,"B.O.L.D. OIL AND GAS, LLC",New Drill,Vertical,2024-10-08,2024-10-08
42-009-31902,LMH ENERGY O'DONOHOE 2,LMH ENERGY,Re-Enter,Vertical,2024-09-13,2024-12-04
42-009-38932,COWAN-MCKINNEY 5L,LMH ENERGY,Re-Enter,Vertical,2024-09-12,2024-09-12
42-009-43366,PERKINS A 64,WILSON OPERATING CO.,New Drill,Vertical,2024-07-29,2024-07-31
42-009-43367,PERKINS A 65,WILSON OPERATING CO.,New Drill,Vertical,2024-07-29,2024-07-31
42-009-43365,WOLF HOEGGER 2D,"WOLF, GENE L.L.C.",New Drill,Vertical,2024-07-25,2024-07-30
42-009-43362,ANDREWS 'A' 2A,BORDERLINE OPERATING CORP.,New Drill,Vertical,2024-07-18,2024-07-24
42-009-43363,ANDREWS 'A' 3,BORDERLINE OPERATING CORP.,New Drill,Vertical,2024-07-18,2024-07-24
42-009-43364,ANDREWS 'A' 4,BORDERLINE OPERATING CORP.,New Drill,Vertical,2024-07-18,2024-07-24
42-009-43294,SPAVIN 1,"B.O.L.D. OIL AND GAS, LLC",Recompletion,Vertical,2024-07-12,2024-07-16
42-009-42783,STALEY-MANGOLD UNIT 126,STEPHENS & JOHNSON OPERATING CO.,Recompletion,Vertical,2024-07-08,2024-07-11
42-009-43359,ARTHUR RANCH 2,"HW OPERATING, LLC",New Drill,Vertical,2024-06-25,2024-07-03
42-009-43360,COWAN-MCKINNEY UNIT 3L,LMH ENERGY,New Drill,Vertical,2024-06-24,2024-07-08
42-009-43361,COWAN MCKINNEY UNIT 4L,LMH ENERGY,New Drill,Vertical,2024-06-24,2024-07-08
42-009-43358,MORRISON B 16,"WILLOWBEND INVESTMENTS, INC.",New Drill,Vertical,2024-06-21,2024-06-27
