api,well,operator,application_type,drill_type,submitted,approved
42-013-34291,EMMA TARTT 17H,XTO ENERGY INC.,Field Transfer,Horizontal,2025-01-17,
42-013-36146,KH SASSER B UNIT 1H,Alvarado 2014 LLC,New Drill,Horizontal,2025-01-15,
42-013-35906,TOM-SMITH UNIT C 6H,MARATHON OIL EF LLC,New Drill,Horizontal,2025-01-08,
42-013-36217,EDMUND TOM 02 A 09H,"SILVERBOW RESOURCES OPER, LLC",New Drill,Horizontal,2025-01-02,2025-01-06
42-013-36218,JUSTIN TOM 01 B 07H,"SILVERBOW RESOURCES OPER, LLC",New Drill,Horizontal,2025-01-02,2025-01-06
42-013-36216,RILEY 1,ATLAS OPERATING LLC,New Drill,Vertical,2024-12-26,2024-12-27
42-013-36215,MIDDLE MCCOWEN 133HR,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-20,2024-12-20
42-013-36212,THOMPSON B UNIT 5H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-12,2025-01-10
42-013-35993,TOM B UNIT 1H,VERDUN OIL & GAS LLC,New Drill,Horizontal,2024-12-12,2024-12-20
42-013-35904,TOM-SMITH UNIT C 4H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-12,2024-12-13
42-013-36214,FRUIT BASKET E 5H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-12,2024-12-12
42-013-36213,FRUIT BASKET D 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-12,
42-013-35903,TOM-SMITH UNIT C 3H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-12-11,2024-12-19
42-013-35943,CAP UNIT 103H,TEXAS AMERICAN RESOURCES COMPANY,New Drill,Horizontal,2024-12-11,2024-12-13
42-013-35958,JASON UNIT 103H,TEXAS AMERICAN RESOURCES COMPANY,New Drill,Horizontal,2024-12-11,2024-12-13
42-013-36209,FRUIT BASKET A 1H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-11,2024-12-12
42-013-36210,FRUIT BASKET B 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-11,2024-12-12
42-013-36211,FRUIT BASKET C 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-11,2024-12-12
42-013-36206,THOMPSON C UNIT 2H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-03,2024-12-10
42-013-36207,THOMPSON C UNIT 3H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-03,2024-12-10
42-013-36208,THOMPSON C UNIT 4H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-12-03,2024-12-10
42-013-35992,TOM B UNIT 2H,VERDUN OIL & GAS LLC,New Drill,Horizontal,2024-11-27,
42-013-35905,TOM-SMITH UNIT C 5H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-11-18,2024-11-22
42-013-80926,TOBY RIDGE 1,"Alamo Environmental, Inc.",Re-Enter,Vertical,2024-11-18,2024-11-18
42-013-36134,MAY GIRLS 4H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-11-12,2024-12-02
,KRUEGER 1,"GUINN OPERATING COMPANY, LLC",New Drill,Vertical,2024-11-07,
42-013-36072,4K BLACK HILLS UNIT B 1H,"PILLAR EFS, LLC",New Drill,Horizontal,2024-11-05,2024-11-06
42-013-36073,4K BLACK HILLS UNIT B 2H,"PILLAR EFS, LLC",New Drill,Horizontal,2024-11-05,2024-11-06
42-013-36204,R MAY A-SCHROEDER CHAPMAN SA1 1H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-10-30,2024-11-20
42-013-36205,R MAY A-MAY GIRLS CHAPMAN SA2 2H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-10-30,2024-11-20
42-013-36203,R. MAY A 13H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-10-30,2024-10-31
42-013-35200,QUAIL L 11H,"EOG RESOURCES, INC.",Recompletion,Horizontal,2024-10-29,2024-10-31
42-013-36125,POINT BREAK UNIT 1H,"PILLAR EFS, LLC",New Drill,Horizontal,2024-09-11,2024-09-11
42-013-36129,ROAD HOUSE ALLOCATION 1H,"PILLAR EFS, LLC",New Drill,Horizontal,2024-09-06,2024-09-09
42-013-36202,SAGE GEOSYSTEMS SMECI 1,SAGE GEOSYSTEMS INC.,New Drill,Vertical,2024-09-03,2024-09-12
42-013-36201,QUAIL 21H,"EOG RESOURCES, INC.",New Drill,Horizontal,2024-08-29,2024-08-29
42-013-36190,MIDDLE MCCOWEN 136H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-09-09
42-013-36198,MIDDLE MCCOWEN 192H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-09-09
42-013-36200,74 RANCH E 11,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-23
42-013-36195,MIDDLE MCCOWEN 140H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-23
42-013-36194,MIDDLE MCCOWEN 197H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-22
42-013-36188,MIDDLE MCCOWEN 139H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-22
42-013-36196,MIDDLE MCCOWEN 137H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-22
42-013-36197,MIDDLE MCCOWEN 191H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-22
42-013-36199,MIDDLE MCCOWEN 133H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-22
42-013-36191,MIDDLE MCCOWEN 196H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-21
42-013-36192,MIDDLE MCCOWEN 195H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-21
42-013-36193,MIDDLE MCCOWEN 194H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-21
42-013-36189,MIDDLE MCCOWEN 138H,MARATHON OIL EF LLC,New Drill,Horizontal,2024-08-20,2024-08-21
