api,well,operator,application_type,drill_type,submitted,approved
,BRAHMA 42 2,"YUKON EXPLORATION OPERATING, LLC",New Drill,Vertical,2025-01-17,
,BLEDSOE GRIFFIN 65-51 A UNIT M 5H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-16,
,BLEDSOE GRIFFIN 65-51 A UNIT M 7H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-16,
,BLEDSOE GRIFFIN 65-51 A UNIT M 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-16,
42-033-32752,JOLENE 69-80 B UNIT L 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-11,
42-033-32751,JOLENE 69-80 B UNIT A 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-11,
42-033-32750,GUY GUFFEE 68-6 B UNIT A 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-11,
42-033-32751,JOLENE 68-80 B UNIT A 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-05,2025-01-10
42-033-32752,JOLENE 68-80 B UNIT L 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-05,2025-01-10
42-033-32751,JOLENE 69-80 B UNIT A 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-05,2025-01-06
42-033-32752,JOLENE 69-80 B UNIT L 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-05,2025-01-06
42-033-32750,GUY GUFFEE 68-6 B UNIT A 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2025-01-05,2025-01-06
42-033-00289,MCDOWELL 1,"HIGHPEAK ENERGY HOLDINGS, LLC",Re-Enter,Vertical,2024-12-18,2024-12-19
42-033-32744,TAMI JO HILL 31-9 A UNIT L 1H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-12-16,2025-01-16
42-033-32745,TAMI JO HILL 31-9 A UNIT A 1H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-12-16,2025-01-10
42-033-00248,T.L. GRIFFIN 1,"HIGHPEAK ENERGY HOLDINGS, LLC",Re-Enter,Vertical,2024-12-11,2024-12-11
42-033-32748,SHAFER 32-12 B UNIT A 7H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-12-07,2024-12-18
42-033-32746,SHAFER 32-12 B UNIT A 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-12-07,2024-12-10
42-033-32747,SHAFER 32-12 B UNIT L 6H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-12-07,2024-12-10
42-033-32749,SHAFER 32-12 B UNIT L 7H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-12-07,2024-12-10
42-033-32744,TAMI JO HILL 31-9 A UNIT L 1H,"HIGHPEAK ENERGY HOLDINGS, LLC",New Drill,Horizontal,2024-11-26,2024-12-05
