api,well,operator,application_type,drill_type,submitted,approved
42-037-30357,ELLIOTT 1,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2024-10-16,2024-10-24
42-037-30354,BESSIE 2ST,Mertz Energy Texas LLC,Recompletion,Directional,2024-06-26,2024-07-03
42-037-30356,SUMMERS 'A' 2,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2024-05-08,2024-05-16
42-037-30355,SUMMERS 1,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2024-05-08,2024-05-15
42-037-30354,BESSIE 2,Mertz Energy Texas LLC,New Drill,Directional,2024-02-06,2024-02-09
42-037-30353,MCDANIEL 4,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2023-11-22,2023-11-27
42-037-30350,MCDANIEL 2,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2023-11-16,2023-12-04
42-037-30352,GRAY OWL 1,"TV OPERATING, LLC",New Drill,Directional,2023-11-14,2023-12-05
42-037-30351,MCDANIEL 3,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2023-09-14,2023-09-21
42-037-30350,MCDANIEL 2,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2023-07-07,2023-07-11
42-037-30349,MCDANIEL 1,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2023-03-28,2023-04-13
42-037-30348,GOODWIN 2A,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2015-06-23,2015-06-26
42-037-30347,GOODWIN 1,"MACHIN & ASSOCIATES, INC.",New Drill,Vertical,2014-11-04,2014-11-04
42-037-30346,SIMMS-JOHNSON 2,"SDG OPERATING COMPANY, INC",Re-Enter,Vertical,2012-04-24,2012-05-19
42-037-30346,SIMMS-JOHNSON 2,"SDG OPERATING COMPANY, INC",New Drill,Vertical,2012-02-15,2012-02-27
42-037-30345,JACKSON 1,"CARR RESOURCES, INC.",New Drill,Horizontal,2010-10-14,2010-10-22
42-037-30345,JACKSON 1,"CARR RESOURCES, INC.",New Drill,Vertical,2010-10-06,2010-10-08
42-037-30344,JOHNSON 1,SUNRAY OPERATING COMPANY LLC,New Drill,Vertical,2009-12-16,2009-12-17
42-037-30343,"NEWTON, GEORGE 1ST",SUNRAY OPERATING COMPANY LLC,New Drill,Directional,2009-08-26,2009-09-09
