api,well,operator,application_type,drill_type,submitted,approved
42-039-33223,BENNETT ESTATE 21,HG Operating LLC,Recompletion,Vertical,2024-10-07,2024-11-25
42-039-33325,BENNETT ESTATE 24,HG Operating LLC,Recompletion,Vertical,2024-10-07,2024-10-08
42-039-00952,COZBY 1,ELLIOTT OIL & GAS OPERATING CO.,Recompletion,Vertical,2024-08-19,2024-08-20
42-039-31348,E.J. FORCE 1U,"GOLDKING MINERALS MGMT, L.L.C.",Recompletion,Vertical,2024-07-09,2024-08-29
42-039-33379,ONYX 1,"AGERON ENERGY, LLC",New Drill,Vertical,2024-06-10,2024-06-11
42-039-33380,EAST HOGG 1,"SUE-ANN OPERATING, L.C.",New Drill,Directional,2024-05-15,2024-05-23
42-039-33379,ONYX 1,"AGERON ENERGY, LLC",New Drill,Vertical,2024-04-10,2024-04-16
42-039-33365,BM-MOW-1 1,U.S. DEPARTMENT OF ENERGY,New Drill,Directional,2024-04-04,2024-05-24
42-039-00918,"WIETING, A. M. 3","WHITE MARLIN OPERATING CO, LLC",Recompletion,Vertical,2024-03-06,2024-03-12
42-039-32818,BENNETT ESTATE 3,"BXP OPERATING, LLC",Field Transfer,Vertical,2024-02-28,2024-05-02
42-039-33250,DAVID YOUNG 1S,ELLIOTT OIL & GAS OPERATING CO.,Recompletion,Directional,2024-01-19,2024-01-26
42-039-33371,H. BLACKSTONE 1,"CIMARRON ENGINEERING, LLC",Recompletion,Directional,2024-01-05,2024-01-09
42-039-33204,SCOUT 1RE,"ASPECT ENERGY, LLC",Re-Enter,Directional,2023-11-07,2023-12-11
42-039-33378,"ABRAMS, W. H. 143","SUE-ANN OPERATING, L.C.",New Drill,Vertical,2023-09-06,2023-09-07
42-039-33377,CLEMENS SALT DOME 27,CHEVRON PHILLIPS CHEMICAL CO LP,New Drill,Vertical,2023-08-04,2023-08-10
42-039-01449,"WM C CORBETT, JR. 1","MCGOWAN WORKING PARTNERS, INC.",Recompletion,Vertical,2023-04-17,2023-04-21
42-039-33376,"ABRAMS, W. H. 142","SUE-ANN OPERATING, L.C.",New Drill,Vertical,2023-02-06,2023-03-20
42-039-33371,H. BLACKSTONE 1,"CIMARRON ENGINEERING, LLC",New Drill,Directional,2022-12-14,2022-12-20
42-039-32611,"LEMMER, J. 12","DENBURY ONSHORE, LLC",Recompletion,Vertical,2022-10-26,2022-10-31
42-039-33370,AMOCO CHEMICAL COMPANY B 3EP,INEOS USA LLC,New Drill,Vertical,2022-10-25,2022-10-31
42-039-00952,COZBY 1,"XOG RESOURCES, LLC",Recompletion,Vertical,2022-10-05,2022-10-12
42-039-32611,"LEMMER, J. L. 12","DENBURY ONSHORE, LLC",Recompletion,Vertical,2022-09-29,2023-07-19
42-039-33369,SPOHN FOUNDATION 2,"MAGNUM PRODUCING, LP",New Drill,Directional,2022-09-26,2022-09-30
42-039-33204,SCOUT 1RE,"ASPECT ENERGY, LLC",Re-Enter,Directional,2022-07-15,2022-07-22
42-039-33345,DUCROZ 1,"MAGNUM PRODUCING, LP",Recompletion,Vertical,2022-06-30,2022-07-12
42-039-33368,RAMSEY STATE FARM 8A,"CERBERUS ENGINEERING, LLC",New Drill,Vertical,2022-04-15,2022-04-22
42-039-33367,OLD OCEAN UNIT 263,HILCORP ENERGY COMPANY,New Drill,Directional,2022-02-23,2022-02-28
42-039-33366,TWIN PEAKS 1,"KEBO OIL & GAS, INC.",New Drill,Directional,2021-12-09,2021-12-15
42-039-33335,WINSCOTT UNIT 1A,BLUESTEM NATURAL GAS LLC,Recompletion,Directional,2021-11-17,2022-01-11
42-039-32619,"BELCHER, W.T. 'B' 60B","DENBURY ONSHORE, LLC",Recompletion,Directional,2021-11-03,2021-11-15
42-039-32462,"FARMS, I. P. PG 2",ELLIOTT OIL & GAS OPERATING CO.,Recompletion,Vertical,2021-10-26,2021-11-03
42-039-33365,BM-MOW-1 1,U.S. DEPARTMENT OF ENERGY,New Drill,Directional,2021-10-12,2021-10-20
42-039-33204,SCOUT 1RE,"ASPECT ENERGY, LLC",Re-Enter,Directional,2021-09-28,2022-04-04
