api,well,operator,application_type,drill_type,submitted,approved
42-041-32669,LMD WB B 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-06,2024-09-16
42-041-32668,LMD WB A 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-06,2024-09-12
42-041-31556,STASNY 3,OGDEN RESOURCES CORPORATION,Recompletion,Horizontal,2024-07-22,2024-07-25
42-041-32667,MIKULEC WEST UNIT 5H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-06-13,2024-06-18
42-041-31556,STASNY-KROG UNIT 1,OGDEN RESOURCES CORPORATION,Recompletion,Horizontal,2024-05-21,2024-05-30
42-041-31613,ELIZABETH 1,"HOLLEY OIL COMPANY, LLC",Recompletion,Horizontal,2024-04-17,2024-04-26
42-041-32659,SORGHUM 1HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-04-04,2024-05-16
,UNKNOWN 450,"ENTERPRISE FIELD SERVICES, LLC",New Drill,Vertical,2024-02-19,
42-041-32667,MIKULEC WEST UNIT 5H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-11-15,2023-11-17
42-041-32666,LONNIE UNIT 4H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-11-14,2023-11-20
42-041-32655,HONEYDEW 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-10-20,2023-10-23
42-041-32663,OLIVE 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-09-12,2023-09-14
42-041-32665,CLOSS LAND & CATTLE ALLOCATION 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-08-29,2023-09-29
42-041-32662,OLIVE 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-07-25,2023-07-28
42-041-32658,SEAFOAM 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-07-06,2023-07-17
42-041-32664,ALBERT PAYNE UNIT 4H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-06-21,2023-06-23
42-041-32665,CLOSS LAND & CATTLE UNIT 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-06-21,2023-06-23
42-041-32649,URSO 1,"CML EXPLORATION, LLC",New Drill,Horizontal,2023-04-28,2023-05-12
42-041-32647,DUANE UNIT A 1H,APACHE CORPORATION,New Drill,Horizontal,2023-03-27,2023-03-29
42-041-32646,PETERS UNIT A 3H,APACHE CORPORATION,New Drill,Horizontal,2023-03-27,2023-03-29
42-041-32644,PETERS UNIT A 1H,APACHE CORPORATION,New Drill,Horizontal,2023-03-27,2023-03-27
