api,well,operator,application_type,drill_type,submitted,approved
42-049-03186,"MOORE, E. C. 5",REACH OIL,Re-Enter,Vertical,2024-11-18,2024-12-04
42-049-36200,D.V. GOODE 272 4,"CPMAK INVESTMENTS, INC.",New Drill,Vertical,2023-10-11,2023-10-12
42-049-36198,D.V. GOODE 272 5,"CPMAK INVESTMENTS, INC.",New Drill,Vertical,2023-08-09,2023-08-16
42-049-36199,D.V. GOODE 272 6,"CPMAK INVESTMENTS, INC.",New Drill,Vertical,2023-08-09,2023-08-16
42-049-36197,"NEWTON, ROSS 14","XPLORE OPERATING, LLC",New Drill,Vertical,2021-09-22,2021-10-04
42-049-36183,"THOMASON, WORTH 5",LAWRENCE ENERGY COMPANY,New Drill,Vertical,2021-09-03,2021-09-09
42-049-36196,D.V. GOODE 272 1,"CPMAK INVESTMENTS, INC.",New Drill,Vertical,2021-06-18,2021-06-24
42-049-31629,"BOWERS, D.L. 'C' 2C",XHORIZONS ENERGY LLC,Recompletion,Vertical,2021-05-18,2021-05-21
42-049-36194,BLUE 2,"BLUE DIAMOND MOUNTAIN, LLC",New Drill,Vertical,2021-01-26,2021-01-28
42-049-36195,BLUE 3,"BLUE DIAMOND MOUNTAIN, LLC",New Drill,Vertical,2021-01-26,2021-01-28
42-049-36193,BLUE 1,"BLUE DIAMOND MOUNTAIN, LLC",New Drill,Vertical,2021-01-25,2021-01-28
42-049-36192,JONES-BURROUGHS 15B,X STONE ENERGY LLC.,New Drill,Vertical,2020-11-09,2020-11-16
42-049-36189,JONES & BURROUGHS 5,X STONE ENERGY LLC.,New Drill,Vertical,2020-11-06,2020-11-12
42-049-36190,JONES & BURROUGHS 1AA,X STONE ENERGY LLC.,New Drill,Vertical,2020-11-06,2020-11-12
42-049-36188,MCCLURE 2,AMES OIL,New Drill,Vertical,2020-08-18,2020-08-25
42-049-36187,MCCLURE 1,AMES OIL,New Drill,Vertical,2020-04-03,2020-04-06
42-049-36186,JONES-BURROUGHS 12B,X STONE ENERGY LLC.,New Drill,Vertical,2020-03-30,2020-03-31
42-049-36185,JONES-BURROUGHS 11B,X STONE ENERGY LLC.,New Drill,Vertical,2020-03-26,2020-03-27
42-049-36184,JONES & BURROUGHS 7B,X STONE ENERGY LLC.,New Drill,Vertical,2020-03-24,2020-03-25
42-049-36183,"THOMASON, WORTH 5",LAWRENCE ENERGY COMPANY,New Drill,Vertical,2019-08-05,2019-08-05
42-049-36182,"THOMASON, WORTH 4",LAWRENCE ENERGY COMPANY,New Drill,Vertical,2019-07-30,2019-07-30
42-049-36181,BC 10 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2019-04-04,2019-04-12
42-049-36179,GREGORY B NORTH 3,DAVCO OIL LLC,New Drill,Vertical,2019-01-14,2019-01-17
42-049-34376,GROOMS 13,SUB SURFACE OPERATIONS,Reclass,Vertical,2017-11-20,2017-12-14
42-049-31070,PITCOCK CATTLE CO 'B' 3,"PITCOCK, INC.",Recompletion,Vertical,2017-11-07,2017-11-15
42-049-36178,LOW ESTATE 1,AMES OIL,New Drill,Vertical,2017-01-27,2017-02-08
42-049-35409,LUCAS 1,DOC OIL,Field Transfer,Vertical,2016-08-09,2016-09-06
42-049-36041,AZTEC M 6,"ZIEGLER-PERU, INC.",New Drill,Vertical,2016-06-09,2016-06-28
42-049-36089,REEVES 'A' 3,SAPHIRE ENERGY,New Drill,Vertical,2016-05-17,2016-05-18
42-049-36177,COLE 2,"BULLET DEVELOPMENT, LLC",New Drill,Vertical,2015-12-28,2015-12-29
42-049-36176,GERALD L. CALLAWAY 8,LAWRENCE ENERGY COMPANY,New Drill,Vertical,2015-11-03,2015-11-09
42-049-32919,YORK 8,"CREEK ENERGY, INC.",Recompletion,Vertical,2015-09-21,2015-09-28
42-049-32838,YORK 7,"CREEK ENERGY, INC.",Recompletion,Vertical,2015-08-20,2015-09-01
42-049-00078,YORK 12,"CREEK ENERGY, INC.",Recompletion,Vertical,2015-08-20,2015-09-01
42-049-36175,HICKMAN 3,AMES OIL,New Drill,Vertical,2015-07-08,2015-07-13
