api,well,operator,application_type,drill_type,submitted,approved
42-051-34405,C.L. ANDERSON B 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-12-18,2024-12-18
,BCS 5,PHILLIPS 66 COMPANY,New Drill,Vertical,2024-10-03,
42-051-34401,CORBIN HCX1 2HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-24,2024-11-04
42-051-34402,TUCKER 1HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-24,2024-11-04
42-051-34404,TUCKER HCX1 2HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-24,2024-11-04
42-051-34403,CORBIN HCX2 3HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-24,2024-10-25
42-051-34398,SULLY ALLOC. 1HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-16,2024-09-23
42-051-34399,SULLY UNIT 2HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-16,2024-09-19
42-051-34400,HARLEY UNIT 1HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-16,2024-09-19
42-051-34396,ROSS 1HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-10,2024-09-11
42-051-34397,RILEY 1HE,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-09-10,2024-09-11
42-051-31060,CHARANZA 1 C,OGDEN RESOURCES CORPORATION,Reclass,Vertical,2024-08-22,
42-051-34394,HOLLIDAY HCX6 A 6H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-12,2024-07-23
42-051-34395,NOVOSAD HCX1 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-07-12,2024-07-23
42-051-34385,DUSK 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-05-21,2024-07-01
42-051-31060,CHARANZA 1 C,OGDEN RESOURCES CORPORATION,Reclass,Vertical,2024-03-14,2024-09-11
42-051-34393,JACKSON 2H,"SBJ ENERGY PARTNERS, L.L.C.",New Drill,Horizontal,2024-02-29,2024-03-12
,HORAK B 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-02-26,
42-051-34368,BLACK 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-02-13,2024-03-20
42-051-34369,BLACK ALLOCATION 2H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2024-02-09,2024-03-25
42-051-34388,HORAK B 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-12-01,2024-01-08
42-051-34386,GUNSMITH ALLOC. 1H,WILDFIRE ENERGY OPERATING LLC,New Drill,Horizontal,2023-12-01,2023-12-27
