api,well,operator,application_type,drill_type,submitted,approved
42-055-34982,WEBB OIL UNIT III 2,Lodel Energy Resources Corporation,Recompletion,Vertical,2025-01-14,
42-055-35197,"TRAMMELL, H. S. 5H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-11-25,2024-12-03
42-055-35198,"PROCTOR , G.W. 5H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-11-25,2024-11-26
42-055-35195,BYRD 1H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-10-29,2024-11-14
42-055-34793,"MERCER, ALF 3H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2024-10-29,2024-11-01
42-055-35196,E.J. HARDEMAN HEIRS 1H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-10-29,2024-10-30
42-055-35194,"MERCER, MILLS 3H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-10-22,2024-10-24
42-055-35193,"BRANYON, W. 1H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-10-01,2024-10-02
42-055-80086,SECRETARIAT 2SW,MILLENNIUM EXPLORATION CO. LLC,Re-Enter,Vertical,2024-08-05,2024-08-06
42-055-35189,SECRETARIAT 1H,MILLENNIUM EXPLORATION CO. LLC,New Drill,Horizontal,2024-07-31,2024-08-01
42-055-35181,"STAIR, O.F. 6H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-07-30,2024-07-31
42-055-35192,MERCER 8H UNIT 8H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-07-29,2024-08-01
42-055-35191,F.M. & W.M. MERCER A 2H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-07-29,2024-07-31
42-055-35190,"MERCER, ALF 5H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2024-07-24,2024-07-29
42-055-35189,SECRETARIAT 1H,MILLENNIUM EXPLORATION CO. LLC,New Drill,Horizontal,2024-07-02,2024-07-10
42-055-35188,WEBB OIL UNIT III 8H,Lodel Energy Resources Corporation,New Drill,Horizontal,2024-04-05,2024-04-16
42-055-33207,METCALFE OIL UNIT 4,"CAVALIER OIL & GAS, INC.",Re-Enter,Vertical,2024-03-19,2024-03-25
42-055-35187,"DICKERSON, CLAUDE 2B",SGB OIL LLC,New Drill,Vertical,2024-01-19,2024-01-25
42-055-33467,METCALFE OIL UNIT 3,"CAVALIER OIL & GAS, INC.",Re-Enter,Vertical,2023-12-08,2024-01-05
42-055-02551,S.M. BLACKWELL 4,BASTROP ENERGY GROUP,Recompletion,Vertical,2023-11-12,2023-12-13
42-055-35185,CATHODIC - ACORN RD 1CP,"FLINT HILLS RESOURCES, LC",New Drill,Vertical,2023-10-12,2023-11-02
42-055-35184,WEIGAND 4,FLAMINGO OIL & GAS,New Drill,Vertical,2023-09-19,2023-09-22
42-055-35183,"PROCTOR, G.W. 32D",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Vertical,2023-09-06,2023-09-07
42-055-35183,"PROCTOR, G.W. 32D",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Vertical,2023-08-04,2023-08-08
42-055-35180,"TILLER, DORSET & W.J. 4H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2023-06-21,2023-06-29
42-055-35182,"HARDEMAN, E.J. 5H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2023-06-08,2023-06-16
42-055-35186,PHP LOCKHART CS 1,KINDER MORGAN TEXAS PIPELINE LLC,New Drill,Vertical,2023-05-30,2023-11-07
42-055-35181,"STAIR, O.F. 6H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2023-03-07,2023-03-10
42-055-35180,"TILLER, DORSET & W.J. 4H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2023-02-09,2023-03-23
42-055-35179,"MERCER, F.M. & W.M. 1H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2023-01-23,2023-01-31
42-055-35178,"MERCER, MATTIE 3H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2023-01-19,2023-01-27
42-055-35176,"BRISCOE, TRAP -A- 100 ACRES 1B","LEFT BEHIND RECOVERY, LLC",New Drill,Vertical,2022-12-21,2022-12-27
42-055-35177,MERCER 7H UNIT 7H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-12-20,2023-01-05
42-055-35175,"TABOR, W.H. 16H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-12-13,2023-01-06
42-055-35174,"TRAMMELL, H.S. 4H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-12-12,2022-12-22
42-055-34817,"MOORE, MAGGIE 8H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2022-11-01,2022-11-08
42-055-35173,CABE 1MT,"CALISTOGA ENERGY RESERVES, LLC",New Drill,Vertical,2022-09-07,2022-09-15
42-055-35171,BLITCH 1,"FORZA OPERATING, LLC",New Drill,Vertical,2022-03-17,2022-03-22
42-055-35167,"MERCER, ALF 4H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-03-16,2022-03-18
42-055-35170,"STAIR, O.F. 5H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-02-01,2022-02-08
42-055-35169,"MOORE, MAGGIE 9H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-01-25,2022-02-01
42-055-35168,MERCER 5H UNIT 5H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-01-24,2022-02-16
42-055-35167,"MERCER, ALF 4H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-01-13,2022-01-26
42-055-35165,"TABOR, W.H. 14H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-01-11,2022-01-21
42-055-35166,"TABOR, W.H. 15H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2022-01-11,2022-01-21
42-055-35164,METCALFE OIL UNIT 1A,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2021-10-15,2021-10-21
42-055-35163,METCALFE OIL UNIT 2,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2021-09-22,2021-09-28
42-055-35162,METCALFE OIL UNIT 1,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2021-09-20,2021-09-23
42-055-34980,CLARK-BOWER OIL UNIT 4,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2021-08-23,2021-08-31
42-055-35159,LULING FOUNDATION 1,BASTROP ENERGY GROUP,New Drill,Vertical,2021-07-06,2021-07-09
42-055-35160,LG 1,"CALISTOGA ENERGY RESERVES, LLC",New Drill,Vertical,2021-06-28,2022-06-16
42-055-34780,"MOORE, MAGGIE 7H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2021-02-11,2021-02-16
42-055-34660,"PROCTOR, G. W. 1H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2021-02-09,2021-02-12
42-055-35158,"PRATT, R. T. -A- 8A",INTER GLOBAL TEXAS OIL & GAS LLC,New Drill,Vertical,2021-01-25,2021-01-28
42-055-34782,"MERCER, W.F. 1H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2021-01-07,2021-01-13
42-055-35156,LUND 1A,"RBR OPERATING, INC.",New Drill,Vertical,2020-02-19,2020-02-21
42-055-35104,"GIDEON, T.C. 2H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2020-02-17,2020-02-20
42-055-34817,"MOORE, MAGGIE 8H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2020-01-13,2020-01-21
42-055-34813,"TABOR, W.H. 7H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2019-12-19,2019-12-30
42-055-34650,"TABOR, W.H. 4ST",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2019-12-19,2019-12-30
42-055-34665,"PROCTOR, G.W. 2H",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2019-12-11,2020-01-08
42-055-35155,MERCER 4H UNIT 4H,TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2019-11-13,2019-11-20
42-055-34922,D.G. TILLER 2,REO OPERATING LLC,Recompletion,Vertical,2019-11-07,2019-11-20
42-055-35154,"MERCER, MATTIE 2H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2019-11-04,2019-11-13
42-055-35152,"TABOR, W.H. 13H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2019-11-01,2019-11-06
42-055-35153,"HARDEMAN, E.J. 4H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2019-11-01,2019-11-05
42-055-30874,"TABOR, W. H. 64",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Vertical,2019-08-19,2019-08-26
42-055-35106,MERCER 3H UNIT 3ST,TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2019-06-28,2019-07-02
42-055-34707,MERRIWEATHER 1ST,TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2019-01-17,2019-01-18
42-055-35151,"MERCER, MATTIE 1H",TEXAS PETROLEUM INVESTMENT CO.,New Drill,Horizontal,2019-01-16,2019-02-01
42-055-35150,LUND 1,"RBR OPERATING, INC.",New Drill,Vertical,2019-01-09,2019-01-10
42-055-34498,"TABOR, W.H. 1ST",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2018-12-21,2019-01-02
42-055-34831,"TABOR, W.H. 11ST",TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2018-12-17,2018-12-18
42-055-35106,MERCER 3H UNIT 3ST,TEXAS PETROLEUM INVESTMENT CO.,Recompletion,Horizontal,2018-12-11,2018-12-14
42-055-31475,"TABOR, W.H. 65",TEXAS PETROLEUM INVESTMENT CO.,Reclass,Vertical,2018-10-17,2018-10-22
42-055-35139,MOSES-WATSON 3H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-07-19,2018-07-24
42-055-35148,DAVIS B - WILSON 6H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-07-11,2018-07-12
42-055-35138,CONLEY HICKMAN 3H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-07-11,2018-07-12
42-055-35149,"FISCHER, M. F. 1GL","CALISTOGA ENERGY RESERVES, LLC",New Drill,Vertical,2018-06-29,2018-07-17
42-055-35147,"BARBER, S. L. LOVELL 1RL","CALISTOGA ENERGY RESERVES, LLC",New Drill,Vertical,2018-06-29,2018-07-10
42-055-35145,DAVIS B - WILSON 5H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-06-27,2018-06-27
42-055-35042,RODENBERG 7,B & S OPERATING COMPANY LLC,Recompletion,Horizontal,2018-06-25,2018-06-29
42-055-35127,BRISCOE DICKERSON 3H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-06-14,2018-06-15
42-055-35145,DAVIS B - WILSON 5H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-06-08,2018-06-08
42-055-35146,CORA MALONE 4H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-06-06,2018-06-13
42-055-35142,WEBB OIL UNIT III 5,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2018-06-04,2018-06-05
42-055-35141,WEBB OIL UNIT III 4,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2018-06-04,2018-06-04
42-055-35143,WEBB OIL UNIT III 6,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2018-06-04,2018-06-04
42-055-35144,WEBB OIL UNIT III 7,"BENCHMARK TEXAS PETROLEUM, LLC.",New Drill,Vertical,2018-06-04,2018-06-04
42-055-35028,WEBB OIL UNIT III 1,"BENCHMARK TEXAS PETROLEUM, LLC.",Recompletion,Vertical,2018-06-01,2018-06-04
42-055-35140,FLOYD TILLER 15H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-05-23,2018-06-08
42-055-35139,MOSES-WATSON 3H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-05-22,2018-05-25
42-055-35138,CONLEY HICKMAN 3H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-05-18,2018-05-21
42-055-35126,MARY B. JOHNSON 8H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-05-15,2018-05-16
42-055-35134,FLOYD TILLER 11H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-24,2018-04-30
42-055-35135,FLOYD TILLER 12H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-24,2018-04-30
42-055-35136,FLOYD TILLER 13H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-24,2018-04-30
42-055-35137,FLOYD TILLER 14H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-24,2018-04-27
42-055-35133,FLOYD TILLER 10H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-19,2018-04-24
42-055-35131,SMITH NORTHCUTT 5H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-18,2018-04-24
42-055-35130,SMITH NORTHCUTT 4H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-13,2018-04-24
42-055-35132,CARTER UNIT 10H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-11,2018-04-23
42-055-35129,TILLER BRISCOE 'D' 10H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-09,2018-04-20
42-055-35128,W. H. NEW 4H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-03,2018-04-20
42-055-35126,MARY B. JOHNSON 8H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-03,2018-04-09
42-055-35125,R. W. CARTER 7BH,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-03,2018-04-06
42-055-35127,BRISCOE DICKERSON 3H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-04-02,2018-04-10
42-055-35120,J. B. NORTHCUTT 6H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-03-21,2018-03-23
42-055-35123,CARTER UNIT 8H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-03-20,2018-12-31
42-055-35124,CARTER UNIT 9H,"NORTH SOUTH OIL, LLC",New Drill,Horizontal,2018-03-20,2018-12-31
42-055-35027,J. B. NORTHCUTT 4ST,"NORTH SOUTH OIL, LLC",Recompletion,Horizontal,2018-03-20,2018-03-23
