api,well,operator,application_type,drill_type,submitted,approved
42-059-37199,WYLIE L K 8,"HASKIT, KENDALL",New Drill,Vertical,2025-01-07,2025-01-10
42-059-37198,"WILLIAMS, R. D. 10","HASKIT, KENDALL",New Drill,Vertical,2024-10-24,2024-11-04
42-059-37196,ETC404 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2024-06-12,2024-06-20
42-059-37197,ETC405 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2024-06-12,2024-06-20
,SNYDER-SEALS 38,M & K OPERATING LLC,New Drill,Vertical,2024-06-12,
42-059-37194,HARKINS 1,"GEOSURVEYS, INC.",New Drill,Vertical,2024-06-04,2024-06-07
42-059-37193,ANITA 1,"TEAL EXPLORATION, LLC",New Drill,Vertical,2023-12-04,2023-12-13
42-059-37029,MASK 20,"SANDSTONE SERVICES, LLC",New Drill,Vertical,2023-02-14,2023-02-21
42-059-37192,JC NOLAN MP 165.9 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2023-01-20,2023-01-26
42-059-37142,BRAND 1,"S.B. STREET OPERATING, INC.",Recompletion,Vertical,2023-01-05,2023-01-09
42-059-36956,WINDHAM '22' 6,TRACKER MINERAL,Recompletion,Vertical,2022-06-07,2022-06-14
42-059-37191,NT-232 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2022-05-04,2022-05-10
42-059-37190,SUN09-WTG377 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2022-04-18,2022-04-26
42-059-37189,WINDHAM 144 2,"HESS, JERRY OPERATING CO.",New Drill,Vertical,2022-03-03,2022-03-10
42-059-37187,JC NOLAN MP 151.9 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2022-02-24,2022-03-03
42-059-37188,JC NOLAN MP 149.3 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2022-02-24,2022-03-03
42-059-37186,BETCHER 1,"WINDOW OPERATING CO., THE",New Drill,Vertical,2021-10-06,2021-10-13
42-059-37184,MCWHORTER 10,"KOKOMO ENERGY, INC.",New Drill,Vertical,2021-09-13,2021-09-15
42-059-37185,MORRISSETT 'A' 3,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-09-09,2021-09-14
42-059-37184,MCWHORTER 10,"KOKOMO ENERGY, INC.",New Drill,Vertical,2021-08-23,2021-08-31
42-059-37179,MORRISSETT 'A' 3,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-08-05,2021-08-06
42-059-37183,CH-187 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2021-07-26,2021-08-09
42-059-37182,CH-194 1,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2021-07-26,2021-08-03
42-059-37179,MORRISSETT 'A' 3,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-07-06,2021-07-09
42-059-37180,MORRISSETT 'A' 7,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-07-06,2021-07-09
42-059-37181,MORRISSETT 'A' 8,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2021-07-06,2021-07-09
42-059-37157,FCB UNIT 1,"S.B. STREET OPERATING, INC.",New Drill,Vertical,2021-06-17,2021-06-21
42-059-37178,WYLIE 'ED' K 7,"HASKIT, KENDALL",New Drill,Vertical,2021-05-20,2021-05-26
42-059-37177,FINLEY 74 UNIT 1,"OILWELL TECH & ENHANCEMENT, CO.",New Drill,Vertical,2021-05-18,2021-05-25
42-059-37177,FINLEY 74 UNIT 1,"OILWELL TECH & ENHANCEMENT, CO.",New Drill,Vertical,2021-05-07,2021-05-14
42-059-37175,BULLOCK 1A,"SMITH, J. BASSETT",New Drill,Vertical,2021-04-07,2021-04-16
42-059-37176,BULLOCK 2A,"SMITH, J. BASSETT",New Drill,Vertical,2021-04-07,2021-04-12
42-059-37173,MCWHORTER 9,"KOKOMO ENERGY, INC.",New Drill,Vertical,2021-02-22,2021-03-01
42-059-37174,MLV-16-2 2,ENERGY TRANSFER COMPANY,New Drill,Vertical,2021-02-02,2021-03-10
42-059-37158,LOWELL JOHNSON 3,"MOMENTUM OPERATING CO., INC.",New Drill,Vertical,2021-01-20,2021-01-26
42-059-37172,BRAND 3,"S.B. STREET OPERATING, INC.",New Drill,Vertical,2021-01-12,2021-01-19
42-059-37171,FINLEY 74 1H,"OILWELL TECH & ENHANCEMENT, CO.",New Drill,Horizontal,2020-12-30,2021-01-07
42-059-37171,FINLEY 74 1H,"OILWELL TECH & ENHANCEMENT, CO.",New Drill,Horizontal,2020-12-07,2020-12-21
42-059-37170,WINONA 1,"SANDSTONE SERVICES, LLC",New Drill,Vertical,2020-12-02,2020-12-07
42-059-37168,FINLEY 74 D 1,"OILWELL TECH & ENHANCEMENT, CO.",New Drill,Vertical,2020-11-30,2020-12-03
42-059-37169,BAIRD STATION 01,"MAGELLAN OPERATING COMPANY, LLC",New Drill,Vertical,2020-11-17,2020-12-03
42-059-37167,NCTAGPD-MAG11 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2020-11-10,2020-11-30
42-059-37166,MLV-16 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2020-11-09,2020-11-13
