api,well,operator,application_type,drill_type,submitted,approved
42-065-00161,"THOMPSON, ESTATE 2",PANTERA ENERGY COMPANY,Reclass,Vertical,2022-11-15,2022-12-08
42-065-02182,FEE -244- 37W,LARGE OPERATING LLC,Reclass,Vertical,2022-08-17,2022-08-29
42-065-02184,FEE -244- 39W,LARGE OPERATING LLC,Reclass,Vertical,2022-08-17,2022-08-29
42-065-32197,BURNETT 40B,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Horizontal,2022-05-04,2022-05-12
42-065-32187,BURNETT 65C,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Horizontal,2022-02-03,2022-02-10
42-065-32189,BURNETT 62D,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Horizontal,2022-02-02,2022-02-25
42-065-32199,BURNETT 29B,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Horizontal,2021-11-18,2022-01-12
42-065-32197,BURNETT 40B,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Horizontal,2021-10-20,2021-11-17
42-065-32194,BURNETT ST 33D,SCOUT ENERGY MANAGEMENT LLC,Recompletion,Horizontal,2021-10-08,2021-10-19
42-065-30867,SANFORD 6C,BAR L PRODUCERS,Recompletion,Vertical,2020-12-10,2020-12-18
42-065-00877,SANFORD 1A,BAR L PRODUCERS,Recompletion,Vertical,2020-12-10,2020-12-18
42-065-00865,SANFORD 1,BAR L PRODUCERS,Recompletion,Vertical,2020-12-10,2020-12-18
42-065-32194,BURNETT 33D,SCOUT ENERGY MANAGEMENT LLC,New Drill,Horizontal,2019-09-30,2019-10-14
42-065-32197,BURNETT 40B,SCOUT ENERGY MANAGEMENT LLC,New Drill,Horizontal,2019-08-23,2019-09-03
42-065-31528,EAKIN 'A' 1,SCOUT ENERGY MANAGEMENT LLC,Field Transfer,Vertical,2019-07-01,2019-07-01
42-065-30725,COBB 'A' 9,"RED LINE COMPANY, LTD.",Recompletion,Vertical,2019-06-13,2019-06-18
42-065-32199,BURNETT 29B,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2019-02-08,2019-02-11
42-065-32198,BURNETT 97D,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2019-02-06,2019-02-08
42-065-32192,BURNETT 26C,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2019-02-04,2019-02-06
42-065-32194,BURNETT 33D,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2019-02-04,2019-02-05
42-065-32197,BURNETT 40B,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2019-02-01,2019-02-04
42-065-32196,BURNETT 66A,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-08-25,2017-08-31
42-065-32193,BURNETT 55A,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-08-25,2017-08-30
42-065-32194,BURNETT 33D,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-08-24,2017-08-31
42-065-32192,BURNETT 26C,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-08-24,2017-08-30
42-065-32195,BURNETT 46C,SCOUT ENERGY MANAGEMENT LLC,New Drill,Vertical,2017-08-24,2017-08-30
