api,well,operator,application_type,drill_type,submitted,approved
42-067-30885,LIPPE 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2025-01-17,
42-067-30962,JENA 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2025-01-10,2025-01-14
42-067-30958,WALNUT 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-12-02,
42-067-30961,NELSON 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-10-16,2024-11-26
42-067-30961,NELSON 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-10-10,2024-10-16
42-067-30960,MARSH 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-10-09,2025-01-06
42-067-30959,GMFB 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-10-07,2024-11-04
42-067-30960,MARSH 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-10-07,2024-10-08
42-067-30958,WALNUT 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-10-03,2024-11-14
42-067-30958,WALNUT 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-09-30,2024-10-01
42-067-30959,GMFB 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-09-26,2024-10-04
42-067-30957,HARPER 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-09-06,2025-01-16
42-067-30956,ROUNTREE 1,"ROSE CITY RESOURCES, LLC",New Drill,Vertical,2024-08-23,2024-08-26
42-067-30949,LOCKETT 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-08-05,2025-01-16
42-067-30919,B.B. KING 1,"LONGFELLOW ENERGY, LP",New Drill,Vertical,2024-07-31,2024-08-01
42-067-30955,ADAMS 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-30,2024-09-30
42-067-30955,ADAMS 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-19,2024-07-26
42-067-30953,LINDEN 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-18,2024-09-04
42-067-30914,MILTON 1H,"ROSE CITY RESOURCES, LLC",New Drill,Horizontal,2024-07-09,2024-08-27
