api,well,operator,application_type,drill_type,submitted,approved
42-087-30261,TP 28D 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2019-06-04,2019-06-13
42-087-30258,LAYCOCK 12,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2013-08-27,2013-09-04
42-087-30259,SMITH 12,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2013-08-27,2013-09-04
42-087-30260,SMITH 13,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2013-08-27,2013-09-04
42-087-30253,YATES 4,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2013-08-26,2013-09-03
42-087-30257,BELL C 10,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2013-08-26,2013-09-03
42-087-30254,BELL C 9,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2012-08-05,2012-08-24
42-087-30255,LEE 12,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2012-08-05,2012-08-24
42-087-30252,LAYCOCK 11,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2012-08-05,2012-08-24
42-087-30256,SMITH 11,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2012-08-04,2012-08-24
42-087-30253,YATES 4,"FAIRWAY LINKS ENERGY, INC.",New Drill,Vertical,2012-08-04,2012-08-24
42-087-30251,LAYCOCK 19,CIMAREX ENERGY CO. OF COLORADO,New Drill,Vertical,2007-03-09,2007-03-16
42-087-30234,MARTINEZ 1,"TEXOMA OIL TOOLS, INC.",Re-Enter,Vertical,2002-05-28,2002-06-03
42-087-30247,BRASHEARS 2,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-27,1999-10-28
42-087-30248,"KNOLL ""B"" 2",GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-27,1999-10-28
42-087-30249,COLLINS 2,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-27,1999-10-28
42-087-30250,NEELY 4,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-27,1999-10-27
42-087-30242,LAYCOCK A 11,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-08,1999-10-28
42-087-30243,LAYCOCK A 10,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-08,1999-10-28
42-087-30246,BURROUGHS 2,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-08,1999-10-12
42-087-30244,MCDOWELL 25,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-08,1999-10-11
42-087-30245,LAYCOCK 19,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1999-10-08,1999-10-11
42-087-30241,WISCHKAEMPER -B- 2,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-11-12,1998-11-12
42-087-30239,MCDOWELL 18,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-10-16,1998-10-16
42-087-30240,MCDOWELL 22,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-10-16,1998-10-16
42-087-30238,MCDOWELL 21,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-09-02,1998-09-02
42-087-30237,MCDOWELL 23,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-09-02,1998-09-02
42-087-30236,MCDOWELL 24,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-08-31,1998-08-31
42-087-30235,MCDOWELL 20,GRUY PETROLEUM MANAGEMENT CO.,New Drill,Vertical,1998-08-31,1998-08-31
42-087-00158,WATTENBARGER -A- 3,GRUY PETROLEUM MANAGEMENT CO.,Reclass,Vertical,1998-01-14,1998-01-14
42-087-30234,MARTINEZ 1,OIL CREEK PRODUCTION CO. INC.,New Drill,Vertical,1995-05-17,1995-05-17
42-087-30234,MARTINEZ 1,OIL CREEK PRODUCTION CO. INC.,New Drill,Vertical,1995-04-20,1995-04-27
42-087-30233,CATHODIC PROTECTION SITE 1,MERIDIAN OIL PRODUCTION INC.,New Drill,Vertical,1992-11-13,1992-11-13
42-087-30231,CPS-320 320,MERIDIAN OIL INC.,New Drill,Vertical,1992-01-30,1992-01-30
42-087-30232,CPS-1390 1390,MERIDIAN OIL INC.,New Drill,Vertical,1992-01-30,1992-01-30
42-087-30230,LUTES C 1,"HOUTCHENS, D. D.",New Drill,Vertical,1991-04-03,1991-04-12
42-087-30229,"WEST, W. 1A",A J PETROLEUM CORPORATION,New Drill,Vertical,1989-06-02,1989-06-15
42-087-30228,"WEST, W. 1",A J PETROLEUM CORPORATION,New Drill,Vertical,1989-05-01,1989-05-05
42-087-30227,KNOLL 2A,MERIDIAN OIL INC.,New Drill,Vertical,1987-07-28,1987-07-28
42-087-30224,MCDOWELL 15,MERIDIAN OIL INC.,New Drill,Vertical,1987-07-16,1987-07-16
42-087-30226,MCDOWELL 16,MERIDIAN OIL INC.,New Drill,Vertical,1987-07-16,1987-07-16
42-087-30225,MCDOWELL 17,MERIDIAN OIL INC.,New Drill,Vertical,1987-07-16,1987-07-16
42-087-30223,MARTENIZ 1,"GRIMM, JACK F.",New Drill,Vertical,1984-09-12,1984-09-14
42-087-30222,SESCO C-1,PANHANDLE DRILLING COMPANY,New Drill,Vertical,1984-05-04,1984-05-07
42-087-30220,COLEMAN 3,WHEELER OIL CO. (A),New Drill,Vertical,1983-10-12,1983-10-18
42-087-30219,"GILL, KEN 1","CANYON RESOURCES, INC",New Drill,Vertical,1983-09-16,1983-09-16
42-087-30218,MCDOWELL HEIRS 1,"CANYON RESOURCES, INC",New Drill,Vertical,1983-08-05,1983-08-15
42-087-80544,"GILL, KEN 1","CANYON RESOURCES, INC",Other,Vertical,1983-07-08,1983-07-08
42-087-30217,"HAWKINS, W. G. 1A","COPET, INC.",New Drill,Vertical,1983-06-24,1983-06-24
42-087-30213,TAYLOR 2,"CANYON RESOURCES, INC",New Drill,Vertical,1983-04-11,1983-04-11
42-087-30212,COLEMAN 2,WHEELER OIL CO. (A),New Drill,Vertical,1983-03-17,1983-03-17
42-087-30214,POWELL 3,WHEELER OIL CO. (A),New Drill,Vertical,1983-03-17,1983-03-17
42-087-30215,BRUTON 1,WHEELER OIL CO. (A),New Drill,Vertical,1983-03-17,1983-03-17
42-087-30216,TAYLOR 1,"CANYON RESOURCES, INC",New Drill,Vertical,1983-03-17,1983-03-17
42-087-30211,HILL 1,"D & B PETROLEUM, INC",New Drill,Vertical,1983-02-02,1983-02-02
42-087-30210,"OLDHAM, G. A. 1",B & L EXPLORATION COMPANY,New Drill,Vertical,1982-12-31,1982-12-31
42-087-30209,NETTIE FAYE 1,"D & B PETROLEUM, INC",New Drill,Vertical,1982-12-23,1982-12-23
42-087-30208,PAL 1,"D & B PETROLEUM, INC",New Drill,Vertical,1982-12-22,1982-12-22
42-087-30207,JESSIE B 1,"WELLINGTON OIL & EXPLORATION,INC",New Drill,Vertical,1982-12-15,1982-12-15
