api,well,operator,application_type,drill_type,submitted,approved
42-093-31610,JONES 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2022-10-05,2022-10-12
42-093-31609,SUN10-BC12 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2022-05-09,2022-05-16
42-093-31608,DELEON STATION 01,"MAGELLAN OPERATING COMPANY, LLC",New Drill,Vertical,2020-11-17,2020-12-04
42-093-31585,SOLOMON 4,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2020-07-28,2020-07-29
42-093-31596,PRATER UNIT 1,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2019-09-24,2019-09-27
42-093-31600,PRATER UNIT 2,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2019-09-24,2019-09-27
42-093-31606,CARROLL 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2018-08-16,2018-08-17
42-093-31605,SORRELLS UNIT 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2018-08-08,2018-08-08
42-093-31604,"RAY, NORMAN 9",ALLEN PHILLIPS DRILLING CO.,New Drill,Vertical,2018-05-22,2018-05-23
42-093-31603,"RAY, NORMAN 8",ALLEN PHILLIPS DRILLING CO.,New Drill,Vertical,2018-04-16,2018-04-20
42-093-31602,"RAY, NORMAN 7",ALLEN PHILLIPS DRILLING CO.,New Drill,Vertical,2018-03-14,2018-03-14
42-093-31601,STEPHENS 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2018-03-09,2018-03-09
42-093-31600,PRATER UNIT 2,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2018-03-06,2018-03-06
42-093-31599,"RAY, NORMAN 6",ALLEN PHILLIPS DRILLING CO.,New Drill,Vertical,2017-08-25,2017-08-30
42-093-31598,SOLOMON 1 A,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2017-04-24,2017-05-04
42-093-31558,GOLDEN 1,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2016-10-04,2016-10-17
42-093-31596,PRATER UNIT 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2016-09-28,2016-10-13
42-093-31566,BARRICK UNIT 1,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2016-07-01,2016-07-07
42-093-31595,POYNER UNIT 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2016-02-02,2016-02-08
42-093-31594,"RAY, NORMAN 5",ALLEN PHILLIPS DRILLING CO.,New Drill,Vertical,2015-12-11,2015-12-16
42-093-31554,JORDYN BAILEE 3,"HALE DRILLING & PRODUCTION, INC",Re-Enter,Vertical,2015-10-29,2015-11-06
42-093-31580,SOLOMON 2,"ARNOT OIL COMPANY, LLC",Field Transfer,Vertical,2015-08-26,2015-09-04
42-093-31579,FAGAN UNIT 1,"ARNOT OIL COMPANY, LLC",Field Transfer,Vertical,2015-08-26,2015-09-04
