api,well,operator,application_type,drill_type,submitted,approved
42-095-32470,"LIGHTSEY, EARL 4",BIG RUN PRODUCTION COMPANY,New Drill,Vertical,2024-10-14,2024-11-25
42-095-32469,CONCHO 1CP,"WWM OPERATING, LLC",New Drill,Vertical,2024-10-09,2024-10-22
42-095-32468,K-P 4,"HW OPERATING, LLC",New Drill,Vertical,2023-09-12,2023-09-18
42-095-32467,WEISHUHN 1,"HENDERSON NATURAL RES, L.L.C.",New Drill,Vertical,2022-12-28,2023-01-04
42-095-32466,K-P 3,"HW OPERATING, LLC",New Drill,Vertical,2022-10-20,2022-10-25
42-095-32439,CHICO 1,"HW OPERATING, LLC",Reclass,Vertical,2022-06-14,2022-06-22
42-095-32464,CHICO 7,"HW OPERATING, LLC",New Drill,Vertical,2022-05-25,2022-06-03
42-095-32463,JEFFCOAT 2,BOWERMAN INVESTMENTS INC.,New Drill,Vertical,2022-05-09,2022-05-16
42-095-32462,PFLUGER 1,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2021-10-12,2021-10-19
42-095-32461,STONE 1,BOWERMAN INVESTMENTS INC.,New Drill,Vertical,2021-04-12,2021-04-15
42-095-32460,K-P 2,"HW OPERATING, LLC",New Drill,Vertical,2021-02-05,2021-02-12
42-095-32459,LOCKETT 1,BOWERMAN INVESTMENTS INC.,New Drill,Vertical,2020-11-18,2020-11-20
42-095-32458,K-P 1,"HW OPERATING, LLC",New Drill,Vertical,2020-09-25,2020-09-28
42-095-32457,JEFFCOAT 1,BOWERMAN INVESTMENTS INC.,New Drill,Vertical,2020-05-28,2020-06-02
42-095-32456,MLV 2700 06,M2E3 LLC,New Drill,Vertical,2020-04-01,2020-04-14
42-095-32455,PFLUGER 'A' 2,W.R. GUFFEY LLC,New Drill,Vertical,2019-10-24,2019-10-30
42-095-32454,CHICO NORTH 6,"HW OPERATING, LLC",New Drill,Vertical,2019-09-23,2019-09-24
42-095-32454,CHICO NORTH 6,"HW OPERATING, LLC",New Drill,Vertical,2019-09-18,2019-09-20
42-095-32453,ADKINS 1,"STRATEGIC FOSSIL FUELS, LLC",New Drill,Vertical,2019-05-06,2019-05-09
42-095-32452,CHICO 5,"HW OPERATING, LLC",New Drill,Vertical,2019-04-16,2019-04-23
42-095-32451,WTG02 01,"WEST TEXAS GAS, INC.",New Drill,Vertical,2019-03-22,2019-03-26
42-095-32450,HENDRICKS 1,W.R. GUFFEY LLC,New Drill,Vertical,2019-02-07,2019-02-14
42-095-32449,CHICO 4,"HW OPERATING, LLC",New Drill,Vertical,2018-12-07,2018-12-10
42-095-31494,MCMURTREY 19,"HELLIFINO OPERATING, LLC",Re-Enter,Vertical,2018-10-25,2018-10-26
42-095-31275,MCMURTREY 15,"HELLIFINO OPERATING, LLC",Re-Enter,Vertical,2018-10-08,2018-10-08
42-095-31322,MCMURTREY 16,"HELLIFINO OPERATING, LLC",Re-Enter,Vertical,2018-10-08,2018-10-08
42-095-31440,MCMURTREY 18,"HELLIFINO OPERATING, LLC",Re-Enter,Vertical,2018-08-14,2018-08-15
42-095-31552,MCMURTREY 21,"HELLIFINO OPERATING, LLC",Re-Enter,Vertical,2018-08-14,2018-08-15
42-095-32448,CHICO 3,"HW OPERATING, LLC",New Drill,Vertical,2018-08-02,2018-08-07
42-095-32447,TIPTON RANCH 2,W.R. GUFFEY LLC,New Drill,Vertical,2018-07-24,2018-07-24
42-095-32446,DEVON 1,W.R. GUFFEY LLC,New Drill,Vertical,2018-07-13,2018-07-13
42-095-32445,MP 217.46 1CP,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2018-06-18,2018-07-03
42-095-32444,CHICO 2,"HW OPERATING, LLC",New Drill,Vertical,2018-03-28,2018-03-28
42-095-32443,JANSA B 3,"MERCURY OPERATING, LLC",New Drill,Vertical,2018-03-07,2018-03-21
42-095-32442,JANSA A 2,"MERCURY OPERATING, LLC",New Drill,Vertical,2018-03-07,2018-03-15
42-095-32441,DON PFLUGER 4,"MERCURY OPERATING, LLC",New Drill,Vertical,2018-03-06,2018-03-28
42-095-32440,STINKY GOAT 2,"MERCURY OPERATING, LLC",New Drill,Vertical,2017-11-02,2017-11-07
42-095-32439,CHICO 1,"HW OPERATING, LLC",New Drill,Vertical,2017-09-06,2017-09-14
42-095-32382,ANDERSON 1,BOWERMAN INVESTMENTS INC.,Recompletion,Vertical,2017-08-24,2017-08-28
42-095-32437,PFLUGER UNIT A 3,"MERCURY OPERATING, LLC",New Drill,Vertical,2017-08-01,2017-08-22
42-095-32436,PFLUGER UNIT A 2,"MERCURY OPERATING, LLC",New Drill,Vertical,2017-08-01,2017-08-11
42-095-32435,HOME PLACE 1,"FLAG ENERGY, LLC",New Drill,Vertical,2017-07-17,2017-07-19
42-095-32210,WILDE 2,MARTIN MATRIX INC.,Field Transfer,Vertical,2017-05-05,2017-05-23
42-095-32351,SCOTT 1,"FLAG ENERGY, LLC",Recompletion,Vertical,2017-01-23,2017-02-02
42-095-32434,"SPISER, JACQUELYN 2","FLAG ENERGY, LLC",New Drill,Vertical,2017-01-18,2017-01-30
42-095-32433,TIPTON RANCH 1,W.R. GUFFEY LLC,New Drill,Vertical,2016-12-27,2017-01-10
42-095-32432,CRENWELGE 1,K9 ENERGY LLC,New Drill,Vertical,2016-11-22,2016-12-05
42-095-32431,SCOTT 3,"FLAG ENERGY, LLC",New Drill,Vertical,2016-05-23,2016-05-25
42-095-32430,KRIEG 'B' 1,MINX RESOURCES LLC,New Drill,Vertical,2016-05-18,2016-05-25
42-095-32429,JANSA 1,"MERCURY OPERATING, LLC",New Drill,Vertical,2016-03-17,2016-04-06
42-095-32428,LUCKY V 'M' 1,"MERCURY OPERATING, LLC",New Drill,Vertical,2016-03-04,2016-03-10
42-095-32427,LUCKY V 4,"MERCURY OPERATING, LLC",New Drill,Vertical,2016-01-27,2016-02-02
42-095-32426,PFLUGER 'A' 1,W.R. GUFFEY LLC,New Drill,Vertical,2015-12-22,2015-12-28
42-095-32424,LUCKY V 'P' 2,"MERCURY OPERATING, LLC",New Drill,Vertical,2015-12-04,2015-12-08
42-095-32425,LUCKY V 3,"MERCURY OPERATING, LLC",New Drill,Vertical,2015-11-20,2015-12-08
42-095-32424,DON PFLUGER 2,"MERCURY OPERATING, LLC",New Drill,Vertical,2015-11-12,2015-11-24
42-095-32422,"PFLUGER, DON 1","MERCURY OPERATING, LLC",New Drill,Vertical,2015-11-05,2015-11-12
42-095-32423,KRIEG 1,MINX RESOURCES LLC,New Drill,Vertical,2015-10-15,2015-10-19
42-095-32422,DON PFLUGER 1,"MERCURY OPERATING, LLC",New Drill,Vertical,2015-07-24,2015-08-31
42-095-32421,THIRSTY RIVER 1,SPIRAL ENERGY CORP.,New Drill,Vertical,2015-07-10,2015-07-14
42-095-32420,LANG 1,"WINDOW OPERATING CO., THE",New Drill,Vertical,2015-05-04,2015-05-08
42-095-32419,DON PFLUGER 1,"GUFFEY, WM. R.",New Drill,Vertical,2015-03-23,2015-03-25
42-095-32418,TYLER 2,TEXAS ROYALTY CORP.,New Drill,Vertical,2014-11-25,2014-12-03
42-095-32417,TYLER 1,TEXAS ROYALTY CORP.,New Drill,Vertical,2014-11-19,2014-11-21
42-095-32417,TYLER 1,TEXAS ROYALTY CORP.,New Drill,Vertical,2014-11-05,2014-11-05
42-095-32416,JACOBSON 1,"REBCO OIL, INC.",New Drill,Vertical,2014-10-29,2014-10-31
