api,well,operator,application_type,drill_type,submitted,approved
42-097-34826,KNIGHT 1D,"Oleum Partners, LLC",New Drill,Vertical,2024-12-16,2024-12-17
42-097-34826,INGLISH D-6 SWD 1,"Oleum Partners, LLC",New Drill,Vertical,2024-10-25,2024-10-28
42-097-33878,BELL 9,"REED PRODUCTION, INC.",New Drill,Vertical,2024-09-17,2024-12-13
42-097-33878,BELL 9,"REED PRODUCTION, INC.",New Drill,Vertical,2024-09-17,2024-10-16
42-097-34823,KING-COFFMAN 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2024-09-10,2024-09-10
42-097-34825,BUTCHER -BC- 20,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-09-04,2024-10-02
42-097-34824,BUTCHER -BC- 19,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-08-28,2024-08-30
42-097-34823,KING-COFFMAN 1,FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2024-07-24,2024-07-29
42-097-34817,SMITH 6,"TRIPLE G WELL SERVICE, INC.",New Drill,Vertical,2024-07-17,2024-07-23
42-097-34821,DANGLE 19,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-04-15,2024-05-17
42-097-34822,DANGELMAYR 59,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-04-15,2024-04-16
42-097-34820,DANGELMAYR 58,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-04-10,2024-04-16
42-097-34818,DANGLE 18,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-03-28,2024-05-03
42-097-34817,SMITH 6,"TRIPLE G WELL SERVICE, INC.",New Drill,Vertical,2024-03-28,2024-04-11
42-097-34819,DANGELMAYR 57,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-03-28,2024-04-08
42-097-34816,"MEADOR, S.D. -B- 11","MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2024-03-15,2024-03-15
42-097-34815,TREW 'A' 56,"MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2024-02-16,2024-02-23
42-097-34814,DANGLE 17,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2024-01-31,2024-02-05
42-097-34813,DANGLE 16,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-11-29,2024-01-02
42-097-34775,EAST CORBETT 1,"ATOKA OPERATING, INC.",New Drill,Vertical,2023-11-01,2023-11-03
42-097-34812,"MOUNT, J. W. -A- 9","MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2023-10-20,2023-10-24
42-097-83873,WILSON 4,"BLS PRODUCTION CO., INC.",Re-Enter,Vertical,2023-10-17,2023-10-24
42-097-34810,TREW 'A' 55,"MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2023-10-06,2023-10-09
42-097-34811,TREW 'A' 60,"MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2023-10-06,2023-10-09
42-097-34409,BELL 6,"REED PRODUCTION, INC.",Recompletion,Vertical,2023-09-22,2023-10-23
42-097-34808,J.F. TRUBENBACH -A- 33,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-08-07,2023-08-14
42-097-34807,RANCHO FUNDO 1,BEND PETROLEUM CORP.,New Drill,Vertical,2023-08-02,2023-08-04
42-097-34809,PAUTLER 14,"V & H OIL, L.P.",New Drill,Vertical,2023-08-01,2023-08-21
42-097-34806,J.F. TRUBENBACH -A- 32,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-07-03,2023-08-30
42-097-34805,J.F. TRUBENBACH -A- 31,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-06-30,2023-07-07
42-097-34804,CARR 29,"TRIPLE G WELL SERVICE, INC.",New Drill,Vertical,2023-06-05,2023-06-09
42-097-34803,BELL 15,"REED PRODUCTION, INC.",New Drill,Vertical,2023-05-25,2023-06-08
42-097-34802,J.F. TRUBENBACH -A- 30,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-05-19,2023-05-24
42-097-34798,BUCKNER 'B' 19,"J R CO. OF MUENSTER, LLC",New Drill,Vertical,2023-04-27,2023-04-28
42-097-34799,COOKE 24,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-04-19,2023-04-24
42-097-34800,THS UNIT 6,"MILLER, GLENN J.",New Drill,Vertical,2023-04-18,2023-05-01
42-097-34801,THS UNIT 7,"MILLER, GLENN J.",New Drill,Vertical,2023-04-18,2023-05-01
42-097-34798,BUCKNER 'B' 19,"J R CO. OF MUENSTER, LLC",New Drill,Vertical,2023-04-03,2023-04-13
42-097-34797,J.F. TRUBENBACH -A- 29,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-03-22,2023-03-22
42-097-34796,J. FLEITMAN 9,"WFW PRODUCTION COMPANY, INC.",New Drill,Vertical,2023-03-21,2023-03-23
42-097-34795,KIRKPATRICK A 8,"REED PRODUCTION, INC.",New Drill,Vertical,2023-02-19,2023-03-01
42-097-34794,"MEADOR, S. D. 16","MOUNTAIN CREEK OIL COMPANY, INC.",New Drill,Vertical,2023-02-03,2023-02-13
42-097-34792,TREW 'A' 53,"BIG COUNTRY PIPE & SUPPLY, INC.",New Drill,Vertical,2023-01-19,2023-01-27
