api,well,operator,application_type,drill_type,submitted,approved
,BILLY BONES 13,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2025-01-17,
,BILLY BONES 12,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2025-01-17,
42-103-37554,LIMELIGHT 22305 26-29 02H,"BTA OIL PRODUCERS, LLC",New Drill,Horizontal,2025-01-16,
42-103-37553,LIMELIGHT 22305 26-29 01H,"BTA OIL PRODUCERS, LLC",New Drill,Horizontal,2025-01-16,
42-103-37570,WATERLOGGED 23SD,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2025-01-08,2025-01-09
42-103-37385,WADDELL TR A 4084H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-07,2025-01-07
42-103-37568,WADDELL TR 1 3884,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2025-01-07,2025-01-07
42-103-37569,WADDELL TR A 5440H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-07,2025-01-07
42-103-37566,WADDELL TR A 4813H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-06,
42-103-37567,WADDELL TR A 4824H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-06,
42-103-37565,WADDELL TR 1 3824,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2025-01-03,2025-01-03
42-103-37563,WADDELL TR A 5036H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-02,2025-01-03
42-103-37564,WADDELL TR A 5441H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-02,2025-01-03
42-103-37562,WADDELL TR A 4825H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2025-01-02,
42-103-36942,WADDELL TR A 3127,"BLACKBEARD OPERATING, LLC",Recompletion,Vertical,2024-12-31,2025-01-14
42-103-37561,BILLY BONES 28,"BLACKBEARD OPERATING, LLC",New Drill,Vertical,2024-12-30,2024-12-30
42-103-37374,WADDELL TR A 4509H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-30,
,WADDELL TR A 4645H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-30,
42-103-37559,UL CAZADOR 15/3 B F101OJ,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-12-18,2024-12-19
42-103-37560,UL CAZADOR 15/3 A F101PI,MEWBOURNE OIL COMPANY,New Drill,Horizontal,2024-12-18,2024-12-19
42-103-37558,WADDELL TR 1 5620H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-12,2024-12-18
,WADDELL TR 1 6220H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-12,
,WADDELL TR 1 5820H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-12,
,WADDELL TR 1 6020H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-12,
42-103-37553,LIMELIGHT 22305 26-29 01H,"BTA OIL PRODUCERS, LLC",New Drill,Horizontal,2024-12-11,2024-12-12
42-103-37554,LIMELIGHT 22305 26-29 02H,"BTA OIL PRODUCERS, LLC",New Drill,Horizontal,2024-12-11,2024-12-12
42-103-32652,BLOCK 31 UNIT V 5,OXY USA INC.,Recompletion,Vertical,2024-12-03,2024-12-04
42-103-37550,WADDELL TR 12-13 1LD 6190H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-02,2024-12-16
42-103-37551,WADDELL TR 12-13 1UD 5790H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-02,2024-12-16
42-103-37552,WADDELL TR 12-13 2MD 5990H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-12-02,2024-12-16
42-103-33760,LIEURANCE 3,"THREE SPAN OIL & GAS, INC.",Re-Enter,Vertical,2024-12-02,2024-12-16
42-103-37548,WADDELL TR A 4822H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-26,2024-12-30
42-103-37549,WADDELL TR A 4823H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-26,2024-12-30
42-103-37547,WADDELL TR A 4821H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-22,2024-12-30
42-103-37388,WADDELL TR A 4088H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-14,2024-12-30
42-103-37546,WADDELL TR A 4923H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-14,2024-12-12
42-103-37531,"LEA, P.J. ETAL 4718M","RING ENERGY, INC.",New Drill,Directional,2024-11-14,2024-11-18
42-103-37545,WADDELL TR A 5605H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-14,2024-11-15
42-103-37543,WADDELL TR A 4806H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-13,2025-01-07
42-103-37544,WADDELL TR A 4807H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-13,2024-12-30
42-103-37540,WADDELL TR A 4610H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-13,2024-12-17
42-103-37541,WADDELL TR A 5024H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-13,2024-11-14
42-103-37542,WADDELL TR A 5113H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-13,2024-11-14
42-103-37539,"LEA, P. J. -C- A/C 3 9",FELDERHOFF PRODUCTION COMPANY,New Drill,Vertical,2024-11-11,2024-11-13
42-103-37538,WADDELL TR A 4526H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-11-07,2024-12-30
42-103-37499,"HENDERSON, M. F. 0503G","RING ENERGY, INC.",New Drill,Vertical,2024-11-04,2024-11-06
42-103-37534,WADDELL TR A 4049H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-25,2024-11-26
42-103-37535,WADDELL TR A 4062H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-25,2024-11-26
42-103-37536,WADDELL TR A 4048H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-25,2024-11-26
42-103-37537,WADDELL TR A 4060H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-25,2024-11-26
42-103-37532,WADDELL TR A 4852H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-24,2024-11-26
42-103-37533,WADDELL TR A 4855H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-24,2024-11-26
42-103-37531,"LEA, P.J. ETAL 4718M","RING ENERGY, INC.",New Drill,Vertical,2024-10-23,2024-10-24
42-103-37530,WADDELL TR A 4059H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-22,2024-11-26
42-103-37528,WADDELL TR A 4854H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-21,2024-11-26
42-103-37529,WADDELL TR A 4853H,"BLACKBEARD OPERATING, LLC",New Drill,Horizontal,2024-10-21,2024-11-26
42-103-36974,WADDELL TR A 3325,"BLACKBEARD OPERATING, LLC",Recompletion,Vertical,2024-10-11,2024-12-03
