api,well,operator,application_type,drill_type,submitted,approved
42-105-42555,SHANNON ESTATE NOELKE SE S 37,"GREEN CENTURY EXP & PROD, LLC",New Drill,Vertical,2024-11-06,2024-11-12
42-105-42544,UNIVERSITY LANDS 217 B S292H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-10-03,
42-105-42550,UNIVERSITY LANDS 213 S282H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-08-30,2024-09-03
42-105-42551,UNIVERSITY LANDS 213 S283H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-08-30,2024-09-03
42-105-42553,UNIVERSITY LANDS 213 N281H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-08-30,2024-09-03
42-105-42554,UNIVERSITY LANDS 213 N282H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-08-30,2024-09-03
42-105-42549,UNIVERSITY LANDS 213 S281H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-08-29,2024-09-03
42-105-42548,UNIVERSITY LANDS 213 N283H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-08-29,2024-08-30
42-105-42552,SHANNON HOSPITAL 1C 9,"STONE CREEK OPERATING, LLC",New Drill,Directional,2024-08-08,2024-08-12
42-105-02282,SHANNON ESTATE M 35,"ASPEN OPERATING COMPANY, L.L.C.",Re-Enter,Vertical,2024-06-28,2024-07-18
42-000-00000,SHANNON ESTATE 1,"ASPEN OPERATING COMPANY, L.L.C.",Re-Enter,Vertical,2024-06-28,2024-07-18
42-105-42548,UNIVERSITY LANDS 213 N281H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-05-17,2024-05-22
42-105-42549,UNIVERSITY LANDS 213 N282H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-05-17,2024-05-22
42-105-42550,UNIVERSITY LANDS 213 N283H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-05-17,2024-05-22
42-105-42551,UNIVERSITY LANDS 213 N284H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2024-05-17,2024-05-22
42-105-42547,MICHELOB 110,"OGRIS OPERATING, LLC",New Drill,Vertical,2024-04-02,2024-04-15
42-105-42418,UNIVERSITY EAST 4128HH,RRP OPERATING LLC,New Drill,Vertical,2024-01-05,2024-01-09
42-105-42420,UNIVERSITY EAST 4128JH,RRP OPERATING LLC,New Drill,Vertical,2024-01-05,2024-01-09
42-105-42421,UNIVERSITY EAST 4128KH,RRP OPERATING LLC,New Drill,Vertical,2024-01-05,2024-01-09
42-105-42422,UNIVERSITY EAST 4128LH,RRP OPERATING LLC,New Drill,Vertical,2024-01-05,2024-01-09
42-105-42544,UNIVERSITY LANDS 217 S292H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-30,2023-12-14
42-105-42545,UNIVERSITY LANDS 217 S293H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-30,2023-12-14
42-105-42546,UNIVERSITY LANDS 217 S294H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-30,2023-12-14
42-105-42543,UNIVERSITY LANDS 217 S291H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-30,2023-12-05
42-105-42537,UNIVERSITY LANDS 216 S301H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-17,2023-11-27
42-105-42538,UNIVERSITY LANDS 216 S302H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-17,2023-11-27
42-105-42539,UNIVERSITY LANDS 216 S303H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-17,2023-11-27
42-105-42540,UNIVERSITY LANDS 216 S304H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-17,2023-11-27
42-105-42541,UNIVERSITY LANDS 216 S305H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-17,2023-11-27
42-105-42542,UNIVERSITY LANDS 216 S306H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-11-17,2023-11-27
42-105-40501,MCMULLAN 'B' 13,"EPIC PERMIAN OPERATING, LLC",Recompletion,Vertical,2023-08-07,2023-08-11
42-105-02212,NOELKE LIVESTOCK CO M-O 502,"ASPEN OPERATING COMPANY, L.L.C.",Recompletion,Vertical,2023-07-19,2023-11-17
42-105-35173,NOELKE LIVESTOCK CO OO 612,"ASPEN OPERATING COMPANY, L.L.C.",Recompletion,Vertical,2023-07-19,2023-11-14
42-105-39750,PEARL STATE UNIT 1,"STALLION OPERATING, LLC",Recompletion,Vertical,2023-03-16,2023-05-12
42-105-42536,UNIVERSITY LANDS 224 S044H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-03-08,2023-03-14
42-105-42533,UNIVERSITY LANDS 224 N273H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-03-08,2023-03-13
42-105-42534,UNIVERSITY LANDS 224 N274H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-03-08,2023-03-13
42-105-42535,UNIVERSITY LANDS 224 S043H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-03-08,2023-03-13
42-105-42426,UNIVERSITY LANDS 224 N271H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-03-03,2023-03-08
42-105-42427,UNIVERSITY LANDS 224 S041H,"TRIPLE CROWN RESOURCES, LLC",New Drill,Horizontal,2023-03-03,2023-03-08
