api,well,operator,application_type,drill_type,submitted,approved
42-107-32123,PHIL 329,"HEXP OPERATING, LLC",New Drill,Vertical,2025-01-08,2025-01-13
42-107-32128,PHIL 1259,"HEXP OPERATING, LLC",New Drill,Vertical,2025-01-08,2025-01-13
42-107-32196,PRICE 21,STELZER DRILLING CO. INC.,New Drill,Vertical,2024-10-15,2024-10-17
42-107-32197,PRICE 20,STELZER DRILLING CO. INC.,New Drill,Vertical,2024-10-15,2024-10-17
42-107-32195,COLLIER -7- 13R,BRIDWELL OIL CO.,New Drill,Vertical,2024-04-26,2024-04-29
42-107-32194,COLLIER -7- 14,BRIDWELL OIL CO.,New Drill,Vertical,2024-03-28,2024-04-02
42-107-32193,COLLIER -7- 13,BRIDWELL OIL CO.,New Drill,Vertical,2024-03-25,2024-03-27
42-107-32192,JOHNSON 2,"STRAWN ENERGY SERVICES, LLC",New Drill,Vertical,2023-11-01,2023-11-03
42-107-32192,JOHNSON 2,"HARBOR PETROLEUM, LLC",New Drill,Vertical,2023-08-16,2023-08-18
42-107-32190,AMOCO COLLIER ESTATE 20,BRIDWELL OIL CO.,New Drill,Vertical,2021-12-27,2021-12-30
42-107-32191,AMOCO COLLIER ESTATE 21,BRIDWELL OIL CO.,New Drill,Vertical,2021-12-27,2021-12-30
42-107-32189,JOHNSON 1,"HARBOR PETROLEUM, LLC",New Drill,Vertical,2020-11-20,2020-11-23
42-107-32184,"AYCOCK, D.W. 9","SURGE OPERATING, LLC",New Drill,Vertical,2020-02-06,2020-02-07
42-107-32185,AYCOCK 3,"SURGE OPERATING, LLC",New Drill,Vertical,2020-02-06,2020-02-06
42-107-31953,CLARK WOOD RANCH M165,"SURGE OPERATING, LLC",Recompletion,Vertical,2019-12-11,2019-12-17
42-107-31704,CLARK WOOD RANCH 1211,"SURGE OPERATING, LLC",Field Transfer,Vertical,2019-12-10,2019-12-16
42-107-31782,CLARK WOOD RANCH 1213,"SURGE OPERATING, LLC",Field Transfer,Vertical,2019-12-10,2019-12-16
42-107-31775,CLARK WOOD RANCH 1231,"SURGE OPERATING, LLC",Field Transfer,Vertical,2019-12-10,2019-12-16
42-107-31789,CLARK WOOD RANCH 1233,"SURGE OPERATING, LLC",Field Transfer,Vertical,2019-12-10,2019-12-16
42-107-31675,CLARK WOOD RANCH 147,"SURGE OPERATING, LLC",Recompletion,Vertical,2019-12-10,2019-12-16
42-107-32187,"WILLIAMS, ETAL 4741","SURGE OPERATING, LLC",New Drill,Vertical,2019-10-25,2019-10-30
42-107-32188,NE RIDGE UPPER CLEARFORK UNIT 4655,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-16,2019-10-22
42-107-32187,"WILLIAMS, ETAL 4741","SURGE OPERATING, LLC",New Drill,Vertical,2019-10-11,2019-10-21
42-107-32186,CLARK WOOD RANCH F575,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-02,2019-10-04
42-107-31901,CLARK WOOD RANCH Z 44,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-04
42-107-32184,"AYCOCK, D.W. 9","SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-04
42-107-32185,AYCOCK 3,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-04
42-107-32179,CLARK WOOD RANCH F510,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-32180,CLARK WOOD RANCH F535,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-32181,CLARK WOOD RANCH F547,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-32182,CLARK WOOD RANCH K161,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-32034,CLARK WOOD RANCH M136,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-31956,CLARK WOOD RANCH M176,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-32183,CLARK WOOD RANCH Z 18,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-03
42-107-32088,CLARK WOOD RANCH 3566,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-02
42-107-32178,CLARK WOOD RANCH F541,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-02
42-107-32077,CLARK WOOD RANCH K112,"SURGE OPERATING, LLC",New Drill,Vertical,2019-10-01,2019-10-02
42-107-32177,AMOCO-COLLIER ESTATE 9R,BRIDWELL OIL CO.,New Drill,Vertical,2019-04-02,2019-04-03
42-107-32176,AMOCO-COLLIER ESTATE 19,BRIDWELL OIL CO.,New Drill,Vertical,2019-03-06,2019-03-18
42-107-31354,"CADDELL-1072, ETAL 7275","SURGE OPERATING, LLC",Reclass,Vertical,2019-02-15,2019-02-26
42-107-32175,SUE HANCOCK 914,"JUNO OPERATING COMPANY III, LLC",New Drill,Vertical,2018-10-08,2018-10-10
42-107-32173,A.L. ROBERTSON 'D' 7005,"SURGE OPERATING, LLC",New Drill,Vertical,2018-09-24,2018-09-24
42-107-32174,A.L. ROBERTSON 'D' 7030,"SURGE OPERATING, LLC",New Drill,Vertical,2018-09-24,2018-09-24
42-107-32172,SUE HANCOCK 943,"JUNO OPERATING COMPANY III, LLC",New Drill,Vertical,2018-09-18,2018-09-19
42-107-32171,A.L. ROBERTSON 'D' 7020,"SURGE OPERATING, LLC",New Drill,Vertical,2018-09-12,2018-09-24
42-107-32086,CLARK WOOD RANCH 1018,"SURGE OPERATING, LLC",New Drill,Vertical,2018-08-29,2018-08-29
