api,well,operator,application_type,drill_type,submitted,approved
,DR MARISOL 2,CHEVRON U. S. A. INC.,New Drill,Vertical,2025-01-17,
,DR MARISOL 4,CHEVRON U. S. A. INC.,New Drill,Vertical,2025-01-17,
,DR MARISOL 1,CHEVRON U. S. A. INC.,New Drill,Vertical,2025-01-17,
,DR MIRASOL 5,CHEVRON U. S. A. INC.,New Drill,Vertical,2025-01-17,
,DR MARISOL 3,CHEVRON U. S. A. INC.,New Drill,Vertical,2025-01-17,
42-109-34438,FOOLISH PLEASURE 43-6 UNIT 11H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-14,2025-01-16
42-109-34439,FOOLISH PLEASURE 43-6 UNIT 12H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-14,2025-01-16
42-109-34440,FOOLISH PLEASURE 43-6 UNIT 13H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-14,2025-01-16
42-109-34434,NEEDLES 39 UNIT 12H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-16
42-109-34435,NEEDLES 39 UNIT 13H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-16
42-109-34436,NEEDLES 39 UNIT 14H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-16
42-109-34437,NEEDLES 39 UNIT 16H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-16
42-109-34424,NEEDLES 39 UNIT 2H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34425,NEEDLES 39 UNIT 3H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34426,NEEDLES 39 UNIT 4H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34427,NEEDLES 39 UNIT 5H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34428,NEEDLES 39 UNIT 6H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34429,NEEDLES 39 UNIT 7H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34430,NEEDLES 39 UNIT 8H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34431,NEEDLES 39 UNIT 9H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34432,NEEDLES 39 UNIT 10H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34433,NEEDLES 39 UNIT 11H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-13,2025-01-14
42-109-34412,TYPHOON 42 UNIT 5H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34413,TYPHOON 42 UNIT 6H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34414,TYPHOON 42 UNIT 7H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34415,TYPHOON 42 UNIT 8H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34416,TYPHOON 42 UNIT 9H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34417,TYPHOON 42 UNIT 10H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34418,TYPHOON 42 UNIT 11H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34419,TYPHOON 42 UNIT 12H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34420,TYPHOON 42 UNIT 13H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
42-109-34421,TYPHOON 42 UNIT 14H,CIMAREX ENERGY CO.,New Drill,Horizontal,2025-01-10,2025-01-14
