api,well,operator,application_type,drill_type,submitted,approved
42-121-34616,POOL B 13 (AW) 13H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-10-21,2024-10-23
42-121-34613,POOL B 10 (AW) 10H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-09-23,2024-09-23
42-121-34614,POOL B 11 (AW) 11H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-09-23,2024-09-23
42-121-34615,POOL B 12 (AW) 12H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-09-23,2024-09-23
42-121-34616,POOL B 13 (AW) 13H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-09-23,2024-09-23
42-121-34641,CARL MCCURLEY 2 (AW) 2H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-05-08,2024-05-24
42-121-34643,CARL MCCURLEY 4 (AW) 4H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-05-08,2024-05-23
42-121-34642,CARL MCCURLEY 3 (AW) 3H,"BKV BARNETT, LLC",New Drill,Horizontal,2024-05-08,2024-05-14
42-121-00185,HK ARMSTRONG 12,"MASH OILFIELD SERVICES, LP",Re-Enter,Vertical,2023-12-04,2023-12-04
42-121-34636,DCCO 3 - J H RIGGS 11 (AW) 11H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-10-11,2023-12-01
42-121-34637,DCCO 3 - J H RIGGS 12 (AW) 12H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-10-11,2023-12-01
42-121-34638,DCCO 3 - J H RIGGS 13 (AW) 13H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-10-11,2023-12-01
42-121-34639,DCCO 3 - J H RIGGS 14 (AW) 14H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-10-11,2023-12-01
42-121-34640,DCCO 3 - J H RIGGS 15 (AW) 15H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-10-11,2023-12-01
42-121-34633,COLE FRAZIER 3 (AW) 3H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-07-12,2023-07-21
42-121-34634,COLE FRAZIER 4 (AW) 4H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-07-12,2023-07-21
42-121-34635,COLE FRAZIER 5 (AW) U 5H,"BKV BARNETT, LLC",New Drill,Horizontal,2023-07-12,2023-07-21
42-121-34632,HANGING W RANCH 10H,"LAKOTA ENERGY, LTD.",New Drill,Horizontal,2023-04-17,2023-04-21
42-121-34583,RICKRICH AH2 2,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2023-02-07,2023-07-26
42-121-34631,LEA AH5 5,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2023-02-05,2023-02-16
42-121-34629,LEA AH3 3,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2023-02-01,2023-02-23
42-121-34630,LEA AH4 4,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2023-02-01,2023-02-16
42-121-34606,TURNER C (AW) 10H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2023-01-03,2023-01-17
42-121-34607,TURNER C (AW) 11H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2023-01-03,2023-01-17
42-121-34605,TURNER C (AW) 9H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2023-01-03,2023-01-12
42-121-34628,LEA AH2 2,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2022-12-21,2022-12-29
42-121-34627,LEA AH1 1,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2022-12-20,2023-01-04
42-121-34625,DCCO 3 - GORDON MOORE 31 (AW) 31H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-11-21,2023-01-04
42-121-34626,DCCO 3 - GORDON MOORE 32 (AW) U 32H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-11-21,2022-12-02
42-121-34623,RCB LTD 2 (AW) 2H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-11-20,2022-12-02
42-121-34624,RCB LTD 3 (AW) 3H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-11-20,2022-12-02
42-121-32998,"CRAWFORD, WILLIAM A. 1","BKV BARNETT, LLC",Recompletion,Horizontal,2022-11-17,2022-11-30
42-121-34589,DCCO 3 UNIT 28H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-10-13,2023-03-09
42-121-34621,ENIS AH2 2,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2022-10-05,2022-10-11
42-121-34622,ENIS AH3 3,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2022-10-05,2022-10-11
42-121-34620,ENIS AH1 1,"LIME ROCK RESOURCES IV-A, L.P.",New Drill,Horizontal,2022-09-29,2022-10-11
42-121-32617,SHRYACK 1U,"BKV BARNETT, LLC",Recompletion,Vertical,2022-09-21,2022-09-25
42-121-34616,POOL B 13 (AW) 13H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-22
42-121-34618,JE DAY HEIRS 5 (AW) 5H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-22
42-121-34613,POOL B 10 (AW) 10H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-21
42-121-34615,POOL B 12 (AW) 12H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-21
42-121-34617,JE DAY HEIRS 4 (AW) 4H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-21
42-121-34619,JE DAY HEIRS 6 (AW) 6H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-21
42-121-34614,POOL B 11 (AW) 11H,"BKV BARNETT, LLC",New Drill,Horizontal,2022-09-13,2022-09-20
42-121-34546,RANGE (AW) 26H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2022-08-08,2022-08-15
42-121-34534,RANGE (AW) 25H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2022-08-08,2022-08-10
42-121-34612,WHITEHEAD HALL UNIT 4H,HILLWOOD O & G OPERATING CO LP,New Drill,Horizontal,2022-07-01,2022-07-28
42-121-34611,WHITEHEAD HALL UNIT 2H,HILLWOOD O & G OPERATING CO LP,New Drill,Horizontal,2022-07-01,2022-07-13
42-121-34610,WHITEHEAD HALL UNIT 3H,HILLWOOD O & G OPERATING CO LP,New Drill,Horizontal,2022-07-01,2022-07-13
42-121-32445,D.C.C. 6,"EAGLERIDGE OPERATING, LLC",Recompletion,Vertical,2022-06-29,2022-07-22
42-121-34609,TURNER C (AW) 13H,"BEDROCK PRODUCTION, LLC",New Drill,Horizontal,2022-05-19,2022-05-31
