api,well,operator,application_type,drill_type,submitted,approved
42-125-31422,GINA 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2024-07-09,2024-07-12
42-125-31421,LITTLE CROTON PLCC 1,"KEBO OIL & GAS, INC.",New Drill,Vertical,2024-05-28,2024-05-28
42-125-31420,MDJ UNIT 2762,"HGN OPERATING I, LLC",New Drill,Vertical,2024-05-01,2024-05-07
42-125-31419,USSEGLIO 2,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2024-04-16,2024-04-19
42-125-31418,QUATTLEBAUM 1,"ROSS, DWIGHT M. DRLG. CO., INC.",New Drill,Vertical,2024-02-15,2024-03-11
42-125-31417,BEGGS 2A,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2023-12-19,2023-12-27
42-125-31405,SJWF 2,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2023-11-03,2023-12-15
42-125-31416,ERIN 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2023-09-07,2023-09-08
42-125-31415,BULL PASTURE 1,"SALIDA EXPLORATION, LLC",New Drill,Vertical,2023-08-28,2023-08-30
42-125-31414,JOHN BELL 1,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2023-07-07,2023-07-14
42-125-31413,SWARINGEN 1,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2023-05-31,2023-06-02
42-125-31412,JANINE 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-12-01,2022-12-07
42-125-31411,DEANNE 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-11-03,2022-11-08
42-125-31410,SJWF 4,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-09-19,2022-09-21
42-125-31409,HOLLY 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-08-19,2022-08-24
42-125-31408,MCGALLIARD 1A,"SALIDA EXPLORATION, LLC",New Drill,Vertical,2022-07-13,2022-07-15
42-125-31407,PITCHFORK RRRR 4,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2022-07-07,2022-07-11
42-125-31406,BEGGS 1A,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2022-06-14,2022-06-21
42-125-31405,SJWF 2,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-05-26,2022-06-07
42-125-31404,VIRGINIA 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-05-09,2022-05-12
42-125-31403,MDJ 2761,"HGN OPERATING I, LLC",New Drill,Vertical,2022-04-13,2022-04-20
42-125-31402,DANA 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2022-02-15,2022-03-01
42-125-31401,PITCHFORK RRRR 3,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2022-01-18,2022-01-19
42-125-31400,BULL RUN 2,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2021-12-24,2022-01-03
42-125-31399,SJWF 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2021-11-04,2021-11-12
42-125-31397,WATSON WINDMILL 1,"ROSS, DWIGHT M. DRLG. CO., INC.",New Drill,Vertical,2021-10-19,2021-10-22
42-125-31396,SHERRY 2,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2021-10-12,2021-10-20
42-125-31395,PITCHFORK RRRR 2,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2021-09-29,2021-10-06
42-125-31394,EDWARDS-HAHN 1,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2021-09-02,2021-09-09
42-125-31393,BRINKMAN 2,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2021-08-17,2021-08-24
42-125-31392,MDJ-BRECK-BAGBY 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2021-06-29,2021-07-02
42-125-31391,CONDRON 2,"CYPRESS PRODUCTION, INC.",New Drill,Vertical,2021-06-17,2021-06-25
42-125-31390,PITCHFORK RRRR 1,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2021-05-03,2021-05-05
42-125-31390,PITCHFORK RRRR 1,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2021-03-23,2021-03-29
42-125-31389,RUTLEDGE-BEADLE 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2020-09-24,2020-09-28
42-125-31388,BRINKMAN 1,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2020-09-04,2020-09-08
42-125-31387,PITCHFORK QQQQ 3,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2020-08-26,2020-08-28
42-125-31386,CONDRON 1,"CYPRESS PRODUCTION, INC.",New Drill,Vertical,2020-04-09,2020-04-13
42-125-31385,USSEGLIO 1,"CANAN MOWREY OPERATING, LLC",New Drill,Vertical,2020-03-16,2020-03-16
42-125-31384,HAHN-EDWARDS 1,HALLIBURTON OPERATING COMPANY,New Drill,Vertical,2020-01-10,2020-01-15
42-125-31383,TAYLOR 1,"LECLAIR OPERATING, L.L.C.",New Drill,Vertical,2019-12-11,2019-12-16
42-125-31382,PITCHFORK QQQQ 2,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2019-12-09,2019-12-11
42-125-31381,JONES 3,"SCHALK OIL COMPANY, INC.",New Drill,Vertical,2019-10-25,2019-10-30
42-125-31380,DICKENS 1,"TRIO CONSULTING & MANAGEMENT,LLC",New Drill,Vertical,2019-10-23,2019-10-30
42-125-31379,JENKINS 1,"CARROLL OPERATING, LLC",New Drill,Vertical,2019-09-16,2019-09-18
42-125-31377,PITCHFORK CCCC 16,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2019-07-08,2019-07-08
42-125-31378,CROTON CREEK AAA 5,"MEDDERS OIL COMPANY, INC.",New Drill,Vertical,2019-07-08,2019-07-08
42-125-31376,BARRON 1,"CARROLL OPERATING, LLC",New Drill,Vertical,2019-05-01,2019-05-03
