api,well,operator,application_type,drill_type,submitted,approved
42-127-38956,TJN UNIT 1,"CML EXPLORATION, LLC",New Drill,Horizontal,2025-01-17,
42-127-39005,MORO CREEK 2413H,VERDUN OIL & GAS LLC,New Drill,Horizontal,2025-01-10,2025-01-16
42-127-39004,MORO CREEK 2412H,VERDUN OIL & GAS LLC,New Drill,Horizontal,2025-01-10,2025-01-10
42-127-38999,BRISCOE CARLA RANCH 102HV,Javelin Energy Partners Management LLC,New Drill,Horizontal,2025-01-09,2025-01-09
42-127-39000,BRISCOE CARLA RANCH 102HW,Javelin Energy Partners Management LLC,New Drill,Horizontal,2025-01-09,2025-01-09
42-127-39001,BRISCOE CARLA RANCH 102HX,Javelin Energy Partners Management LLC,New Drill,Horizontal,2025-01-09,2025-01-09
42-127-39002,BRISCOE CARLA RANCH 102HY,Javelin Energy Partners Management LLC,New Drill,Horizontal,2025-01-09,2025-01-09
42-127-39003,BRISCOE CARLA RANCH 102HZ,Javelin Energy Partners Management LLC,New Drill,Horizontal,2025-01-09,2025-01-09
42-127-38994,BRISCOE CATARINA SOUTH 102HZ,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-127-38995,BRISCOE CATARINA SOUTH 103HA,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-127-38996,BRISCOE CATARINA SOUTH 103HB,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-127-38997,BRISCOE CATARINA SOUTH 103HC,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-127-38998,BRISCOE CATARINA SOUTH 103HD,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-20
42-127-38990,BRISCOE CATARINA SOUTH 102HA,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-19
42-127-38991,BRISCOE CATARINA SOUTH 102HB,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-19
42-127-38992,BRISCOE CATARINA SOUTH 102HC,Javelin Energy Partners Management LLC,New Drill,Horizontal,2024-12-19,2024-12-19
