api,well,operator,application_type,drill_type,submitted,approved
42-133-38302,MLV 19 10,TARGA NGL PIPELINE COMPANY LLC,New Drill,Vertical,2024-10-15,2024-10-21
42-133-36090,PEARSON-POTEET 3,BYRNE OIL COMPANY,Recompletion,Vertical,2024-09-23,2024-09-26
42-133-38301,FIELDS C 5,"KOKOMO ENERGY, INC.",New Drill,Vertical,2024-08-28,2024-08-29
42-133-38300,ATE571 1,ATMOS PIPELINE - TEXAS,New Drill,Vertical,2024-06-03,2024-06-11
42-133-38300,ATE571 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2024-04-10,2024-04-15
42-133-32625,"BINT, LYNN 6","TIKI OIL & GAS, LLC",Re-Enter,Vertical,2024-04-05,2024-04-12
42-133-38289,PARDUE 1,"ARNOT OIL COMPANY, LLC",Field Transfer,Vertical,2024-03-08,2024-04-17
42-133-38294,MAG02-MP201.1 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2024-01-25,2024-01-25
42-133-38298,SELF 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2023-10-12,2023-10-12
42-133-38297,GOODWIN 1,"CARAWAY, ROBERT R.",New Drill,Vertical,2023-10-03,2023-10-11
42-133-38299,ORION WEST PIPELINE 195,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2023-08-18,2023-12-07
42-133-38296,DESDEMONA FIELD UNIT 1204,"MORRIS R. GREENHAW OIL&GAS, INC",New Drill,Vertical,2023-07-06,2023-07-27
42-133-38295,FREY 1,ICS ENERGY LLC,New Drill,Vertical,2023-03-29,2023-03-29
42-133-38294,MAG02-MP201.1 01,"MCLEAN'S C P INSTALLATION, INC.",New Drill,Vertical,2023-01-23,2023-01-26
42-133-33609,NORTH PIONEER UNIT 1720,"SEVEN CROSS OPERATING, LLC",Re-Enter,Vertical,2022-08-02,2022-08-03
42-133-32527,NORTH PIONEER UNIT 1915,"SEVEN CROSS OPERATING, LLC",Re-Enter,Vertical,2022-08-02,2022-08-03
42-133-32529,NORTH PIONEER UNIT 1917,"SEVEN CROSS OPERATING, LLC",Re-Enter,Vertical,2022-08-02,2022-08-03
42-133-38293,HAILEY D 11,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2022-07-22,2022-07-26
42-133-31526,"SNEED, ERNEST 'A' 1",RONNING GAS AND OIL LLC,Recompletion,Vertical,2022-06-14,2022-06-21
42-133-36090,PEARSON-POTEET 3,"PEARSON, LEE ROY III",Recompletion,Vertical,2022-06-10,2022-06-16
42-133-38292,FIELDS C 4,"KOKOMO ENERGY, INC.",New Drill,Vertical,2022-05-26,2022-06-07
42-133-37847,LOFTIN 1,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2022-05-19,2022-05-24
42-133-30533,DOWNTAIN ESTATE 1,RONNING GAS AND OIL LLC,Recompletion,Vertical,2022-03-01,2022-03-02
42-133-38290,FIELDS C 3,"KOKOMO ENERGY, INC.",New Drill,Vertical,2022-02-28,2022-03-03
42-133-38289,PARDUE 1,"ARNOT OIL COMPANY, LLC",New Drill,Vertical,2022-01-27,2022-02-02
42-133-38287,RECTIFIER 2 1,"HILL-LAKE GAS STORAGE, LLC",New Drill,Vertical,2021-08-04,2021-08-20
42-133-38288,RECTIFIER 7 1,"HILL-LAKE GAS STORAGE, LLC",New Drill,Vertical,2021-08-04,2021-08-20
42-133-38286,HAILEY D 10,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2021-01-18,2021-01-26
42-133-38284,HAILEY D 9,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2020-11-19,2020-11-24
42-133-38285,MAGELLAN MIDSTREAM - MAG12 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2020-11-10,2020-12-01
42-133-38284,HAILEY D 9,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2020-11-03,2020-11-06
42-133-38284,HAILEY D 9,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2020-08-06,2020-08-11
42-133-38283,PE II 135.4 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2020-07-13,2020-07-24
42-133-38281,WR 24 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2020-07-13,2020-07-17
42-133-38282,WTG 356 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2020-07-13,2020-07-17
42-133-38280,WTG 362.7 01,SUNOCO PIPELINE L.P.,New Drill,Vertical,2020-07-13,2020-07-14
42-133-38279,"MCKINNERNEY, B.R. MIN 15","KOKOMO ENERGY, INC.",New Drill,Vertical,2020-05-11,2020-05-20
42-133-38278,HAILEY D 8,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2020-05-01,2020-05-05
42-133-38276,PARSLEY 1A,"PV OIL SERVICES, LLC",New Drill,Vertical,2019-12-17,2019-12-20
42-133-38275,"MCKINNERNEY, B.R. MIN 14","KOKOMO ENERGY, INC.",New Drill,Vertical,2019-12-11,2019-12-16
42-133-38275,"MCKINNERNEY, B.R. MIN 14","KOKOMO ENERGY, INC.",New Drill,Vertical,2019-10-04,2019-10-09
42-133-38275,"MCKINNERNEY, B.R. MIN 14","KOKOMO ENERGY, INC.",New Drill,Vertical,2019-08-08,2019-08-09
42-133-38274,DUFFER 4,BYRNE OIL COMPANY,New Drill,Vertical,2019-05-10,2019-05-15
42-133-38273,STACY 1,"SEVEN CROSS OPERATING, LLC",New Drill,Vertical,2019-05-08,2019-05-13
42-133-38272,HAILEY D 7,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2019-01-15,2019-01-18
42-133-38272,HAILEY D 7,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-12-27,2019-01-11
42-133-38271,ELLIE 3,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-11-06,2018-11-14
42-133-38270,HENDERSON 3,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-10-26,2018-11-01
42-133-38268,HENDERSON 2,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-09-12,2018-09-13
42-133-38268,HENDERSON 2,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-09-10,2018-09-10
42-133-38267,ELLIE 2,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-07-31,2018-07-31
42-133-38265,ETC MP 192.1 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2018-07-25,2018-07-27
42-133-38266,ETC MP 202.3 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2018-07-25,2018-07-27
42-133-37770,DUFFER B 1,BYRNE OIL COMPANY,Re-Enter,Vertical,2018-06-04,2018-06-07
42-133-38264,202.8 01,"MAGELLAN PIPELINE COMPANY, L.P.",New Drill,Vertical,2018-05-11,2018-06-04
42-133-32964,HEROD 1,ROYAL TEXAN RESOURCES CO.,Re-Enter,Vertical,2018-04-13,2018-09-30
42-133-38263,ELLIE 1,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2018-03-28,2018-03-28
42-133-36711,LUCKY SEVEN 1,"EDDIE'S ROYALTIES, INC.",Re-Enter,Vertical,2018-02-07,2018-02-12
42-133-31720,M. O. PROCTOR 'B' 1 B,ENVOY RESOURCES INC.,Recompletion,Vertical,2017-12-18,2018-01-05
42-133-38262,CHRISTINA 2D,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2017-12-11,2017-12-15
42-133-38261,ETC MD 193.4 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2017-11-08,2017-11-16
42-133-38260,CROWDER 4,"KOKOMO ENERGY, INC.",New Drill,Vertical,2017-10-17,2017-10-20
42-133-38259,CHRISTINA 1D,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2017-10-13,2017-10-18
42-133-38258,MEEKS 1,INTERSTATE EXPLORATIONS LLC,New Drill,Vertical,2017-07-19,2017-07-20
42-133-38257,HAILEY D 6,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2017-05-15,2017-05-26
42-133-38255,HAILEY D 5,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2017-03-10,2017-03-21
42-133-38256,"MCKINNERNEY, B.R. MIN 13","KOKOMO ENERGY, INC.",New Drill,Vertical,2017-03-10,2017-03-21
42-133-38254,EBERHART RANCH 17,"WEJCO, INC.",New Drill,Vertical,2017-01-25,2017-02-08
42-133-38252,SIMPSON 1,INTERSTATE EXPLORATIONS LLC,New Drill,Vertical,2016-11-29,2016-11-29
42-133-37550,TEXAS 1,"ARNOT OIL COMPANY, LLC",Recompletion,Vertical,2016-11-02,2016-11-14
42-133-38253,WINCHESTER 1,INTERSTATE EXPLORATIONS LLC,New Drill,Vertical,2016-10-28,2016-11-16
42-133-38252,SIMPSON 1,INTERSTATE EXPLORATIONS LLC,New Drill,Vertical,2016-10-28,2016-11-03
42-133-38251,HAILEY D 4,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2016-10-14,2016-10-27
42-133-38250,DESDEMONA FIELD UNIT 906,"MORRIS R. GREENHAW OIL&GAS, INC",New Drill,Vertical,2016-09-02,2016-09-14
42-133-38248,WINFREY 8,"VERADO ENERGY, INC.",New Drill,Vertical,2016-05-18,2016-05-23
42-133-38249,WINFREY 9,"VERADO ENERGY, INC.",New Drill,Vertical,2016-05-18,2016-05-20
42-133-38247,KOGER 1,DENTECO OIL COMPANY LLC,New Drill,Vertical,2016-03-29,2016-03-31
42-133-38246,HAILEY D 3,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2016-03-08,2016-03-16
42-133-38240,HAILEY D 1,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2016-01-15,2016-01-19
42-133-38245,KAY 2,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2016-01-11,2016-01-12
42-133-38243,HAILEY D 2,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2015-12-09,2015-12-09
42-133-38244,MP 118 1,SUNOCO PIPELINE L.P.,New Drill,Vertical,2015-12-02,2015-12-14
42-133-36908,ELAM 3,"PITCOCK, INC.",Recompletion,Vertical,2015-12-02,2015-12-10
42-133-38242,BILL & STEVEN HEROD FEE 1,"HEROD, BILL",New Drill,Vertical,2015-09-16,2015-09-22
42-133-38240,HAILEY D 1,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2015-09-10,2015-09-14
42-133-38241,NT-282 1CP,ENTERPRISE PRODUCTS OPERATINGLLC,New Drill,Vertical,2015-08-28,2015-09-18
42-133-38239,SHOOK 5,"BEAR SPRINGS OIL & GAS, L.L.C",New Drill,Vertical,2015-08-13,2015-08-19
42-133-38238,RENER 1,"FLAG ENERGY, LLC",New Drill,Vertical,2015-07-14,2015-07-28
42-133-38231,"MCKINNERNEY, B.R. MIN 11","KOKOMO ENERGY, INC.",New Drill,Vertical,2015-07-07,2015-07-16
42-133-38237,"MCKINNERNEY, B.R. MIN 12","KOKOMO ENERGY, INC.",New Drill,Vertical,2015-07-07,2015-07-14
42-133-38235,WINFREY 6,"VERADO ENERGY, INC.",New Drill,Vertical,2015-06-22,2015-06-24
42-133-38236,WINFREY 7,"VERADO ENERGY, INC.",New Drill,Vertical,2015-06-22,2015-06-24
42-133-38234,SNEED R 1,"RAINBOW SEVEN OIL & GAS, INC.",New Drill,Vertical,2015-06-16,2015-06-18
