api,well,operator,application_type,drill_type,submitted,approved
42-135-44054,SCHLEMEYER NORTH 3934D 04H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2025-01-16,
42-135-44053,SCHLEMEYER NORTH 3934C 03H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2025-01-16,
42-135-44056,SCHLEMEYER SOUTH 4610C 03H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2025-01-16,
42-135-44055,SCHLEMEYER SOUTH 4610B 02H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2025-01-16,
42-135-44052,SCHLEMEYER NORTH 3934B 02H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2025-01-16,
42-135-44057,SCHLEMEYER SOUTH 4610D 04H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2025-01-16,
42-135-44084,COBB POOL 3724A 01H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-12-26,2024-12-27
42-135-31130,EIDSON E 1,OCCIDENTAL PERMIAN LTD.,Re-Enter,Vertical,2024-12-18,2024-12-19
42-135-06139,SCHARBAUER EIDSON 1,OCCIDENTAL PERMIAN LTD.,Re-Enter,Vertical,2024-12-18,2024-12-19
42-135-10667,SCHARBAUER EIDSON 101,OCCIDENTAL PERMIAN LTD.,Re-Enter,Vertical,2024-12-18,2024-12-19
42-135-44083,AVERITT 15-22 4H,DIAMONDBACK E&P LLC,New Drill,Horizontal,2024-12-11,2024-12-19
42-135-44082,AVERITT 15-22 3H,DIAMONDBACK E&P LLC,New Drill,Horizontal,2024-12-11,2024-12-16
42-135-44080,MILLARD 'D' 106,"RING ENERGY, INC.",New Drill,Directional,2024-12-10,2024-12-17
42-135-44055,SCHLEMEYER SOUTH 4610B 02H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-12-05,2024-12-11
42-135-44056,SCHLEMEYER SOUTH 4610C 03H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-12-05,2024-12-11
42-135-44057,SCHLEMEYER SOUTH 4610D 04H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-12-05,2024-12-09
42-135-44081,"CONNELL, W.E. NCT-5 150","CROSS TIMBERS ENERGY, LLC",New Drill,Vertical,2024-12-04,2024-12-11
42-135-44079,SCHARBAUER C NW 108,"RING ENERGY, INC.",New Drill,Directional,2024-11-14,2024-11-18
42-135-44080,MILLARD 'D' 106,"RING ENERGY, INC.",New Drill,Directional,2024-11-14,2024-11-18
42-135-44057,SCHLEMEYER SOUTH 4610D 04H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-11-13,2024-11-19
42-135-44055,SCHLEMEYER SOUTH 4610B 02H,"CONTINENTAL RESOURCES, INC.",New Drill,Horizontal,2024-11-13,2024-11-18
