api,well,operator,application_type,drill_type,submitted,approved
42-143-31196,HOGTOWN-MOORE UNIT 3109,"GREENHAW, MORRIS R.",Reclass,Vertical,2023-06-07,2023-06-13
42-143-31269,FAMBRO 288 3,"OAKRIDGE OIL AND GAS, LP",Recompletion,Vertical,2021-12-23,2021-12-30
42-143-31416,MLV-19-2 2,ENERGY TRANSFER COMPANY,New Drill,Vertical,2021-02-02,2021-03-10
42-143-31415,LSX-MLV-19 1,ENERGY TRANSFER COMPANY,New Drill,Vertical,2020-11-09,2020-11-16
42-143-31414,BLUEBONNET 1,PRASINOS STORAGE I LLC,New Drill,Vertical,2018-12-20,2018-12-21
42-143-30991,HERRERA 5,STEPHENS & JOHNSON OPERATING CO.,Recompletion,Vertical,2018-08-09,2018-08-13
42-143-31413,MP 317.75 1CP,SUNOCO PIPELINE L.P.,New Drill,Vertical,2017-07-21,2017-08-08
42-143-31412,EC 1,"PETROCOASTAL, INC.",New Drill,Vertical,2016-06-14,2016-06-16
42-143-30971,STOCKSTILL 1 A,QUIDNET ENERGY INC.,Recompletion,Vertical,2015-01-05,2015-01-06
42-143-31044,HALLMARK B 2,BLACKWATER OIL & GAS CORPORATION,Recompletion,Vertical,2012-07-10,2012-08-08
42-143-31411,GW STEWART 2,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-11-30,2011-12-10
42-143-30124,ALEX FAMBRO 1,"DTE GAS RESOURCES, LLC",Recompletion,Vertical,2011-11-09,2011-11-14
42-143-31409,GW STEWART 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-11-08,2011-11-17
42-143-31410,M STEWART 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-11-08,2011-11-17
42-143-31408,STEWART SWD 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-10-27,2011-11-04
42-143-31407,LOGAN SWD 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-08-25,2011-08-31
42-143-31406,MCBROOM 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-06-10,2011-06-16
42-143-31405,CRAIN 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-03-21,2011-03-30
42-143-31404,STOCKSTILL 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-03-09,2011-03-17
42-143-31403,SPRADLING 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-03-09,2011-03-17
42-143-31402,WAYNE LOGAN 1,"CUMMING COMPANY, INC. THE",New Drill,Vertical,2011-03-08,2011-03-17
42-143-31108,DAVIS 1H,"RIMROCK ENERGY, LLC",Recompletion,Vertical,2011-01-11,2011-05-26
