api,well,operator,application_type,drill_type,submitted,approved
,BULL 10-10 1H,"CHOLLA PETROLEUM, INC.",New Drill,Horizontal,2025-01-18,
42-151-33370,BERTHA 28-6 1H,"BROWNING OIL COMPANY, INC.",New Drill,Horizontal,2025-01-08,2025-01-10
,U-116 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2025-01-06,
42-151-33372,JACK STRAW 43-46 1H,"CLEAR FORK, INCORPORATED",New Drill,Horizontal,2024-12-05,2024-12-10
42-151-33378,W W HOLMAN 13,SOJOURNER DRILLING CORPORATION,New Drill,Vertical,2024-11-25,2024-11-26
42-151-33376,TENNESSEE JED 1H,"CLEAR FORK, INCORPORATED",New Drill,Horizontal,2024-11-06,2024-11-07
42-151-33377,U22-03 UNIT 1,"ATMOS ENERGY CORP., MID-TEX DIV.",New Drill,Vertical,2024-10-29,2024-11-13
42-151-33376,TENNESSEE JED 1H,"CLEAR FORK, INCORPORATED",New Drill,Horizontal,2024-10-23,2024-10-24
42-151-33360,CASEY JONES 1H,"CLEAR FORK, INCORPORATED",Recompletion,Horizontal,2024-10-18,2024-10-22
42-151-33375,OOLITIC TIGER SWD 1,"HADAWAY CONSULT AND ENGINEER,LLC",New Drill,Vertical,2024-10-16,2024-10-17
42-151-33368,THOMAS SWD 1,"CHOLLA PETROLEUM, INC.",New Drill,Vertical,2024-10-07,2024-10-07
42-151-33374,HATCH CANYON 1,GUNN OIL COMPANY,New Drill,Vertical,2024-10-07,2024-10-07
42-151-33373,BRADFORD 2,"VX OPERATING, LLC",New Drill,Vertical,2024-09-23,2024-09-30
42-151-33275,BRADFORD 1,"VX OPERATING, LLC",Recompletion,Vertical,2024-09-23,2024-09-27
42-151-33372,JACK STRAW 43-46 1H,"CLEAR FORK, INCORPORATED",New Drill,Horizontal,2024-09-19,2024-09-23
42-151-33367,INTO THE STORM 1H,"CHOLLA PETROLEUM, INC.",New Drill,Horizontal,2024-09-13,2024-09-16
42-151-33368,THOMAS SWD 1,"CHOLLA PETROLEUM, INC.",New Drill,Vertical,2024-09-13,2024-09-13
42-151-33360,CASEY JONES 1H,"CLEAR FORK, INCORPORATED",New Drill,Horizontal,2024-09-12,2024-09-17
42-151-33371,WELCH 8,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-08-21,2024-08-29
42-151-33370,BERTHA 28-6 1H,"BROWNING OIL COMPANY, INC.",New Drill,Horizontal,2024-08-13,2024-09-26
42-151-33368,INTO THE STORM 1,"CHOLLA PETROLEUM, INC.",New Drill,Horizontal,2024-07-23,2024-07-29
42-151-33370,BERTHA 28-6 1H,"BROWNING OIL COMPANY, INC.",New Drill,Horizontal,2024-07-23,2024-07-26
42-151-33367,INTO THE STORM 2,"CHOLLA PETROLEUM, INC.",New Drill,Horizontal,2024-07-18,2024-07-23
42-151-01447,WELCH 20,L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-07-17,2024-07-19
42-151-33366,JUMBO 1H,"CHOLLA PETROLEUM, INC.",New Drill,Horizontal,2024-07-16,2024-07-18
42-151-32808,NORTH WICKHAM 1,L.C.S. PRODUCTION COMPANY,Recompletion,Vertical,2024-07-11,2024-07-15
42-151-33225,BRAZOS 25-26 1WD,"CLEAR FORK, INCORPORATED",Recompletion,Vertical,2024-06-03,2024-06-13
42-151-00698,"CARTER, B. F. 14R",L.C.S. PRODUCTION COMPANY,Re-Enter,Vertical,2024-04-11,2024-04-17
42-151-33362,B. F. CARTER 31WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-04-11,2024-04-17
42-151-33365,HARVEY -3- 2,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-04-11,2024-04-17
42-151-33363,HARVEY -3- 30WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-04-11,2024-04-16
42-151-33364,HARVEY -3- 22WI,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-04-11,2024-04-16
42-151-33361,HARVEY -3- 23,L.C.S. PRODUCTION COMPANY,New Drill,Vertical,2024-04-08,2024-04-11
